dataset	id	time_sensitive_hint	question	gold_answer	consensus_answer	open_answer_gemini_pro	open_answer_gemini_flash	open_answer_gpt_5_1
bamboogle	bamboogle_0064_647f7ea9	0	In what year was the tallest lighthouse completed?	1902	1990	1990	1990	1990
crag	2a233422-8f6c-4f97-8509-ccc71afb3794	0	how old was leonardo dicaprio when he won best actor award?	leonardo was 42 years old in 2016 when he won best actor.	41	41	41	41
hotpotqa	5a7272eb5542997f827839d7	0	How old is the female main protagonist of Catching Fire?	16-year-old	17	17	17	17
mintaka	4b066327	0	How old was John Lennon when The Beatles formed?	16	19	19	19	19
crag	adabdcb6-3d4d-4dac-93f7-d54bdb5dccf2	0	who was the coach of the team that won the nba championship last season?	michael malone, who coaches the denver nuggets, was the coach of the team that won the nba championship last season.	Steve Kerr	Steve Kerr	Steve Kerr	Steve Kerr
hotpotqa	5ac3e8c65542997ea680c993	0	Are the New Orleans Outfall Canals the same length as the Augusta Canal?	yes	No	No	No	No
mintaka	9d4dccb3	0	"Where did the rapper in the song ""I am different"" graduate college from?"	Virginia State University	Alabama State University	Alabama State University	Alabama State University	Alabama State University
crag	d5124253-4271-40b5-986b-dd3021ab828e	1	who was the winner of the wimbledon women's singles tournament this year?	marketa vondrousova, who is coached by jiri hrebec and jan hernych, won the wimbledon women's singles tournament this year.	Elena Rybakina	Elena Rybakina	Elena Rybakina	Elena Rybakina
hotpotqa	5adfedb755429942ec259b95	0	Emprise Bank has branches in a city situated along what river?	Neosho River	Arkansas River	Arkansas River	Arkansas River	Arkansas River
mintaka	13cd720a	0	What is the capital of the largest country in Europe?	Paris	Moscow	Moscow	Moscow	Moscow
crag	27f2284d-0d87-46c6-a0a1-e46135a3fc67	0	when did the most expensive action movie come out?	the most expensive action movie ever produced, star wars: the force awakens, came out in 2015.	2011-05-20	2011-05-20	2011-05-20	2011-05-20
hotpotqa	5ab345db55429969a97a8122	0	Which state does the drug stores, of which the CEO is Warren Bryant, are located?	Hawaii	California	California	California	California
mintaka	c999b363	0	What is the capital of the country with the highest population in the world?	Tokyo	Beijing	Beijing	Beijing	Beijing
crag	ba92e6b9-fcd3-4ff7-899a-fe59dbb2c8db	0	what weight class is the ufc number one men's pound for pound fighter in?	islam makhachev, the number one men's pound for pound fighter in the ufc, fights at lightweight.	Featherweight	Featherweight	Featherweight	Featherweight
hotpotqa	5ab265de5542993be8fa9901	0	Jonas Hummels is the younger brother of a German professional footballer who plays for the German national team, and who else?	Bayern Munich	Borussia Dortmund	Borussia Dortmund	Borussia Dortmund	Borussia Dortmund
mintaka	e79774c0	0	When was the director of Child's Play born?	25-Jan-63	1943-07-11	1943-07-11	1943-07-11	1943-07-11
crag	5a55dd6b-371b-4daa-a2a2-7df503885d21	1	how far did last year's west coast conference champion go in the postseason?	gonzaga, last year's west coast conference champion, made it to the elite 8 in the ncaa tournament.	Sweet Sixteen	Sweet Sixteen	Sweet Sixteen	Sweet Sixteen
hotpotqa	5a8a17e55542992d82986eab	0	"Who was the director of the film at who end a versions of the son ""Please, Please, Please, Let Me Get What I Want"" could be heard?"	Shane Meadows	John Hughes	John Hughes	John Hughes	John Hughes
crag	7d6ebd01-2364-461c-8086-68c83ff90966	1	how long has the current president of the us been in power?	the current president of the us, joe biden, has been in power since 2020.	1 year, 8 months, 14 days	1 year, 8 months, 14 days	1 year, 8 months, 14 days	1 year 8 months 14 days
hotpotqa	5adeb01355429939a52fe958	0	Elisabeth of Bavaria's husband was born on what date?	25 April 1228	1830-08-18	1830-08-18	1830-08-18	1830-08-18
mintaka	78a31f7a	1	What is the current coach's name of the team that has won the most NCAA Division I Baseball Championships?	Jason Gill	Andy Stankiewicz	Andy Stankiewicz	Andy Stankiewicz	Andy Stankiewicz
mintaka	f6640eb4	0	What was the final major European battle of the war that primarily featured the man called Adolf Hitler?	Battle of the Bulge	Battle of Berlin	Battle of Berlin	Battle of Berlin	Battle of Berlin
crag	4ebbb760-c5ae-4307-9764-567a357f4cc1	0	who is the first actress to play the bond girl?	vesper lynd in 1953	Ursula Andress	Ursula Andress	Ursula Andress	Ursula Andress
mintaka	88c5cc4f	1	How old is the current manager of Barcelona FC?	58	42	42	42	42
crag	d52db8c5-663a-469c-a470-e6d524e2b3dd	0	who was the coach of the team that won the stanley cup last season?	bruce cassidy, who coaches the vegas golden knights, was the coach of the team that won the stanley cup last season.	Jared Bednar	Jared Bednar	Jared Bednar	Jared Bednar
mintaka	6f62ab02	1	How old is the current manager of the New York Mets?	40	66	66	66	66
crag	04fd2c98-6531-41a0-8f9f-4af6b7f012ef	1	who was the mvp of the mlb world series last year?	corey saeger, who plays for the texas rangers, was the mvp of the mlb world series last year.	Jorge Soler	Jorge Soler	Jorge Soler	Jorge Soler
crag	b87aa578-d977-40f3-b96d-8ebba8aa3910	0	who was the player of the year in the premier league last season?	erling haaland, who plays for manchester city, was the player of the year in the premier league last season.	Kevin De Bruyne	Kevin De Bruyne	Kevin De Bruyne	Kevin De Bruyne
mintaka	540c6b11	0	What is the tallest building in the country whose capital city is Kuala Lumpur?	Petronas Tower	Merdeka 118	Merdeka 118	Merdeka 118	Merdeka 118
crag	fde0f884-56cb-47c6-a15a-056eb02cfa4b	0	when did drake release their most popular album?	drake's most popular album, take care, released in 2011.	2016-04-29	2016-04-29	2016-04-29	2016-04-29
mintaka	249c69f3	0	Who was the wife of the 21st president?	Eliza Johnson	Ellen Lewis Herndon Arthur	Ellen Lewis Herndon Arthur	Ellen Lewis Herndon Arthur	Ellen Lewis Herndon Arthur
mintaka	a04200ad	0	Who is the main protagonist of the second Metal Gear game?	Raiden	Solid Snake	Solid Snake	Solid Snake	Solid Snake
mintaka	2b7aada8	0	Who was the US president when Lehman Brothers went bankrupt?	Barack Obama	George W. Bush	George W. Bush	George W. Bush	George W. Bush
mintaka	7e554842	0	How long did the longest serving mayor serve in New York?	11 years (1934–1945)	12 years	12 years	12 years	12 years
