dataset	model_slug	id	time_sensitive_hint	open_assistive_exact_match	question	gold_answer	open_answer	assistive_answer	open_correctness_reasoning	consistency_equivalent	consistency_reasoning	consistency_raw	open_raw	assistive_raw
bamboogle	google-gemini-2-5-flash	bamboogle_0101_5fc6a795	0	1	What is the lowest elevation of the longest railway tunnel?	312 m	325 m	325 m	The gold answer is 312 m and the prediction is 325 m. The absolute difference is 13 m. The allowed tolerance is max(0.5, 1% of 312) = max(0.5, 3.12) = 3.12 m. Since 13 m is greater than 3.12 m, the prediction is outside the acceptable numeric tolerance.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\n325 m	```json\n{\n  "answer_1": "Gotthard Base Tunnel",\n  "answer_2": "325 m"\n}\n```
crag	google-gemini-2-5-flash	83cfd2c8-d469-409d-bd32-24696ca5e21a	1	1	who was the mvp of the nba finals last year?	nikola jokic, who plays for the denver nuggets, was the mvp of the nba finals last year.	Stephen Curry	Stephen Curry	The gold answer states the MVP was Nikola Jokic, while the prediction states Stephen Curry. These are different individuals, leading to a contradiction.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nStephen Curry	```json\n{\n  "answer_1": "2022 NBA Finals",\n  "answer_2": "Stephen Curry"\n}\n```
hotpotqa	google-gemini-2-5-flash	5abab7af554299232ef4a384	0	0	Both Martha Stewart Living and Tall Timber Short Lines are considered what?	magazine	special interest	Hobbies; Interests	The gold answer identifies the items as 'magazine', which is a noun describing their type. The prediction 'special interest' is an adjective describing a characteristic or category of magazine, but it does not directly state that they are magazines. It's a descriptor rather than the core 'what' they are.	1	"Special interest" is a more specific term for a type of "interest" or "hobby", making it consistent with the alternatives provided in Answer A.	equivalent: 1\nreasoning: "Special interest" is a more specific term for a type of "interest" or "hobby", making it consistent with the alternatives provided in Answer A.	special interest	```json\n{\n  "answer_1": "A magazine and media company founded by Martha Stewart, focusing on home, cooking, and lifestyle.",\n  "answer_2": "A model railroad club or layout, often referring to a specific scale or theme.",\n  "answer_3": "Hobbies; Interests"\n}\n```
mintaka	google-gemini-2-5-flash	9d4dccb3	0	1	Where did the rapper in the song "I am different" graduate college from?	Virginia State University	Alabama State University	Alabama State University	The prediction 'Alabama State University' directly contradicts the gold answer 'Virginia State University' by naming a different university.	1	The two answers are identical.	equivalent: 1\nreasoning: The two answers are identical.	answer:\nAlabama State University	intermediate_answers:\n{\n  "answer_1": "2 Chainz",\n  "answer_2": "Alabama State University"\n}
bamboogle	google-gemini-2-5-flash	bamboogle_0110_3800034a	0	1	What's the motto of the oldest California State university?	Powering Silicon Valley	Lux, Veritas, Honestas	Lux, Veritas, Honestas	The prediction 'Lux, Veritas, Honestas' is a different motto than the gold answer 'Powering Silicon Valley'. There is a direct contradiction on the specific fact requested.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nLux, Veritas, Honestas	```json\n{\n  "answer_1": "San Jose State University",\n  "answer_2": "Lux, Veritas, Honestas"\n}\n```
crag	google-gemini-2-5-flash	4ebbb760-c5ae-4307-9764-567a357f4cc1	0	1	who is the first actress to play the bond girl?	vesper lynd in 1953	Ursula Andress	Ursula Andress	The gold answer identifies a character (Vesper Lynd) and a year (1953), not an actress. The question asks for an 'actress'. The prediction identifies an actress (Ursula Andress). Since the gold answer does not provide an actress, the prediction does not communicate the same essential fact as the gold.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nUrsula Andress	```json\n{\n  "answer_1": "Honey Ryder",\n  "answer_2": "Ursula Andress"\n}\n```
hotpotqa	google-gemini-2-5-flash	5ac3e8c65542997ea680c993	0	1	Are the New Orleans Outfall Canals the same length as the Augusta Canal?	yes	No	No	The gold answer states 'yes' (they are the same length), while the prediction states 'No', which is a direct contradiction.	1	Both answers are "No", which are equivalent.	equivalent: 1\nreasoning: Both answers are "No", which are equivalent.	No	```json\n{\n  "answer_1": "11 mi",\n  "answer_2": "13 mi",\n  "answer_3": "No"\n}\n```
mintaka	google-gemini-2-5-flash	9ac70118	0	1	How old was the youngest U.S. president when he died?	46	60	60	The prediction '60' is numerically different from the gold answer '46'. The difference (14) exceeds the allowed numeric tolerance for exact values.	1	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	answer:\n60	intermediate_answers:\n{\n  "answer_1": "Theodore Roosevelt",\n  "answer_2": "60"\n}
bamboogle	google-gemini-2-5-flash	bamboogle_0064_647f7ea9	0	1	In what year was the tallest lighthouse completed?	1902	1990	1990	The predicted year (1990) does not match the gold year (1902). Calendar dates/years must match exactly according to rule 2.	1	Both answers state the exact same year.	equivalent: 1\nreasoning: Both answers state the exact same year.	answer:\n1990	```json\n{\n  "answer_1": "Jeddah Light",\n  "answer_2": "1990"\n}\n```
crag	google-gemini-2-5-flash	90d5a2d9-2973-4e6b-affe-76af6c7d943e	1	1	what's the most recent album from the puerto rican artist that's been in wwe?	nadie sabe lo que va a pasar mañana	Un Verano Sin Ti	Un Verano Sin Ti	The gold answer 'nadie sabe lo que va a pasar mañana' and the prediction 'Un Verano Sin Ti' are two different album titles. The prediction does not match the gold fact.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Un Verano Sin Ti	```json\n{\n  "answer_1": "Bad Bunny",\n  "answer_2": "Un Verano Sin Ti"\n}\n```
