model	dataset	one_minus_recall_before	one_minus_recall_after	open_wrong_before	open_wrong_after	n_records_before	n_records_after	source_before	source_after	excluded_ids_count
GPT-5.1	bamboogle	0.3684210526315789	0.0	19.0	5.0	123.0	107.0	baseline_records:results/baselines/bamboogle/gpt-5-1/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/gpt-5-1/bamboogle_pairwise_assistive.json	16
GPT-5.1	crag	0.5964912280701754	0.11764705882352941	57.0	17.0	162.0	116.0	eval_oldstyle:results/correctness/crag/gpt-5-1/crag_open_ended_correctness.json|results/consistency/crag/gpt-5-1/crag_assistive_vs_open_ended_consistency.json	eval_oldstyle:results/correctness/crag/gpt-5-1/crag_open_ended_correctness.json|results/consistency/crag/gpt-5-1/crag_assistive_vs_open_ended_consistency.json	46
GPT-5.1	frames	0.48717948717948717	0.2619047619047619	78.0	42.0	292.0	252.0	eval_newstyle:results/correctness/frames/gpt-5.1/open_ended_correctness.json|results/consistency/frames/gpt-5.1/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/gpt-5.1/open_ended_correctness.json|results/consistency/frames/gpt-5.1/consistency_open_ended_vs_assistive.json	41
GPT-5.1	hotpotqa	0.36538461538461536	0.047619047619047616	52.0	21.0	185.0	144.0	baseline_records:results/baselines/hotpotqa/gpt-5-1/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/gpt-5-1/hotpotqa_pairwise_assistive.json	56
GPT-5.1	mintaka	0.6829268292682927	0.07142857142857142	41.0	14.0	293.0	262.0	baseline_records:results/baselines/mintaka/gpt-5-1/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/gpt-5-1/mintaka_pairwise_assistive.json	31
GPT-5.1	musique	0.42748091603053434	0.15789473684210525	131.0	57.0	294.0	215.0	eval_newstyle:results/correctness/musique/gpt-5.1/open_ended_correctness.json|results/consistency/musique/gpt-5.1/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/musique/gpt-5.1/open_ended_correctness.json|results/consistency/musique/gpt-5.1/consistency_open_ended_vs_assistive.json	81
Gemini-2.5-Pro	bamboogle	0.5555555555555556	0.3333333333333333	18.0	6.0	123.0	107.0	baseline_records:results/baselines/bamboogle/google-gemini-2-5-pro/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/google-gemini-2-5-pro/bamboogle_pairwise_assistive.json	16
Gemini-2.5-Pro	crag	0.6666666666666666	0.0	57.0	12.0	162.0	116.0	baseline_records:results/baselines/crag/google-gemini-2-5-pro/crag_pairwise_assistive.json	baseline_records:results/baselines/crag/google-gemini-2-5-pro/crag_pairwise_assistive.json	46
Gemini-2.5-Pro	frames	0.4819277108433735	0.2916666666666667	83.0	48.0	299.0	258.0	eval_newstyle:results/correctness/frames/gemini-2.5-pro/open_ended_correctness.json|results/consistency/frames/gemini-2.5-pro/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/gemini-2.5-pro/open_ended_correctness.json|results/consistency/frames/gemini-2.5-pro/consistency_open_ended_vs_assistive.json	41
Gemini-2.5-Pro	hotpotqa	0.33695652173913043	0.07142857142857142	92.0	42.0	274.0	218.0	baseline_records:results/baselines/hotpotqa/google-gemini-2-5-pro/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/google-gemini-2-5-pro/hotpotqa_pairwise_assistive.json	56
Gemini-2.5-Pro	mintaka	0.7021276595744681	0.3157894736842105	47.0	19.0	298.0	267.0	baseline_records:results/baselines/mintaka/google-gemini-2-5-pro/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/google-gemini-2-5-pro/mintaka_pairwise_assistive.json	31
