id,issues,question,answer,num_hops,last_question,complexity_score,similarity,dsl
043b734e,over_decomposition,Where was the director of Avatar born?,"Kapuskasing, Canada",2,Where was {answer_1} born?,-0.5,0.25,"answer_1: str = qa_model(""Who directed the movie Avatar?"") | answer_2: str = qa_model(""Where was {answer_1} born?"", answer_1=answer_1)"
49241ffe,over_decomposition|final_step_mismatch,How old was the Led Zeppelin drummer when their debut album was released?,20,3,How old was {answer_1} on {answer_2}?,0.0,0.09,"answer_1: str = qa_model(""Who was the drummer for Led Zeppelin?"") | answer_2: str = qa_model(""When was Led Zeppelin's debut album released?"") | answer_3: str = qa_model(""How old was {answer_1} on {answer_2}?"", answer_1=answer_1, answer_2=answer_2)"
303fa922,final_step_mismatch,How rich is the singer of Cant Touch This?,$2 million,2,What is the net worth of {answer_1}?,0.0,0.0,"answer_1: str = qa_model(""Who is the singer of 'Cant Touch This'?"") | answer_2: str = qa_model(""What is the net worth of {answer_1}?"", answer_1=answer_1)"
95dc97dc,final_step_mismatch,Who distributed the movie that's based on the Harry Potter book released in 2004?,Warner Bros. Pictures,3,Who distributed the film ,2.5,0.08,"answer_1: str = qa_model(""Which Harry Potter book was released in 2004?"") | answer_2: str = qa_model(""What is the title of the film based on '{answer_1}'?"", answer_1=answer_1) | answer_3: str = qa_model(""Who distributed the film '{answer_2}'?"", answer_2=answer_2)"
be4d4610,over_decomposition,In what year was the book series by Lemony Snicket made into a Nickelodeon movie?,2004,3,In what year was the movie ,0.0,0.2,"answer_1: str = qa_model(""What is the book series by Lemony Snicket that was made into a Nickelodeon movie?"") | answer_2: str = qa_model(""What is the name of the Nickelodeon movie based on the book series '{answer_1}'?"", answer_1=answer_1) | answer_3: str = qa_model(""In what year was the movie '{answer_2}' released?"", answer_2=answer_2)"
279de04d,over_decomposition,When was the fifth U.S. president born?,"April 28, 1758",2,When was {answer_1} born?,-0.5,0.17,"answer_1: str = qa_model(""Who was the fifth U.S. president?"") | answer_2: str = qa_model(""When was {answer_1} born?"", answer_1=answer_1)"
4f67a88e,over_decomposition,The youngest governor is from which state?,Florida,2,Which state is {answer_1} the governor of?,-0.5,0.4,"answer_1: str = qa_model(""Who is the youngest governor?"") | answer_2: str = qa_model(""Which state is {answer_1} the governor of?"", answer_1=answer_1)"
8cd5f008,final_step_mismatch,When was the third game of the Legend of Zelda series released in North America?,1992,2,When was ,0.0,0.0,"answer_1: str = qa_model(""What is the third game in the Legend of Zelda series?"") | answer_2: str = qa_model(""When was '{answer_1}' released in North America?"", answer_1=answer_1)"
4f485cdf,final_step_mismatch,Who is the most popular in the last NBA 2k game?,Kevin Durant,2,Who is the cover athlete for ,0.0,0.0,"answer_1: str = qa_model(""What is the latest NBA 2k game?"") | answer_2: str = qa_model(""Who is the cover athlete for '{answer_1}'?"", answer_1=answer_1)"
fe87e76a,final_step_mismatch,When was the second game in the Dragon Age series released?,8-Mar-11,2,When was ,0.0,0.0,"answer_1: str = qa_model(""What is the second game in the Dragon Age series?"") | answer_2: str = qa_model(""When was '{answer_1}' released?"", answer_1=answer_1)"
33a4d66e,final_step_mismatch,When was the final game in Kingdom Hearts' Xehanort Saga released?,25-Jan-19,2,When was ,0.0,0.0,"answer_1: str = qa_model(""What is the final game in the Kingdom Hearts Xehanort Saga?"") | answer_2: str = qa_model(""When was '{answer_1}' released?"", answer_1=answer_1)"
