id,issues,question,answer,num_hops,last_question,complexity_score,similarity,dsl
3hop1__823336_228453_86925,over_decomposition,What is the symbol of the Saints from the headquarters location of Ten High's manufacturer called?,,3,What is the {answer_2} saints symbol called?,0.0,0.27,"answer_1: str = qa_model(""Who is the manufacturer of Ten High?"") | answer_2: str = qa_model(""What is the headquarters city of {answer_1}?"", answer_1=answer_1) | answer_3: str = qa_model(""What is the {answer_2} saints symbol called?"", answer_2=answer_2)"
3hop1__783711_503371_21711,over_decomposition,When was the Palau de la Generalitat in the city where Martin of the region where Urries is located constructed?,,3,When was the Palau de la Generalitat in {answer_2} constructed?,0.0,0.45,"answer_1: str = qa_model(""In what administrative territorial entity is Urriés located?"") | answer_2: str = qa_model(""What was the city of death of Martin of {answer_1}?"", answer_1=answer_1) | answer_3: str = qa_model(""When was the Palau de la Generalitat in {answer_2} constructed?"", answer_2=answer_2)"
4hop1__726675_508773_85832_745702,final_step_mismatch,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,,4,Who is the child of {answer_3}?,0.5,0.08,"answer_1: str = qa_model(""What is the place of birth of César Gaytan?"") | answer_2: str = qa_model(""What is the continent of {answer_1}?"", answer_1=answer_1) | answer_3: str = qa_model(""Who was the Italian navigator sailing for England that explored the eastern coast of {answer_2}?"", answer_2=answer_2) | answer_4: str = qa_model(""Who is the child of {answer_3}?"", answer_3=answer_3)"
2hop__95970_456836,final_step_mismatch,Where was the person who acted in the film Sous les pieds des femmes born?,,2,What is the place of birth of {answer_1}?,0.0,0.0,"answer_1: str = qa_model(""Who starsin the film Sous les pieds des femmes?"") | answer_2: str = qa_model(""What is the place of birth of {answer_1}?"", answer_1=answer_1)"
3hop1__390673_228453_10972,over_decomposition,When did the headquarters city of Kentucky Tavern's manufacturer elect its first black mayor?,,3,When did {answer_2} elect its first black Mayor?,0.0,0.46,"answer_1: str = qa_model(""Who is the manufacturer of Kentucky Tavern?"") | answer_2: str = qa_model(""What is the headquarters location of {answer_1}?"", answer_1=answer_1) | answer_3: str = qa_model(""When did {answer_2} elect its first black Mayor?"", answer_2=answer_2)"
4hop2__5206_14670_8987_8529,final_step_mismatch,"When was ""Slavs"" used in the national anthem of the country whose military having the Air Defense Artillery was unprepared for the invasion of the country conquered by the Pact?",,4,When was the word \,0.5,0.0,"answer_1: str = qa_model(""Which country did the Pact conquer?"") | answer_2: str = qa_model(""The Air Defense Artillery is a branch of what?"") | answer_3: str = qa_model(""What {answer_2} was unprepared for the invasion of {answer_1}?"", answer_1=answer_1, answer_2=answer_2) | answer_4: str = qa_model(""When was the word \""Slavs\"" used in the national anthem of {answer_3}?"", answer_3=answer_3)"
3hop1__586087_339990_54675,over_decomposition,"What mountains can you see from Portland, in the state with the county where McCauley Mountain is located?",,3,"What mountain can you see from Portland, {answer_2}?",0.0,0.46,"answer_1: str = qa_model(""In what county is McCauley Mountain located?"") | answer_2: str = qa_model(""In what state is {answer_1} located?"", answer_1=answer_1) | answer_3: str = qa_model(""What mountain can you see from Portland, {answer_2}?"", answer_2=answer_2)"
3hop1__152880_131926_13165,over_decomposition,What treaty ceded territory to the US extending west to the body of water by the city Astronautalis is from?,,3,What treaty ceded territory to the US extending west to {answer_2}?,0.0,0.46,"answer_1: str = qa_model(""What city is Astronautalis from?"") | answer_2: str = qa_model(""Which is the body of water by {answer_1}?"", answer_1=answer_1) | answer_3: str = qa_model(""What treaty ceded territory to the US extending west to {answer_2}?"", answer_2=answer_2)"
3hop1__604991_339990_15538,over_decomposition,When did the state that Frozen Run is located in reinstate the death penalty?,,3,When did {answer_2} reinstate the death penalty?,0.0,0.4,"answer_1: str = qa_model(""In what US county is Frozen Run located?"") | answer_2: str = qa_model(""In what state is {answer_1} located?"", answer_1=answer_1) | answer_3: str = qa_model(""When did {answer_2} reinstate the death penalty?"", answer_2=answer_2)"
4hop1__58323_375563_161848_28750,final_step_mismatch,Where was Popper's academic appointment in the country near the country of citizenship of the person who wrote The Book Thief?,,4,Where was Popper,2.5,0.09,"answer_1: str = qa_model(""who wrote the book thief soon to appear as a film"") | answer_2: str = qa_model(""What is the country of citizenship of {answer_1}?"", answer_1=answer_1) | answer_3: str = qa_model(""What country located near {answer_2} was a first time participant in these games?"", answer_2=answer_2) | answer_4: str = qa_model(""Where was Popper's academic appointment in {answer_3}?"", answer_3=answer_3)"
