dataset	id	question	gold_answer	assistant_label	assistant_notes	stable_wrong_models	frontier_open_consensus_count	frontier_open_consensus_answer	model_dir__gemini_2_5_pro	stable_wrong__gemini_2_5_pro	open_correct__gemini_2_5_pro	consistency_equivalent__gemini_2_5_pro	open_answer__gemini_2_5_pro	assistive_answer__gemini_2_5_pro	open_correctness_reasoning__gemini_2_5_pro	consistency_reasoning__gemini_2_5_pro	model_dir__gemini_2_5_flash	stable_wrong__gemini_2_5_flash	open_correct__gemini_2_5_flash	consistency_equivalent__gemini_2_5_flash	open_answer__gemini_2_5_flash	assistive_answer__gemini_2_5_flash	open_correctness_reasoning__gemini_2_5_flash	consistency_reasoning__gemini_2_5_flash	model_dir__gpt_5_1	stable_wrong__gpt_5_1	open_correct__gpt_5_1	consistency_equivalent__gpt_5_1	open_answer__gpt_5_1	assistive_answer__gpt_5_1	open_correctness_reasoning__gpt_5_1	consistency_reasoning__gpt_5_1	hand_review_label	hand_review_confidence	hand_review_notes	hand_review_suggested_action	hand_review_source
bamboogle	bamboogle_0039_7e165501	When did Nirvana's second most selling studio album come out?	September 13, 1993	one_model_correct_disagreement	Frontier answers disagree (2-of-3 on '1993-09-21'), but exactly one model is judged correct; likely a model error rather than true ambiguity.	gemini_2_5_flash,gpt_5_1	2	1993-09-21	google-gemini-2-5-pro	0	1	1	1993-09-13	1993-09-13	The gold and prediction provide the same date, just in different formats. Date equivalence is met.	Both answers provide the exact same date.	google-gemini-2-5-flash	1	0	1	1993-09-21	1993-09-21	The gold answer specifies 'September 13, 1993' while the prediction states '1993-09-21'. Calendar dates must match exactly, and the day (13 vs 21) does not match.	Both answers provide the exact same calendar date.	gpt-5-1	1	0	1	1993-09-21	1993-09-21	The gold answer specifies 'September 13, 1993', while the prediction states '1993-09-21'. Calendar dates must match exactly, and the day (13 vs 21) is different.	Both answers provide the exact same date.	possible_gold_error_or_ambiguity		gemini_2_5_flash: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on '1993-09-21' vs gold; could be gold error/ambiguity or shared model misconception. | gpt_5_1: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on '1993-09-21' vs gold; could be gold error/ambiguity or shared model misconception.		per_model_manual
bamboogle	bamboogle_0045_38628071	What was the death toll of the most intense Atlantic hurricane?	52	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	gemini_2_5_pro,gpt_5_1	1	62	google-gemini-2-5-pro	1	0	1	62	62	The gold answer is 52 and the prediction is 62. The absolute difference is 10. The allowed tolerance is max(0.5, 1% of 52) = max(0.5, 0.52) = 0.52. Since 10 is not less than or equal to 0.52, the prediction is outside the acceptable numeric tolerance.	Answer A contains extra information (the hurricane name) but provides the same key fact (death toll of 62) as Answer B, which directly answers the question.	google-gemini-2-5-flash	0	0	0	23	26	The prediction '23' is numerically different from the gold answer '52'. The difference (29) far exceeds the allowed tolerance of max(0.5, 1% of 52 = 0.52).	The numerical values 26 and 23 are not equivalent based on the numeric expression tolerance rule (|a - b| <= max(0.5, 1% of reference)). The difference of 3 is greater than 0.5 and 1% of either number.	gpt-5-1	1	0	1	87	87	The gold answer is 52 and the prediction is 87. The difference (35) is significantly outside the allowed numeric tolerance of max(0.5, 1% of 52 = 0.52).	Both answers are identical and state the same number.	possible_gold_typo_or_alias		gemini_2_5_pro: possible_gold_typo_or_alias — Open answer '62' is very close to gold '52' (edit-distance 1); likely typo/alias/normalization issue. | gpt_5_1: possible_gold_typo_or_alias — Open answer '87' is very close to gold '52' (edit-distance 2); likely typo/alias/normalization issue.		per_model_manual
bamboogle	bamboogle_0050_43f80844	Who is the mother of the father of Barack Obama?	Habiba Akumu Nyanjango	alias_or_evaluation_strictness	Consistency judge mentions alias/equivalence (e.g., anglicization); open correctness may be overly strict about surface-form differences.	gpt_5_1	1	Sarah Onyango Obama	google-gemini-2-5-pro	0	0	0	Sarah Onyango Obama	Habiba Akumu Obama	The prediction 'Sarah Onyango Obama' is a different name from the gold answer 'Habiba Akumu Nyanjango'. These are distinct individuals, making the prediction a contradiction to the gold fact.	Answer A identifies Habiba Akumu Obama as the mother of Barack Obama Sr., which is correct. Answer B identifies Sarah Onyango Obama, who was Barack Obama Sr.'s step-grandmother, not his mother. These are contradictory facts regarding the identity of the person in question.	google-gemini-2-5-flash	0	0	0	Akumu Nyanjoga	Sarah Onyango Obama	The prediction 'Akumu Nyanjoga' is missing the first name 'Habiba' and has a spelling difference in the last name ('Nyanjoga' vs 'Nyanjango') compared to the gold answer 'Habiba Akumu Nyanjango'. This constitutes a factual difference, not just a normalization or subset.	The answers refer to two different individuals. Sarah Onyango Obama was Barack Obama Sr.'s step-mother, while Akumu Nyanjoga was Barack Obama Sr.'s biological mother.	gpt-5-1	1	0	1	Habiba Akumu Obama	Habiba Akumu Nyanjoga	The last name in the prediction ('Obama') differs from the last name in the gold answer ('Nyanjango'). This is a factual contradiction regarding the individual's name.	"Both answers refer to the same person; ""Nyanjoga"" is her maiden name and ""Obama"" is her married name."	alias_or_evaluation_strictness		gpt_5_1: alias_or_evaluation_strictness — Consistency judge notes alias/equivalence between open and assistive answers; open correctness may be overly strict about surface-form differences.		per_model_manual
bamboogle	bamboogle_0055_a38b6895	Who directed the highest grossing film?	James Cameroon	frontier_consensus_vs_gold	All three frontier models agree on 'James Cameron' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash,gpt_5_1	3	James Cameron	google-gemini-2-5-pro	0	1	1	James Cameron	James Cameron	The prediction 'James Cameron' is a common and widely accepted spelling of the director's name, while 'James Cameroon' in the gold answer appears to be a misspelling. Given the context of a proper name, this minor spelling difference is considered equivalent.	Both answers are identical.	google-gemini-2-5-flash	1	0	1	James Cameron	James Cameron	The prediction 'James Cameron' differs from the gold answer 'James Cameroon' by a spelling mistake in the last name. This is not covered by normalization rules for aliases or common variations.	Both answers are identical.	gpt-5-1	1	0	1	James Cameron	James Cameron	The gold answer 'James Cameroon' has a different spelling for the last name compared to the prediction 'James Cameron'. While 'James Cameron' is the correct spelling of the director's name, the evaluation must compare the prediction against the provided gold answer, which contains a typo. The names are not identical and do not fall under alias/abbreviation normalization.	Both answers are identical.	gold_typo	high	Gold appears to have a typo ('James Cameroon'); consensus 'James Cameron' is the obvious intended string.		cons31
bamboogle	bamboogle_0059_abedd531	In what year was the tallest fixed steel structure completed?	1988	frontier_consensus_vs_gold	All three frontier models agree on '2012' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash,gpt_5_1	3	2012	google-gemini-2-5-pro	0	0	0	2012	2000	The gold answer is '1988' and the prediction is '2012'. Calendar dates and years must match exactly according to Rule 2. The prediction contradicts the gold answer.	The years provided (2000 and 2012) are different and calendar years must match exactly.	google-gemini-2-5-flash	1	0	1	2012	2012	The prediction '2012' contradicts the gold answer '1988'. Calendar dates/years must match exactly.	Both answers state the exact same year.	gpt-5-1	1	0	1	2012	2012	The gold answer is 1988, and the prediction is 2012. Calendar dates/years must match exactly, and these values are different.	Both answers state the exact same year.	likely_outdated_or_definition	medium	All models answer 2012 vs gold 1988; likely an outdated snapshot or a definition mismatch for 'tallest fixed steel structure'.		cons31
bamboogle	bamboogle_0064_647f7ea9	In what year was the tallest lighthouse completed?	1902	likely_gold_error/outdated	All three models answer 1990; likely refers to the Jeddah Light (tallest lighthouse), completed in 1990. Gold year 1902 appears inconsistent with 'tallest'.	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	3	1990	google-gemini-2-5-pro	1	0	1	1990	1990	The gold answer is '1902' and the prediction is '1990'. Calendar dates/years must match exactly according to rule 2, and these do not match.	Both answers state the exact same year.	google-gemini-2-5-flash	1	0	1	1990	1990	The predicted year (1990) does not match the gold year (1902). Calendar dates/years must match exactly according to rule 2.	Both answers state the exact same year.	gpt-5-1	1	0	1	1990	1990	The gold answer is '1902' and the prediction is '1990'. Calendar dates/years must match exactly, and these values are different.	Both answers state the same year.	likely_gold_error/outdated	high	All three models answer 1990; likely refers to the Jeddah Light (tallest lighthouse), completed in 1990. Gold year 1902 appears inconsistent with 'tallest'.	Verify/replace gold; clarify which lighthouse or year-of-record.	intersection44
bamboogle	bamboogle_0091_3845ed5d	Who is the father of the father of the hydrogen bomb?	Max Teller	alias_or_evaluation_strictness	Consistency judge mentions alias/equivalence (e.g., anglicization); open correctness may be overly strict about surface-form differences.	gpt_5_1	2	Max Teller	google-gemini-2-5-pro	0	1	1	Max Teller	Max Teller	The prediction is identical to the gold answer.	Both answers are identical.	google-gemini-2-5-flash	0	1	1	Max Teller	Max Teller	The prediction is identical to the gold answer.	Both answers are identical.	gpt-5-1	1	0	1	Miksa Teller	Max Teller	The prediction 'Miksa Teller' is a different name from the gold answer 'Max Teller'. While they share a surname, the given names are distinct, making the prediction incorrect.	"""Max"" is a common anglicization of the Hungarian name ""Miksa"", referring to the same person."	alias_or_evaluation_strictness		gpt_5_1: alias_or_evaluation_strictness — Consistency judge notes alias/equivalence between open and assistive answers; open correctness may be overly strict about surface-form differences.		per_model_manual
bamboogle	bamboogle_0094_f6def5e8	Who was the father of the founder of modern human anatomy?	Anders van Wesel	partial_frontier_consensus_all_wrong	Two frontier models agree on 'Andries van Wesel' (normalized), but all are judged incorrect; could be gold issues, underspecification, or shared misconception.	gemini_2_5_pro,gpt_5_1	2	Andries van Wesel	google-gemini-2-5-pro	1	0	1	Andries van Wesele	Andries van Wesele	The first names 'Anders' and 'Andries' are distinct, not merely a case of capitalization, punctuation, or a common alias. While 'Wesele' is a minor spelling variation of 'Wesel', the difference in the first name makes the prediction not the same essential fact as the gold.	Both answers are identical.	google-gemini-2-5-flash	0	0	0	Andries van Wesel	Andries van Wesele	The prediction 'Andries van Wesel' provides a different first name than the gold answer 'Anders van Wesel'. These are distinct names and not considered equivalent under normalization rules.	"The names ""Wesele"" and ""Wesel"" are different spellings and are not considered equivalent under normalization rules for proper nouns."	gpt-5-1	1	0	1	Andries van Wesel	Andries van Wesel	The prediction 'Andries van Wesel' differs from the gold 'Anders van Wesel' in the first name. 'Anders' and 'Andries' are distinct names, and this is not a case of alias, abbreviation, or minor formatting difference.	Both answers are identical.	possible_gold_error_or_ambiguity		gemini_2_5_pro: outlier_vs_frontier_consensus — Other frontier models agree (2/3) on 'Andries van Wesel', while this model answers 'Andries van Wesele'. Likely a model-specific stable error (or alias). | gpt_5_1: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'Andries van Wesel' vs gold; could be gold error/ambiguity or shared model misconception.		per_model_manual
crag	04fd2c98-6531-41a0-8f9f-4af6b7f012ef	who was the mvp of the mlb world series last year?	corey saeger, who plays for the texas rangers, was the mvp of the mlb world series last year.	time_dependent	World Series MVP depends on year; gold and models align to different seasons (e.g., Seager vs Soler).	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	3	Jorge Soler	google-gemini-2-5-pro	1	0	1	Jorge Soler	Jorge Soler	The gold answer states 'Corey Seager' as the MVP, while the prediction states 'Jorge Soler'. These are different individuals, leading to a contradiction on the core fact of the question.	Both answers are identical.	google-gemini-2-5-flash	1	0	1	Jorge Soler	Jorge Soler	The gold answer states 'Corey Seager' as the MVP, while the prediction states 'Jorge Soler'. These are different individuals, leading to a contradiction on the core fact of the question.	Both answers are identical.	gpt-5-1	1	0	1	Jorge Soler	Jorge Soler	The gold answer states 'Corey Seager' as the MVP, while the prediction states 'Jorge Soler'. These are different individuals, leading to a contradiction on the core fact of the question.	Both answers are identical.	time_dependent	high	World Series MVP depends on year; gold and models align to different seasons (e.g., Seager vs Soler).	Time-filter or include the year in the question.	intersection44
crag	0512b2a6-b900-4454-8613-512e65b1913e	who was the top scorer in the women's world cup last year?	miyazawa hinata	time_dependent	Time-relative phrasing ('last year'); gold likely tied to a specific snapshot/date.	gemini_2_5_pro,gpt_5_1	2	Megan Rapinoe	google-gemini-2-5-pro	1	0	1	Megan Rapinoe; Alex Morgan; Ellen White	Megan Rapinoe; Alex Morgan; Ellen White	The prediction lists 'Megan Rapinoe; Alex Morgan; Ellen White' as top scorers, which does not match the gold answer 'miyazawa hinata'. The gold answer is a single name, and none of the names in the prediction are equivalent to the gold answer.	Both answers are identical, listing the same names in the same order.	google-gemini-2-5-flash	0	0	0	Megan Rapinoe	Hinata Miyazawa	The prediction 'Megan Rapinoe' is a different person than the gold answer 'Miyazawa Hinata'. Miyazawa Hinata was the top scorer in the 2023 Women's World Cup, making the prediction incorrect.	The answers name different individuals as the top scorer, which is a direct contradiction. Hinata Miyazawa was the top scorer in the 2023 Women's World Cup, while Megan Rapinoe was not.	gpt-5-1	1	0	1	Megan Rapinoe	Megan Rapinoe	The prediction 'Megan Rapinoe' is a different person than the gold answer 'Miyazawa Hinata'. Miyazawa Hinata was the top scorer in the 2023 Women's World Cup, while Megan Rapinoe was not.	Both answers are identical.	time_dependent		gemini_2_5_pro: time_dependent — Time-relative phrasing ('last year'); gold likely tied to a specific snapshot. | gpt_5_1: time_dependent — Time-relative phrasing ('last year'); gold likely tied to a specific snapshot.		per_model_manual
