dataset	id	question	gold_answer	assistant_label	assistant_notes	stable_wrong_models	frontier_open_consensus_count	frontier_open_consensus_answer	model_dir__gemini_2_5_pro	stable_wrong__gemini_2_5_pro	open_correct__gemini_2_5_pro	consistency_equivalent__gemini_2_5_pro	open_answer__gemini_2_5_pro	assistive_answer__gemini_2_5_pro	open_correctness_reasoning__gemini_2_5_pro	consistency_reasoning__gemini_2_5_pro	model_dir__gemini_2_5_flash	stable_wrong__gemini_2_5_flash	open_correct__gemini_2_5_flash	consistency_equivalent__gemini_2_5_flash	open_answer__gemini_2_5_flash	assistive_answer__gemini_2_5_flash	open_correctness_reasoning__gemini_2_5_flash	consistency_reasoning__gemini_2_5_flash	model_dir__gpt_5_1	stable_wrong__gpt_5_1	open_correct__gpt_5_1	consistency_equivalent__gpt_5_1	open_answer__gpt_5_1	assistive_answer__gpt_5_1	open_correctness_reasoning__gpt_5_1	consistency_reasoning__gpt_5_1	hand_review_label	hand_review_confidence	hand_review_notes	hand_review_suggested_action	hand_review_source
bamboogle	bamboogle_0039_7e165501	When did Nirvana's second most selling studio album come out?	September 13, 1993	one_model_correct_disagreement	Frontier answers disagree (2-of-3 on '1993-09-21'), but exactly one model is judged correct; likely a model error rather than true ambiguity.	gemini_2_5_flash,gpt_5_1	2	1993-09-21	google-gemini-2-5-pro	0	1	1	1993-09-13	1993-09-13	The gold and prediction provide the same date, just in different formats. Date equivalence is met.	Both answers provide the exact same date.	google-gemini-2-5-flash	1	0	1	1993-09-21	1993-09-21	The gold answer specifies 'September 13, 1993' while the prediction states '1993-09-21'. Calendar dates must match exactly, and the day (13 vs 21) does not match.	Both answers provide the exact same calendar date.	gpt-5-1	1	0	1	1993-09-21	1993-09-21	The gold answer specifies 'September 13, 1993', while the prediction states '1993-09-21'. Calendar dates must match exactly, and the day (13 vs 21) is different.	Both answers provide the exact same date.	possible_gold_error_or_ambiguity		gemini_2_5_flash: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on '1993-09-21' vs gold; could be gold error/ambiguity or shared model misconception. | gpt_5_1: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on '1993-09-21' vs gold; could be gold error/ambiguity or shared model misconception.		per_model_manual
bamboogle	bamboogle_0055_a38b6895	Who directed the highest grossing film?	James Cameroon	frontier_consensus_vs_gold	All three frontier models agree on 'James Cameron' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash,gpt_5_1	3	James Cameron	google-gemini-2-5-pro	0	1	1	James Cameron	James Cameron	The prediction 'James Cameron' is a common and widely accepted spelling of the director's name, while 'James Cameroon' in the gold answer appears to be a misspelling. Given the context of a proper name, this minor spelling difference is considered equivalent.	Both answers are identical.	google-gemini-2-5-flash	1	0	1	James Cameron	James Cameron	The prediction 'James Cameron' differs from the gold answer 'James Cameroon' by a spelling mistake in the last name. This is not covered by normalization rules for aliases or common variations.	Both answers are identical.	gpt-5-1	1	0	1	James Cameron	James Cameron	The gold answer 'James Cameroon' has a different spelling for the last name compared to the prediction 'James Cameron'. While 'James Cameron' is the correct spelling of the director's name, the evaluation must compare the prediction against the provided gold answer, which contains a typo. The names are not identical and do not fall under alias/abbreviation normalization.	Both answers are identical.	gold_typo	high	Gold appears to have a typo ('James Cameroon'); consensus 'James Cameron' is the obvious intended string.		cons31
bamboogle	bamboogle_0059_abedd531	In what year was the tallest fixed steel structure completed?	1988	frontier_consensus_vs_gold	All three frontier models agree on '2012' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash,gpt_5_1	3	2012	google-gemini-2-5-pro	0	0	0	2012	2000	The gold answer is '1988' and the prediction is '2012'. Calendar dates and years must match exactly according to Rule 2. The prediction contradicts the gold answer.	The years provided (2000 and 2012) are different and calendar years must match exactly.	google-gemini-2-5-flash	1	0	1	2012	2012	The prediction '2012' contradicts the gold answer '1988'. Calendar dates/years must match exactly.	Both answers state the exact same year.	gpt-5-1	1	0	1	2012	2012	The gold answer is 1988, and the prediction is 2012. Calendar dates/years must match exactly, and these values are different.	Both answers state the exact same year.	likely_outdated_or_definition	medium	All models answer 2012 vs gold 1988; likely an outdated snapshot or a definition mismatch for 'tallest fixed steel structure'.		cons31
bamboogle	bamboogle_0064_647f7ea9	In what year was the tallest lighthouse completed?	1902	likely_gold_error/outdated	All three models answer 1990; likely refers to the Jeddah Light (tallest lighthouse), completed in 1990. Gold year 1902 appears inconsistent with 'tallest'.	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	3	1990	google-gemini-2-5-pro	1	0	1	1990	1990	The gold answer is '1902' and the prediction is '1990'. Calendar dates/years must match exactly according to rule 2, and these do not match.	Both answers state the exact same year.	google-gemini-2-5-flash	1	0	1	1990	1990	The predicted year (1990) does not match the gold year (1902). Calendar dates/years must match exactly according to rule 2.	Both answers state the exact same year.	gpt-5-1	1	0	1	1990	1990	The gold answer is '1902' and the prediction is '1990'. Calendar dates/years must match exactly, and these values are different.	Both answers state the same year.	likely_gold_error/outdated	high	All three models answer 1990; likely refers to the Jeddah Light (tallest lighthouse), completed in 1990. Gold year 1902 appears inconsistent with 'tallest'.	Verify/replace gold; clarify which lighthouse or year-of-record.	intersection44
bamboogle	bamboogle_0066_6b32e7f3	The most populous national capital city was established in what year?	1045 BC	frontier_consensus_vs_gold	All three frontier models agree on '1457' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash	3	1457	google-gemini-2-5-pro	0	0	0	1457	1271	The gold answer specifies '1045 BC' while the prediction states '1457'. These are different years and do not match, violating the exact match requirement for calendar dates/years.	The years provided are different and do not fall within any acceptable numeric tolerance.	google-gemini-2-5-flash	1	0	1	1457	1457	The gold answer specifies '1045 BC' while the prediction is '1457'. Calendar dates or years must match exactly according to Rule 2, and these values are significantly different.	Both answers state the exact same year.	gpt-5-1	0	0	0	1457	1868	The gold answer specifies '1045 BC' while the prediction states '1457'. These are different years, and calendar dates/years must match exactly according to the rules.	The years provided are different and calendar dates/years must match exactly.	likely_gold_error	medium-high	Gold year '1045 BC' seems inconsistent with a modern most-populous capital framing; consensus 1457 likely corresponds to a different intended capital (e.g., Tokyo/Edo founding).		cons31
bamboogle	bamboogle_0072_70ea2630	In what year did the oldest cat ever recorded with the Cat of the Year award?	1999	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	gemini_2_5_flash	1	The oldest cat ever recorded, Creme Puff, did not win a Cat of the Year award.	google-gemini-2-5-pro	0	0	0	The oldest cat ever recorded, Creme Puff, did not win a Cat of the Year award.	1999	The gold answer states the event happened in 1999, implying the oldest cat won the award. The prediction explicitly states that the oldest cat did not win a Cat of the Year award, which is a direct contradiction of the gold fact.	Answer B states that the cat did not win the award, which contradicts Answer A's claim of a specific year (1999) for winning the award.	google-gemini-2-5-flash	1	0	1	"The oldest cat ever recorded did not win a ""Cat of the Year"" award."	N/A	The gold answer provides a specific year (1999) for the event, implying it occurred. The prediction explicitly states that the event did not happen, which is a direct contradiction of the gold fact.	"Answer A ""N/A"" implies that the event did not occur, which is explicitly stated in Answer B. Both convey that there is no year because the premise of the question is false."	gpt-5-1	0	1	-1		Creme Puff never won the Cat of the Year award	Missing prediction text	Answer B is an empty string, which is considered not meaningful.	needs_verification	low	gemini_2_5_flash: unclear_needs_manual_check — No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	Verify the underlying fact and entity mapping externally.	per_model_manual
bamboogle	bamboogle_0101_5fc6a795	What is the lowest elevation of the longest railway tunnel?	312 m	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	gemini_2_5_flash	1	312 m	google-gemini-2-5-pro	0	1	1	312 m	312 m	The prediction is an exact match to the gold answer.	Both answers are identical.	google-gemini-2-5-flash	1	0	1	325 m	325 m	The gold answer is 312 m and the prediction is 325 m. The absolute difference is 13 m. The allowed tolerance is max(0.5, 1% of 312) = max(0.5, 3.12) = 3.12 m. Since 13 m is greater than 3.12 m, the prediction is outside the acceptable numeric tolerance.	Both answers are identical.	gpt-5-1	0	0	0	−240 m	312 m above sea level	The predicted value '-240 m' is numerically very different from the gold value '312 m'. The absolute difference (552) far exceeds the allowed tolerance (max(0.5, 1% of 312 = 3.12)). Furthermore, the prediction implies an elevation below sea level, while the gold implies an elevation above sea level, which is a direct contradiction.	The values are numerically different (312 vs -240) and represent opposite directions relative to sea level (above vs below).	possible_gold_typo_or_alias		gemini_2_5_flash: possible_gold_typo_or_alias — Open answer '325 m' is very close to gold '312 m' (edit-distance 2); likely typo/alias/normalization issue.		per_model_manual
bamboogle	bamboogle_0110_3800034a	What's the motto of the oldest California State university?	Powering Silicon Valley	single_model_error	At least 2/3 frontier models are judged correct; likely a model-specific stable mistake for: gemini_2_5_flash.	gemini_2_5_flash	2	Powering Silicon Valley	google-gemini-2-5-pro	0	1	0	Powering Silicon Valley	Power; Wisdom; Friendship	The prediction is an exact match to the gold answer.	The two answers provide completely different mottos. Answer A lists three distinct concepts, while Answer B provides a single, different phrase.	google-gemini-2-5-flash	1	0	1	Lux, Veritas, Honestas	Lux, Veritas, Honestas	The prediction 'Lux, Veritas, Honestas' is a different motto than the gold answer 'Powering Silicon Valley'. There is a direct contradiction on the specific fact requested.	Both answers are identical.	gpt-5-1	0	1	1	Powering Silicon Valley	Powering Silicon Valley	The prediction is identical to the gold answer.	Both answers are identical.	outlier_vs_frontier_consensus		gemini_2_5_flash: outlier_vs_frontier_consensus — Other frontier models agree (2/3) on 'Powering Silicon Valley', while this model answers 'Lux, Veritas, Honestas'. Likely a model-specific stable error (or alias).		per_model_manual
crag	00283e38-b411-425f-ad12-b6de87e4dc45	how old is the oldest currently working action movie actor?	one of the oldest currently working action movie actors, arnold schwarzenegger, is 76 years old.	time_dependent	Time-relative phrasing ('currently'); gold likely tied to a specific snapshot/date.	gemini_2_5_pro,gemini_2_5_flash	1	93	google-gemini-2-5-pro	1	0	1	93	92	The gold answer states an age of 76, while the prediction states 93. These numerical values are significantly different and outside the allowed tolerance for numeric expressions.	Numeric values for age are within the 1-5.5 percentage-point tolerance for values that drift over time (1.075% difference).	google-gemini-2-5-flash	1	0	1	92	92	The gold answer states Arnold Schwarzenegger is 76 years old. The prediction gives '92'. These numerical values are significantly different and fall outside the allowed tolerance for numeric expressions (|92 - 76| = 16, which is much greater than max(0.5, 1% of 76 = 0.76)).	Both answers state the same numerical value.	gpt-5-1	0	0	0	80	92	API error: Expecting value: line 1 column 1 (char 0)	The numerical values (92 and 80) are outside the 5.5 percentage-point tolerance for values that naturally drift over time.	time_dependent		gemini_2_5_pro: time_dependent — Time-relative phrasing ('currently'); gold likely tied to a specific snapshot. | gemini_2_5_flash: time_dependent — Time-relative phrasing ('currently'); gold likely tied to a specific snapshot.		per_model_manual
crag	04fd2c98-6531-41a0-8f9f-4af6b7f012ef	who was the mvp of the mlb world series last year?	corey saeger, who plays for the texas rangers, was the mvp of the mlb world series last year.	time_dependent	World Series MVP depends on year; gold and models align to different seasons (e.g., Seager vs Soler).	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	3	Jorge Soler	google-gemini-2-5-pro	1	0	1	Jorge Soler	Jorge Soler	The gold answer states 'Corey Seager' as the MVP, while the prediction states 'Jorge Soler'. These are different individuals, leading to a contradiction on the core fact of the question.	Both answers are identical.	google-gemini-2-5-flash	1	0	1	Jorge Soler	Jorge Soler	The gold answer states 'Corey Seager' as the MVP, while the prediction states 'Jorge Soler'. These are different individuals, leading to a contradiction on the core fact of the question.	Both answers are identical.	gpt-5-1	1	0	1	Jorge Soler	Jorge Soler	The gold answer states 'Corey Seager' as the MVP, while the prediction states 'Jorge Soler'. These are different individuals, leading to a contradiction on the core fact of the question.	Both answers are identical.	time_dependent	high	World Series MVP depends on year; gold and models align to different seasons (e.g., Seager vs Soler).	Time-filter or include the year in the question.	intersection44
