dataset	id	question	gold_answer	assistant_label	assistant_notes	stable_wrong_models	frontier_open_consensus_count	frontier_open_consensus_answer	model_dir__gemini_2_5_pro	stable_wrong__gemini_2_5_pro	open_correct__gemini_2_5_pro	consistency_equivalent__gemini_2_5_pro	open_answer__gemini_2_5_pro	assistive_answer__gemini_2_5_pro	open_correctness_reasoning__gemini_2_5_pro	consistency_reasoning__gemini_2_5_pro	model_dir__gemini_2_5_flash	stable_wrong__gemini_2_5_flash	open_correct__gemini_2_5_flash	consistency_equivalent__gemini_2_5_flash	open_answer__gemini_2_5_flash	assistive_answer__gemini_2_5_flash	open_correctness_reasoning__gemini_2_5_flash	consistency_reasoning__gemini_2_5_flash	model_dir__gpt_5_1	stable_wrong__gpt_5_1	open_correct__gpt_5_1	consistency_equivalent__gpt_5_1	open_answer__gpt_5_1	assistive_answer__gpt_5_1	open_correctness_reasoning__gpt_5_1	consistency_reasoning__gpt_5_1
crag	00283e38-b411-425f-ad12-b6de87e4dc45	how old is the oldest currently working action movie actor?	one of the oldest currently working action movie actors, arnold schwarzenegger, is 76 years old.	time_dependent	Time-relative phrasing ('currently'); gold likely tied to a specific snapshot/date.	gemini_2_5_pro,gemini_2_5_flash	1	93	google-gemini-2-5-pro	1	0	1	93	92	The gold answer states an age of 76, while the prediction states 93. These numerical values are significantly different and outside the allowed tolerance for numeric expressions.	Numeric values for age are within the 1-5.5 percentage-point tolerance for values that drift over time (1.075% difference).	google-gemini-2-5-flash	1	0	1	92	92	The gold answer states Arnold Schwarzenegger is 76 years old. The prediction gives '92'. These numerical values are significantly different and fall outside the allowed tolerance for numeric expressions (|92 - 76| = 16, which is much greater than max(0.5, 1% of 76 = 0.76)).	Both answers state the same numerical value.	gpt-5-1	0	0	0	80	92	API error: Expecting value: line 1 column 1 (char 0)	The numerical values (92 and 80) are outside the 5.5 percentage-point tolerance for values that naturally drift over time.
crag	04fd2c98-6531-41a0-8f9f-4af6b7f012ef	who was the mvp of the mlb world series last year?	corey saeger, who plays for the texas rangers, was the mvp of the mlb world series last year.	time_dependent	World Series MVP depends on year; gold and models align to different seasons (e.g., Seager vs Soler).	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	3	Jorge Soler	google-gemini-2-5-pro	1	0	1	Jorge Soler	Jorge Soler	The gold answer states 'Corey Seager' as the MVP, while the prediction states 'Jorge Soler'. These are different individuals, leading to a contradiction on the core fact of the question.	Both answers are identical.	google-gemini-2-5-flash	1	0	1	Jorge Soler	Jorge Soler	The gold answer states 'Corey Seager' as the MVP, while the prediction states 'Jorge Soler'. These are different individuals, leading to a contradiction on the core fact of the question.	Both answers are identical.	gpt-5-1	1	0	1	Jorge Soler	Jorge Soler	The gold answer states 'Corey Seager' as the MVP, while the prediction states 'Jorge Soler'. These are different individuals, leading to a contradiction on the core fact of the question.	Both answers are identical.
crag	0512b2a6-b900-4454-8613-512e65b1913e	who was the top scorer in the women's world cup last year?	miyazawa hinata	time_dependent	Time-relative phrasing ('last year'); gold likely tied to a specific snapshot/date.	gemini_2_5_pro,gpt_5_1	2	Megan Rapinoe	google-gemini-2-5-pro	1	0	1	Megan Rapinoe; Alex Morgan; Ellen White	Megan Rapinoe; Alex Morgan; Ellen White	The prediction lists 'Megan Rapinoe; Alex Morgan; Ellen White' as top scorers, which does not match the gold answer 'miyazawa hinata'. The gold answer is a single name, and none of the names in the prediction are equivalent to the gold answer.	Both answers are identical, listing the same names in the same order.	google-gemini-2-5-flash	0	0	0	Megan Rapinoe	Hinata Miyazawa	The prediction 'Megan Rapinoe' is a different person than the gold answer 'Miyazawa Hinata'. Miyazawa Hinata was the top scorer in the 2023 Women's World Cup, making the prediction incorrect.	The answers name different individuals as the top scorer, which is a direct contradiction. Hinata Miyazawa was the top scorer in the 2023 Women's World Cup, while Megan Rapinoe was not.	gpt-5-1	1	0	1	Megan Rapinoe	Megan Rapinoe	The prediction 'Megan Rapinoe' is a different person than the gold answer 'Miyazawa Hinata'. Miyazawa Hinata was the top scorer in the 2023 Women's World Cup, while Megan Rapinoe was not.	Both answers are identical.
crag	0531f5e7-d6ac-4c45-be32-5e530f83835b	what's the most recent album from the founder of ysl records?	business is business	time_dependent	Time-relative phrasing ('most recent'); gold likely tied to a specific snapshot/date.	gemini_2_5_pro,gpt_5_1	3	Punk	google-gemini-2-5-pro	1	0	1	Punk	Punk	The prediction 'Punk' is a different album title than the gold answer 'business is business'. There is no equivalence or normalization that makes them the same.	Both answers are identical.	google-gemini-2-5-flash	0	0	0	Punk	Business Is Business	The prediction 'Punk' is a different album title than the gold answer 'business is business'.	"The answers provide different album titles, and only one can be the most recent. ""Business Is Business"" (2023) is more recent than ""Punk"" (2021)."	gpt-5-1	1	0	1	Punk	Punk	The prediction 'Punk' is a different album title than the gold answer 'business is business'. There is no equivalence or normalization that makes them the same.	Both answers are identical.
crag	280d60d1-f2be-4895-ae73-29461c8f1b35	who is the starting small forward for the team that is currently number one in the nba's eastern conference?	jayson tatum is the starting small forward for the boston celtics, currently the number one in the nba's eastern conference.	time_dependent	Time-relative phrasing ('currently'); gold likely tied to a specific snapshot/date.	gemini_2_5_pro,gpt_5_1	2	Jimmy Butler	google-gemini-2-5-pro	1	0	1	Jimmy Butler	Jimmy Butler	The gold answer identifies Jayson Tatum as the starting small forward, while the prediction states Jimmy Butler. These are different individuals, making the prediction incorrect.	Both answers are identical.	google-gemini-2-5-flash	0	1	-1	The NBA season had not yet started on 2022-10-04, so there was no number one team in the Eastern Conference.	Jimmy Butler	The prediction does not answer the question about who the starting small forward is. Instead, it explains why the premise of the question (a 'number one team' at a specific time) might not be valid, thus failing to provide the requested information. This falls under 'not meaningful' as it does not directly answer the question.	Answer B does not directly answer the question about the player's name; instead, it explains why the question cannot be answered, making it not meaningful.	gpt-5-1	1	0	1	Jimmy Butler	Jimmy Butler	The gold answer identifies Jayson Tatum as the starting small forward, while the prediction states Jimmy Butler. These are different players, leading to a contradiction.	Both answers are identical.
crag	318361f8-af94-4b0b-8017-c0f04ec1755c	what company in the dow jones has the largest market capitalization?	microsoft	time_dependent	Largest market cap among Dow components varies over time; gold says Microsoft while all models say Apple.	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	2	Apple Inc.	google-gemini-2-5-pro	1	0	1	Apple Inc.	Apple Inc.	The prediction 'Apple Inc.' is a different company than the gold answer 'microsoft', directly contradicting the gold fact about which company has the largest market capitalization in the Dow Jones.	Both answers are identical.	google-gemini-2-5-flash	1	0	1	Apple	Apple	The prediction 'Apple' contradicts the gold answer 'microsoft' as they are different companies.	Both answers are identical.	gpt-5-1	1	0	1	Apple Inc.	Apple Inc.	The prediction 'Apple Inc.' is a different company than the gold answer 'microsoft', directly contradicting the gold fact.	Both answers are identical.
crag	3e6f239d-0354-4867-99ef-9542db6a83c8	what team does the player who threw the most interceptions last year play for?	the player who threw the most interceptions last year, sam howell, plays for the washington commanders.	time_dependent	'Last year' depends on the evaluation year; model answers point to a different season/player than gold.	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	2	Jacksonville Jaguars	google-gemini-2-5-pro	1	0	1	Jacksonville Jaguars; Los Angeles Rams	Jacksonville Jaguars; Los Angeles Rams	The gold answer states the player plays for the 'Washington Commanders', while the prediction lists 'Jacksonville Jaguars' and 'Los Angeles Rams'. These teams do not match the gold answer.	Both answers are identical lists of teams.	google-gemini-2-5-flash	1	0	1	Jacksonville Jaguars	Jacksonville Jaguars	The gold answer states the player plays for the 'Washington Commanders', while the prediction states 'Jacksonville Jaguars'. These are different teams, leading to a contradiction.	Both answers are identical.	gpt-5-1	1	0	1	Jacksonville Jaguars	Jacksonville Jaguars	The gold answer states the player plays for the 'Washington Commanders', while the prediction states 'Jacksonville Jaguars'. These are different teams, leading to a contradiction.	Both answers are identical.
crag	4713fbb8-0591-47fc-baa6-23b3d2595a6d	who was the player who won the most titles in the wta last year?	iga swiatek won the most titles in the wta last year.	time_dependent	Time-relative phrasing ('last year'); gold likely tied to a specific snapshot/date.	gemini_2_5_pro	3	Ashleigh Barty	google-gemini-2-5-pro	1	0	1	Ashleigh Barty	Ashleigh Barty	The gold answer identifies 'Iga Swiatek' as the player, while the prediction states 'Ashleigh Barty'. These are different individuals, leading to a contradiction.	Both answers are identical.	google-gemini-2-5-flash	0	0	0	Ashleigh Barty	Ashleigh Barty; Barbora Krejčíková; Iga Świątek; Ons Jabeur	The gold answer identifies 'Iga Swiatek' as the player, while the prediction states 'Ashleigh Barty'. These are different individuals, leading to a contradiction.	Answer A lists multiple players, implying they all won the most titles, which contradicts the fact that Ashleigh Barty was the sole player with the most titles in 2021 (the most likely year for this answer to be correct). Answer B correctly identifies Ashleigh Barty.	gpt-5-1	0	0	0	Ashleigh Barty	Ashleigh Barty; Anett Kontaveit	The gold answer states 'Iga Swiatek' won the most titles, while the prediction states 'Ashleigh Barty'. These are different players, leading to a direct contradiction of the key fact.	"If Ashleigh Barty was the sole player to win the most titles (as implied by the singular ""the player"" in the question and Answer B), then Answer A is incorrect by including Anett Kontaveit, thus creating a contradiction."
crag	4835d4a2-4f31-423b-9f82-4c879c7798ed	who was the goalkeeper of the team that won the champions league final last year?	ederson, who plays for manchester city, was the goalkeeper of the team that won the champions league final last year.	time_dependent	'Last year' Champions League winner varies; models give different plausible goalkeepers for different years (Courtois/Mendy), while gold anchors another year (Ederson).	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	2	Thibaut Courtois	google-gemini-2-5-pro	1	0	1	Thibaut Courtois	Thibaut Courtois	The gold answer identifies Ederson as the goalkeeper, while the prediction names Thibaut Courtois. These are two different individuals, leading to a direct contradiction of the core fact.	Both answers are identical.	google-gemini-2-5-flash	1	0	1	Thibaut Courtois	Thibaut Courtois	The gold answer identifies Ederson as the goalkeeper of the winning team (Manchester City) in the Champions League final last year. The prediction names Thibaut Courtois, who is a different goalkeeper and did not play for the winning team last year, thus contradicting the gold fact.	Both answers are identical.	gpt-5-1	1	0	1	Édouard Mendy	Édouard Mendy	The gold answer states the goalkeeper was 'Ederson', while the prediction states 'Édouard Mendy'. These are different individuals, leading to a contradiction.	Both answers are identical.
crag	5a55dd6b-371b-4daa-a2a2-7df503885d21	how far did last year's west coast conference champion go in the postseason?	gonzaga, last year's west coast conference champion, made it to the elite 8 in the ncaa tournament.	time_dependent	Conference champions and tournament exits vary by year. 'Last year' makes this unstable; gold and models reflect different seasons.	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	3	Sweet Sixteen	google-gemini-2-5-pro	1	0	1	Sweet Sixteen	Sweet Sixteen	The gold answer states the team made it to the 'Elite 8', while the prediction states 'Sweet Sixteen'. These are different stages in a tournament, making the prediction a contradiction of the gold fact.	Both answers are identical.	google-gemini-2-5-flash	1	0	1	Sweet Sixteen	Sweet Sixteen	The gold answer states the team made it to the 'Elite 8', while the prediction states 'Sweet Sixteen'. These are different stages in a tournament, and 'Sweet Sixteen' is not equivalent to 'Elite 8'.	Both answers are identical.	gpt-5-1	1	0	1	Sweet Sixteen	They reached the Sweet Sixteen in the NCAA Tournament	The gold answer states the team made it to the 'Elite 8', while the prediction states 'Sweet Sixteen'. These are different stages in a tournament, making the prediction factually incorrect.	"Answer A provides extra descriptive text (""in the NCAA Tournament"") that does not contradict or change the core fact (""Sweet Sixteen"") present in Answer B."
