dataset	bucket	count	pct
(all)	unclear	129	0.364
(all)	ambiguous_or_definition	120	0.339
(all)	likely_gold_or_outdated	63	0.178
(all)	time_dependent	42	0.119
bamboogle	unclear	7	0.368
bamboogle	ambiguous_or_definition	5	0.263
bamboogle	likely_gold_or_outdated	7	0.368
crag	time_dependent	26	0.531
crag	likely_gold_or_outdated	3	0.061
crag	ambiguous_or_definition	11	0.224
crag	unclear	9	0.184
frames	time_dependent	10	0.133
frames	unclear	29	0.387
frames	likely_gold_or_outdated	16	0.213
frames	ambiguous_or_definition	20	0.267
hotpotqa	likely_gold_or_outdated	10	0.154
hotpotqa	ambiguous_or_definition	23	0.354
hotpotqa	unclear	30	0.462
hotpotqa	time_dependent	2	0.031
mintaka	ambiguous_or_definition	14	0.389
mintaka	time_dependent	4	0.111
mintaka	likely_gold_or_outdated	14	0.389
mintaka	unclear	4	0.111
musique	ambiguous_or_definition	47	0.427
musique	unclear	50	0.455
musique	likely_gold_or_outdated	13	0.118
