model	dataset	one_minus_recall_before	one_minus_recall_after	open_wrong_before	open_wrong_after	n_records_before	n_records_after	source_before	source_after	excluded_ids_count
GPT-5.1	bamboogle	0.3333333333333333	0.0	18.0	5.0	123.0	107.0	baseline_records:results/baselines/bamboogle/gpt-5-1/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/gpt-5-1/bamboogle_pairwise_assistive.json	16
GPT-5.1	crag	0.5818181818181818	0.11764705882352941	55.0	17.0	162.0	116.0	eval_oldstyle:results/correctness/crag/gpt-5-1/crag_open_ended_correctness.json|results/consistency/crag/gpt-5-1/crag_assistive_vs_open_ended_consistency.json	eval_oldstyle:results/correctness/crag/gpt-5-1/crag_open_ended_correctness.json|results/consistency/crag/gpt-5-1/crag_assistive_vs_open_ended_consistency.json	46
GPT-5.1	frames	0.4666666666666667	0.24390243902439024	75.0	41.0	292.0	252.0	eval_newstyle:results/correctness/frames/gpt-5.1/open_ended_correctness.json|results/consistency/frames/gpt-5.1/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/gpt-5.1/open_ended_correctness.json|results/consistency/frames/gpt-5.1/consistency_open_ended_vs_assistive.json	41
GPT-5.1	hotpotqa	0.36538461538461536	0.047619047619047616	52.0	21.0	185.0	144.0	baseline_records:results/baselines/hotpotqa/gpt-5-1/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/gpt-5-1/hotpotqa_pairwise_assistive.json	56
GPT-5.1	mintaka	0.675	0.07142857142857142	40.0	14.0	293.0	262.0	baseline_records:results/baselines/mintaka/gpt-5-1/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/gpt-5-1/mintaka_pairwise_assistive.json	31
GPT-5.1	musique	0.4186046511627907	0.12727272727272726	129.0	55.0	294.0	215.0	eval_newstyle:results/correctness/musique/gpt-5.1/open_ended_correctness.json|results/consistency/musique/gpt-5.1/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/musique/gpt-5.1/open_ended_correctness.json|results/consistency/musique/gpt-5.1/consistency_open_ended_vs_assistive.json	81
Gemini-2.5-Pro	bamboogle	0.5294117647058824	0.3333333333333333	17.0	6.0	123.0	107.0	baseline_records:results/baselines/bamboogle/google-gemini-2-5-pro/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/google-gemini-2-5-pro/bamboogle_pairwise_assistive.json	16
Gemini-2.5-Pro	crag	0.6481481481481481	0.0	54.0	12.0	162.0	116.0	baseline_records:results/baselines/crag/google-gemini-2-5-pro/crag_pairwise_assistive.json	baseline_records:results/baselines/crag/google-gemini-2-5-pro/crag_pairwise_assistive.json	46
Gemini-2.5-Pro	frames	0.4625	0.2916666666666667	80.0	48.0	299.0	258.0	eval_newstyle:results/correctness/frames/gemini-2.5-pro/open_ended_correctness.json|results/consistency/frames/gemini-2.5-pro/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/gemini-2.5-pro/open_ended_correctness.json|results/consistency/frames/gemini-2.5-pro/consistency_open_ended_vs_assistive.json	41
Gemini-2.5-Pro	hotpotqa	0.32222222222222224	0.04878048780487805	90.0	41.0	274.0	218.0	baseline_records:results/baselines/hotpotqa/google-gemini-2-5-pro/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/google-gemini-2-5-pro/hotpotqa_pairwise_assistive.json	56
