model,dataset,id,question,assistive_answer,open_answer,gold_answer,assistive_correct,open_correct,assistive_intermediate_questions,assistive_intermediate_answers,assistive_dsl,assistive_raw_response,open_raw_response,equivalence_reasoning,equivalence_raw_response,label_cause,label_notes
google-gemini-2-5-pro,bamboogle,bamboogle_0029_45dd51fa,In what year was the government department where the internet originated at founded?,1947,1958,1947,1,0,"[""What government department is credited with the origin of the internet?"", ""In what year was {answer_1} founded?""]","{""answer_1"": ""United States Department of Defense"", ""answer_2"": ""1947""}","answer_1: str = qa_model(""What government department is credited with the origin of the internet?"")
answer_2: str = qa_model(""In what year was {answer_1} founded?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""United States Department of Defense"",
  ""answer_2"": ""1947""
}
```","answer:
1958",The years provided (1947 and 1958) are different and calendar years must match exactly.,"equivalent: 0
reasoning: The years provided (1947 and 1958) are different and calendar years must match exactly.",,
google-gemini-2-5-pro,bamboogle,bamboogle_0043_d65a05e7,The most populous city in Punjab is how large (area wise)?,"1,772 km²",159.37 km²,310 square kilometers,0,0,"[""What is the most populous city in Punjab?"", ""What is the area of {answer_1}?""]","{""answer_1"": ""Lahore"", ""answer_2"": ""1,772 km\u00b2""}","answer_1: str = qa_model(""What is the most populous city in Punjab?"")
answer_2: str = qa_model(""What is the area of {answer_1}?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Lahore"",
  ""answer_2"": ""1,772 km²""
}
```",159.37 km²,The numeric values are significantly different and do not fall within the allowed tolerance.,"equivalent: 0
reasoning: The numeric values are significantly different and do not fall within the allowed tolerance.",,
google-gemini-2-5-pro,bamboogle,bamboogle_0050_43f80844,Who is the mother of the father of Barack Obama?,"{'answer_1': 'Barack Obama Sr.', 'answer_2': 'Habiba Akumu Obama'}",Sarah Onyango Obama,Habiba Akumu Nyanjango,,0,"[""Who is the father of Barack Obama?"", ""Who is the mother of {answer_1}?""]","{""intermediate_answers"": {""answer_1"": ""Barack Obama Sr."", ""answer_2"": ""Habiba Akumu Obama""}}","answer_1: str = qa_model(""Who is the father of Barack Obama?"")
answer_2: str = qa_model(""Who is the mother of {answer_1}?"", answer_1=answer_1)","```json
{
  ""intermediate_answers"": {
    ""answer_1"": ""Barack Obama Sr."",
    ""answer_2"": ""Habiba Akumu Obama""
  }
}
```","answer:
Sarah Onyango Obama","Answer A identifies Habiba Akumu Obama as the mother of Barack Obama Sr., which is correct. Answer B identifies Sarah Onyango Obama, who was Barack Obama Sr.'s step-grandmother, not his mother. These are contradictory facts regarding the identity of the person in question.","equivalent: 0
reasoning: Answer A identifies Habiba Akumu Obama as the mother of Barack Obama Sr., which is correct. Answer B identifies Sarah Onyango Obama, who was Barack Obama Sr.'s step-grandmother, not his mother. These are contradictory facts regarding the identity of the person in question.",,
google-gemini-2-5-pro,bamboogle,bamboogle_0059_abedd531,In what year was the tallest fixed steel structure completed?,2000,2012,1988,0,0,"[""What is the tallest fixed steel structure?"", ""In what year was {answer_1} completed?""]","{""answer_1"": ""Petronius Platform"", ""answer_2"": ""2000""}","answer_1: str = qa_model(""What is the tallest fixed steel structure?"")
answer_2: str = qa_model(""In what year was {answer_1} completed?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Petronius Platform"",
  ""answer_2"": ""2000""
}
```",2012,The years provided (2000 and 2012) are different and calendar years must match exactly.,"equivalent: 0
reasoning: The years provided (2000 and 2012) are different and calendar years must match exactly.",,
google-gemini-2-5-pro,bamboogle,bamboogle_0066_6b32e7f3,The most populous national capital city was established in what year?,1271,1457,1045 BC,0,0,"[""What is the most populous national capital city?"", ""In what year was {answer_1} established?""]","{""answer_1"": ""Beijing"", ""answer_2"": ""1271""}","answer_1: str = qa_model(""What is the most populous national capital city?"")
answer_2: str = qa_model(""In what year was {answer_1} established?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Beijing"",
  ""answer_2"": ""1271""
}
```",1457,The years provided are different and do not fall within any acceptable numeric tolerance.,"equivalent: 0
reasoning: The years provided are different and do not fall within any acceptable numeric tolerance.",,
google-gemini-2-5-pro,bamboogle,bamboogle_0072_70ea2630,In what year did the oldest cat ever recorded with the Cat of the Year award?,1999,"The oldest cat ever recorded, Creme Puff, did not win a Cat of the Year award.",1999,1,0,"[""What was the name of the oldest cat ever recorded?"", ""In what year did {answer_1} win the Cat of the Year award?""]","{""answer_1"": ""Creme Puff"", ""answer_2"": ""1999""}","answer_1: str = qa_model(""What was the name of the oldest cat ever recorded?"")
answer_2: str = qa_model(""In what year did {answer_1} win the Cat of the Year award?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Creme Puff"",
  ""answer_2"": ""1999""
}
```","The oldest cat ever recorded, Creme Puff, did not win a Cat of the Year award.","Answer B states that the cat did not win the award, which contradicts Answer A's claim of a specific year (1999) for winning the award.","equivalent: 0
reasoning: Answer B states that the cat did not win the award, which contradicts Answer A's claim of a specific year (1999) for winning the award.",,
google-gemini-2-5-pro,bamboogle,bamboogle_0076_f6a6ba5b,"In 2016, who was the host of the longest running talk show?",Jimmy Fallon,Conan O'Brien,Jimmy Fallon,1,0,"[""What is the longest running talk show?"", ""Who was the host of '{answer_1}' in 2016?""]","{""answer_1"": ""The Tonight Show"", ""answer_2"": ""Jimmy Fallon""}","answer_1: str = qa_model(""What is the longest running talk show?"")
answer_2: str = qa_model(""Who was the host of '{answer_1}' in 2016?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""The Tonight Show"",
  ""answer_2"": ""Jimmy Fallon""
}
```",Conan O'Brien,"The two answers name different individuals, Jimmy Fallon and Conan O'Brien, for the same role, making them contradictory.","equivalent: 0
reasoning: The two answers name different individuals, Jimmy Fallon and Conan O'Brien, for the same role, making them contradictory.",,
google-gemini-2-5-pro,bamboogle,bamboogle_0079_4a0fafaf,In what country was the only cruise line that flies the American flag incorporated in?,"{'answer_1': 'Norwegian Cruise Line America', 'answer_2': 'United States'}",Bermuda,Bermuda,0,1,"[""What is the only cruise line that flies the American flag?"", ""In what country was {answer_1} incorporated?""]","{""intermediate_answers"": {""answer_1"": ""Norwegian Cruise Line America"", ""answer_2"": ""United States""}}","answer_1: str = qa_model(""What is the only cruise line that flies the American flag?"")
answer_2: str = qa_model(""In what country was {answer_1} incorporated?"", answer_1=answer_1)","```json
{
  ""intermediate_answers"": {
    ""answer_1"": ""Norwegian Cruise Line America"",
    ""answer_2"": ""United States""
  }
}
```",Bermuda,"Answer A states the country is the United States, while Answer B states it is Bermuda. These are contradictory facts.","equivalent: 0
reasoning: Answer A states the country is the United States, while Answer B states it is Bermuda. These are contradictory facts.",,
google-gemini-2-5-pro,hotpotqa,5a76059155429976ec32bce6,"What shopping mall is the largest in south Texas, Malle del Norte or La Plaza Mall?",Mall del Norte,La Plaza Mall,La Plaza Mall,0,1,"[""What is the size of Mall del Norte?"", ""What is the size of La Plaza Mall?"", ""Which is larger, Mall del Norte at {answer_1} or La Plaza Mall at {answer_2}?""]","{""answer_1"": ""1,212,515 sq ft"", ""answer_2"": ""1,200,000 sq ft"", ""answer_3"": ""Mall del Norte""}","answer_1: str = qa_model(""What is the size of Mall del Norte?"")
answer_2: str = qa_model(""What is the size of La Plaza Mall?"")
answer_3: str = qa_model(""Which is larger, Mall del Norte at {answer_1} or La Plaza Mall at {answer_2}?"", answer_1=answer_1, answer_2=answer_2)","```json
{
  ""answer_1"": ""1,212,515 sq ft"",
  ""answer_2"": ""1,200,000 sq ft"",
  ""answer_3"": ""Mall del Norte""
}
```","answer:
La Plaza Mall",The answers contradict each other regarding which mall is the largest.,"equivalent: 0
reasoning: The answers contradict each other regarding which mall is the largest.",,
google-gemini-2-5-pro,hotpotqa,5a760f6855429976ec32bcf9,What retailer is the second-largest in the United States and has a commercial featuring the American artist who was 1st runner-up in the 2005 USA Weekend Magazine's songwriting competition?,Target,Amazon,Target Corporation,1,0,"[""Who was the 1st runner-up in the 2005 USA Weekend Magazine's songwriting competition?"", ""Which retailer, the second-largest in the United States, has a commercial featuring {answer_1}?""]","{""answer_1"": ""Taylor Swift"", ""answer_2"": ""Target""}","answer_1: str = qa_model(""Who was the 1st runner-up in the 2005 USA Weekend Magazine's songwriting competition?"")
answer_2: str = qa_model(""Which retailer, the second-largest in the United States, has a commercial featuring {answer_1}?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Taylor Swift"",
  ""answer_2"": ""Target""
}
```",Amazon,"The answers contradict each other. Amazon is generally considered the second-largest retailer in the US, not Target.","equivalent: 0
reasoning: The answers contradict each other. Amazon is generally considered the second-largest retailer in the US, not Target.",,
