dataset	id	question	gold_dsl	model_dsl	equivalent_final
hotpotqa	5ae0925e55429945ae9593c9	The 2005 documentary "The Aristocrats" was dedicated to a comedian that received how many Emmy Awards?	answer_1: str = qa_model("Who was the 2005 documentary 'The Aristocrats' dedicated to?")\nanswer_2: str = qa_model("How many Emmy Awards did {answer_1} receive?", answer_1=answer_1)	answer_1: str = qa_model("To whom was the 2005 documentary 'The Aristocrats' dedicated?")\nanswer_2: str = qa_model("How many Emmy Awards did {answer_1} receive?", answer_1=answer_1)	1
hotpotqa	5a7ca54c55429935c91b527f	The Swedish-British entertainment studio executive and film executive producer, who was the Executive producer for a 2016 American action thriller film directed by Babak Najafi, currently serve?	answer_1: str = qa_model("What is the 2016 American action thriller film directed by Babak Najafi?")\nanswer_2: str = qa_model("Who was the executive producer for {answer_1}?", answer_1=answer_1)\nanswer_3: str = qa_model("What position does {answer_2} currently hold?", answer_2=answer_2)	answer_1: str = qa_model("What is the name of the 2016 American action thriller film directed by Babak Najafi?")\nanswer_2: str = qa_model("Who was the Executive producer for '{answer_1}'?", answer_1=answer_1)\nanswer_3: str = qa_model("What position does {answer_2} currently serve?", answer_2=answer_2)	1
hotpotqa	5a73931155429905862fe064	What is the name of the Los Angeles resident who directed a 2016 American superhero film about a surgeon who learns the mystic arts after a career-ending car accident?	answer_1: str = qa_model("What is the 2016 American superhero film about a surgeon who learns the mystic arts after a career-ending car accident?")\nanswer_2: str = qa_model("Who directed the film {answer_1}?", answer_1=answer_1)	answer_1: str = qa_model("What is the title of the 2016 American superhero film about a surgeon who learns the mystic arts after a career-ending car accident?")\nanswer_2: str = qa_model("Who directed the film '{answer_1}'?", answer_1=answer_1)\nanswer_3: str = qa_model("Is {answer_2} a resident of Los Angeles?", answer_2=answer_2)\nanswer_4: str = qa_model("If yes to answer_3 then what is the name of {answer_2}", answer_2=answer_2, answer_3=answer_3)	0
hotpotqa	5a8ef28c5542995b44241f0f	The American Aircraft Penetrator was modified from a helicopter produced by what nation's military?	answer_1: str = qa_model("What helicopter was the American Aircraft Penetrator a modification of?")\nanswer_2: str = qa_model("What nation's military produced the {answer_1}?", answer_1=answer_1)	answer_1: str = qa_model("What is the origin of the American Aircraft Penetrator?")\nanswer_2: str = qa_model("Which nation's military produced the helicopter that the American Aircraft Penetrator was modified from?", answer_1=answer_1)	0
hotpotqa	5a8a315355429930ff3c0cee	Joh Bruce Yeh founded a chamber ensemble who won a Grammy in 1985 for their recording of this work based on what Rusian folk tale?	answer_1: str = qa_model("What chamber ensemble did John Bruce Yeh found?")\nanswer_2: str = qa_model("For which work did {answer_1} win a Grammy in 1985?", answer_1=answer_1)\nanswer_3: str = qa_model("What Russian folk tale is the work '{answer_2}' based on?", answer_2=answer_2)	answer_1: str = qa_model("What chamber ensemble was co-founded by John Bruce Yeh?")\nanswer_2: str = qa_model("What work did {answer_1} win a Grammy for in 1985?", answer_1=answer_1)\nanswer_3: str = qa_model("What Russian folk tale is '{answer_2}' based on?", answer_2=answer_2)	1
hotpotqa	5a87390555429960ec39b769	In which stadium do the teams owned by Myra Kraft's husband play?	answer_1: str = qa_model("Who is Myra Kraft's husband?")\nanswer_2: str = qa_model("Which teams does {answer_1} own?", answer_1=answer_1)\nanswer_3: str = qa_model("In which stadium do the {answer_2} play?", answer_2=answer_2)	answer_1: str = qa_model("Who is Myra Kraft's husband?")\nanswer_2: str = qa_model("Which teams are owned by {answer_1}?", answer_1=answer_1)\nanswer_3: str = qa_model("In which stadium do {answer_2} play?", answer_2=answer_2)	1
hotpotqa	5a7e36045542991319bc9440	Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?	answer_1: str = qa_model("How many Grand Slam titles did Henri Leconte win?")\nanswer_2: str = qa_model("How many Grand Slam titles did Jonathan Stark win?")\nanswer_3: str = qa_model("Which tennis player won more Grand Slam titles, Henri Leconte who won {answer_1} or Jonathan Stark who won {answer_2}?", answer_1=answer_1, answer_2=answer_2)	answer_1: str = qa_model("How many Grand Slam titles did Henri Leconte win?")\nanswer_2: str = qa_model("How many Grand Slam titles did Jonathan Stark win?")\nanswer_3: str = qa_model("Who has more Grand Slam titles, someone with {answer_1} titles or someone with {answer_2} titles?", answer_1=answer_1, answer_2=answer_2)	0
hotpotqa	5ae7a9c8554299540e5a5631	What event at the Asian Junior Athletics Championships has men and women competing at the same time?	answer_1: str = qa_model("What is the term for an event where men and women compete at the same time?")\nanswer_2: str = qa_model("What {answer_1} is held at the Asian Junior Athletics Championships?", answer_1=answer_1)	answer_1: str = qa_model("What events are held at the Asian Junior Athletics Championships?")\nanswer_2: str = qa_model("Which of these events features both men and women competing together?", answer_1=answer_1)	0
hotpotqa	5a7b970c554299294a54aa0b	Who is younger Mary Ramsey or Lee Ranaldo ?	answer_1: str = qa_model("When was Mary Ramsey born?")\nanswer_2: str = qa_model("When was Lee Ranaldo born?")\nanswer_3: str = qa_model("Who is younger, someone born on {answer_1} or someone born on {answer_2}?", answer_1=answer_1, answer_2=answer_2)	answer_1: str = qa_model("What is the birthdate of Mary Ramsey?")\nanswer_2: str = qa_model("What is the birthdate of Lee Ranaldo?")\nanswer_3: str = qa_model("Who is younger, someone born on {answer_1} or someone born on {answer_2}?", answer_1=answer_1, answer_2=answer_2)	1
hotpotqa	5ae3918b5542994393b9e709	Were Pavel Urysohn and Leonid Levin known for the same type of work?	answer_1: str = qa_model("What type of work is Pavel Urysohn known for?")\nanswer_2: str = qa_model("What type of work is Leonid Levin known for?")\nanswer_3: str = qa_model("Is {answer_1} the same type of work as {answer_2}?", answer_1=answer_1, answer_2=answer_2)	answer_1: str = qa_model("What type of work was Pavel Urysohn known for?")\nanswer_2: str = qa_model("What type of work was Leonid Levin known for?")\nanswer_3: str = qa_model("Are '{answer_1}' and '{answer_2}' the same type of work?", answer_1=answer_1, answer_2=answer_2)	1
hotpotqa	5ac4bfd05542997ea680caab	WNP-3 and WNP-5 were constructed by the agency formed in which year?	answer_1: str = qa_model("Which agency constructed WNP-3 and WNP-5?")\nanswer_2: str = qa_model("In which year was the {answer_1} formed?", answer_1=answer_1)	answer_1: str = qa_model("Which agency constructed WNP-3 and WNP-5?")\nanswer_2: str = qa_model("In what year was the {answer_1} agency formed?", answer_1=answer_1)	1
hotpotqa	5a7a791f55429941d65f2669	What was the year founded of the football team that Aaron Galindo is currently a part of?	answer_1: str = qa_model("What football team is Aaron Galindo currently a part of?")\nanswer_2: str = qa_model("What year was the football team {answer_1} founded?", answer_1=answer_1)	answer_1: str = qa_model("Which football team is Aaron Galindo currently a part of?")\nanswer_2: str = qa_model("In what year was {answer_1} founded?", answer_1=answer_1)	1
hotpotqa	5addfe6c5542997dc790710e	In what year was the creator of the current arrangement of the "Simpson's Theme" born?	answer_1: str = qa_model("Who created the current arrangement of the 'Simpson\'s Theme'?")\nanswer_2: str = qa_model("In what year was {answer_1} born?", answer_1=answer_1)	answer_1: str = qa_model("Who created the current arrangement of the 'Simpsons Theme'?")\nanswer_2: str = qa_model("In what year was {answer_1} born?", answer_1=answer_1)	1
hotpotqa	5abcfc3b554299114383a1ad	Who funds the bowling team that includes the school bus driver for Springfield Elementary School?	answer_1: str = qa_model("Who is the school bus driver for Springfield Elementary School?")\nanswer_2: str = qa_model("What is the name of the bowling team that {answer_1} is on?", answer_1=answer_1)\nanswer_3: str = qa_model("Who funds the {answer_2}?", answer_2=answer_2)	answer_1: str = qa_model("What is the name of the school bus driver for Springfield Elementary School?")\nanswer_2: str = qa_model("What bowling team does {answer_1} belong to?", answer_1=answer_1)\nanswer_3: str = qa_model("Who funds the bowling team '{answer_2}'?", answer_2=answer_2)	1
hotpotqa	5a74a3bd55429979e28829da	Who invented the type of script used in autographs?	answer_1: str = qa_model("What type of script is used in autographs?")\nanswer_2: str = qa_model("Who invented {answer_1}?", answer_1=answer_1)	answer_1: str = qa_model("What type of script is commonly used in autographs?")\nanswer_2: str = qa_model("Who invented {answer_1}?", answer_1=answer_1)	1
hotpotqa	5a74248855429929fddd83e5	Don Barry Mason was the founder of the Psychedelic Shamanistic Institute (PSI), which other member that's Welsh, that died on 10 April 2016?	answer_1: str = qa_model("Who were the members of the Psychedelic Shamanistic Institute (PSI)?")\nanswer_2: str = qa_model("Which of these people was Welsh and died on 10 April 2016: {answer_1}?", answer_1=answer_1)	answer_1: str = qa_model("Who were the members of the Psychedelic Shamanistic Institute (PSI)?")\nanswer_2: str = qa_model("Which of the {answer_1} members were Welsh?", answer_1=answer_1)\nanswer_3: str = qa_model("Which of the {answer_2} members died on 10 April 2016?", answer_2=answer_2)	1
hotpotqa	5a7a8dab554299042af8f66a	Huddersfield Giants R.L.F.C. are an English professional rugby league club from Huddersfield, West Yorkshire, the birthplace of rugby league, who play in the Super League competition, they play their home games at the Kirklees Stadium which is shared with Huddersfield Town F.C., is a multi-use sports stadium in Huddersfield in West Yorkshire, in which country?	answer_1: str = qa_model("Where is the Kirklees Stadium located?")\nanswer_2: str = qa_model("In which country is {answer_1}?", answer_1=answer_1)	answer_1: str = qa_model("Where is Huddersfield located?")\nanswer_2: str = qa_model("In which country is {answer_1}?", answer_1=answer_1)	1
hotpotqa	5a8596c85542992a431d1b53	In what country did the repression of citizens by a dictator during the period of 1973 to 1990 occur?	answer_1: str = qa_model("Which dictator was in power from 1973 to 1990?")\nanswer_2: str = qa_model("In what country did {answer_1} repress citizens?", answer_1=answer_1)	answer_1: str = qa_model("Which dictator was repressing citizens from 1973 to 1990?")\nanswer_2: str = qa_model("In what country did {answer_1} rule?", answer_1=answer_1)	1
hotpotqa	5a879ab05542996e4f30887e	The Oberoi family is part of a hotel company that has a head office in what city?	answer_1: str = qa_model("What hotel company is the Oberoi family part of?")\nanswer_2: str = qa_model("In what city is the head office of {answer_1}?", answer_1=answer_1)	answer_1: str = qa_model("What hotel company is the Oberoi family part of?")\nanswer_2: str = qa_model("In which city is the head office of {answer_1} located?", answer_1=answer_1)	1
