dataset	id	question	gold_answer	assistant_label	assistant_notes	stable_wrong_models	frontier_open_consensus_count	frontier_open_consensus_answer	model_dir__gemini_2_5_pro	stable_wrong__gemini_2_5_pro	open_correct__gemini_2_5_pro	consistency_equivalent__gemini_2_5_pro	open_answer__gemini_2_5_pro	assistive_answer__gemini_2_5_pro	open_correctness_reasoning__gemini_2_5_pro	consistency_reasoning__gemini_2_5_pro	model_dir__gemini_2_5_flash	stable_wrong__gemini_2_5_flash	open_correct__gemini_2_5_flash	consistency_equivalent__gemini_2_5_flash	open_answer__gemini_2_5_flash	assistive_answer__gemini_2_5_flash	open_correctness_reasoning__gemini_2_5_flash	consistency_reasoning__gemini_2_5_flash	model_dir__gpt_5_1	stable_wrong__gpt_5_1	open_correct__gpt_5_1	consistency_equivalent__gpt_5_1	open_answer__gpt_5_1	assistive_answer__gpt_5_1	open_correctness_reasoning__gpt_5_1	consistency_reasoning__gpt_5_1	hand_review_label	hand_review_confidence	hand_review_notes	hand_review_suggested_action	hand_review_source
bamboogle	bamboogle_0035_f61df3cd	What is the maximum airspeed (in km/h) of the third fastest bird?	320 km/h	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	gemini_2_5_pro	1	209 km/h	google-gemini-2-5-pro	1	0	1	209 km/h	209	The numeric value in the prediction (209) is significantly different from the gold answer (320) and falls outside the allowed numeric tolerance (1% of 320 is 3.2; |320 - 209| = 111).	Both answers provide the same numerical value; unit in Answer B is consistent with the question and Answer A implicitly provides the value in the requested unit.	google-gemini-2-5-flash	0	0	0	160	170	The gold answer is 320 km/h, while the prediction is 160. This is a significant numerical difference (160 vs 320) that falls outside the allowed numeric tolerance (1% of 320 is 3.2). The prediction contradicts the gold fact.	The numerical values 170 and 160 are not within the allowed tolerance of |a − b| ≤ max(0.5, 1% of the reference). The difference is 10, while 1% of 170 is 1.7 and 1% of 160 is 1.6.	gpt-5-1	0	0	0	169	209 km/h	The gold answer is 320 km/h, and the prediction is 169. These numerical values are significantly different and fall outside the allowed 1% tolerance for numeric expressions (|320 - 169| = 151, which is much greater than 1% of 320 = 3.2).	The numeric values (209 vs 169) are significantly different and do not fall within the allowed numeric tolerance.	possible_gold_typo_or_alias		gemini_2_5_pro: possible_gold_typo_or_alias — Open answer '209 km/h' is very close to gold '320 km/h' (edit-distance 2); likely typo/alias/normalization issue.		per_model_manual
bamboogle	bamboogle_0045_38628071	What was the death toll of the most intense Atlantic hurricane?	52	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	gemini_2_5_pro,gpt_5_1	1	62	google-gemini-2-5-pro	1	0	1	62	62	The gold answer is 52 and the prediction is 62. The absolute difference is 10. The allowed tolerance is max(0.5, 1% of 52) = max(0.5, 0.52) = 0.52. Since 10 is not less than or equal to 0.52, the prediction is outside the acceptable numeric tolerance.	Answer A contains extra information (the hurricane name) but provides the same key fact (death toll of 62) as Answer B, which directly answers the question.	google-gemini-2-5-flash	0	0	0	23	26	The prediction '23' is numerically different from the gold answer '52'. The difference (29) far exceeds the allowed tolerance of max(0.5, 1% of 52 = 0.52).	The numerical values 26 and 23 are not equivalent based on the numeric expression tolerance rule (|a - b| <= max(0.5, 1% of reference)). The difference of 3 is greater than 0.5 and 1% of either number.	gpt-5-1	1	0	1	87	87	The gold answer is 52 and the prediction is 87. The difference (35) is significantly outside the allowed numeric tolerance of max(0.5, 1% of 52 = 0.52).	Both answers are identical and state the same number.	possible_gold_typo_or_alias		gemini_2_5_pro: possible_gold_typo_or_alias — Open answer '62' is very close to gold '52' (edit-distance 1); likely typo/alias/normalization issue. | gpt_5_1: possible_gold_typo_or_alias — Open answer '87' is very close to gold '52' (edit-distance 2); likely typo/alias/normalization issue.		per_model_manual
bamboogle	bamboogle_0064_647f7ea9	In what year was the tallest lighthouse completed?	1902	likely_gold_error/outdated	All three models answer 1990; likely refers to the Jeddah Light (tallest lighthouse), completed in 1990. Gold year 1902 appears inconsistent with 'tallest'.	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	3	1990	google-gemini-2-5-pro	1	0	1	1990	1990	The gold answer is '1902' and the prediction is '1990'. Calendar dates/years must match exactly according to rule 2, and these do not match.	Both answers state the exact same year.	google-gemini-2-5-flash	1	0	1	1990	1990	The predicted year (1990) does not match the gold year (1902). Calendar dates/years must match exactly according to rule 2.	Both answers state the exact same year.	gpt-5-1	1	0	1	1990	1990	The gold answer is '1902' and the prediction is '1990'. Calendar dates/years must match exactly, and these values are different.	Both answers state the same year.	likely_gold_error/outdated	high	All three models answer 1990; likely refers to the Jeddah Light (tallest lighthouse), completed in 1990. Gold year 1902 appears inconsistent with 'tallest'.	Verify/replace gold; clarify which lighthouse or year-of-record.	intersection44
bamboogle	bamboogle_0067_c104c160	The third largest river (by discharge) in the world is in what countries?	India and Bangladesh	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	gemini_2_5_pro	1	China	google-gemini-2-5-pro	1	0	1	China	China	The gold answer specifies 'India and Bangladesh' as the countries, while the prediction states 'China'. These are different countries, leading to a contradiction.	Both answers are identical.	google-gemini-2-5-flash	0	0	0	Venezuela; Colombia	Angola; Burundi; Cameroon; Central African Republic; Democratic Republic of the Congo; Equatorial Guinea; Gabon; Republic of the Congo; Rwanda; South Sudan; Tanzania; Zambia	The prediction lists 'Venezuela; Colombia' as the countries, which directly contradicts the gold answer 'India and Bangladesh'. The countries are entirely different.	The answers list different sets of countries. Answer A lists countries in Central Africa (Congo River basin), while Answer B lists countries in South America. These are contradictory facts.	gpt-5-1	0	1	1	India; Bangladesh	China; India; Bangladesh; Nepal; Bhutan	The prediction lists the same two countries as the gold answer. The use of a semicolon as a separator is equivalent to 'and' in this context, representing a list of items.	"Answer B is a subset of Answer A, and the question does not require ""all"" countries, so this is allowed by the subset allowance rule."	needs_verification	low	gemini_2_5_pro: unclear_needs_manual_check — No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	Verify the underlying fact and entity mapping externally.	per_model_manual
bamboogle	bamboogle_0081_cfd7f8b7	What is the official color of the third oldest surviving university?	Cambridge Blue	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	gemini_2_5_pro	1	Yellow	google-gemini-2-5-pro	1	0	1	Yellow	Yellow	The prediction 'Yellow' directly contradicts the gold answer 'Cambridge Blue' regarding the official color.	Answer A provides the key fact (Yellow) along with extra, non-contradictory detail (University of Salamanca). The core fact requested by the question is present in both.	google-gemini-2-5-flash	0	0	0	Red	Dark Blue	The prediction 'Red' directly contradicts the gold answer 'Cambridge Blue' regarding the official color.	The answers provide contradictory colors for the same fact.	gpt-5-1	0	0	0	St Andrews blue	Cambridge Blue	The prediction 'St Andrews blue' contradicts the gold answer 'Cambridge Blue'. These are distinct colors associated with different universities.	Answer A refers to the color of the University of Cambridge (second oldest), while Answer B refers to the color of the University of St Andrews (third oldest), which is what the question asks for. The answers contradict each other regarding the specific university.	needs_verification	low	gemini_2_5_pro: unclear_needs_manual_check — No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	Verify the underlying fact and entity mapping externally.	per_model_manual
bamboogle	bamboogle_0086_998cb1bd	Who was the father of the father of empiricism?	Sir Nicholas Bacon	one_model_correct_disagreement	Frontier answers disagree (2-of-3 on 'John Locke'), but exactly one model is judged correct; likely a model error rather than true ambiguity.	gemini_2_5_pro	2	John Locke	google-gemini-2-5-pro	1	0	1	John Locke	John Locke	The gold answer identifies Sir Nicholas Bacon as the father of Francis Bacon (the 'father of empiricism'). The prediction, John Locke, is a different individual and is incorrect in this context. John Locke is also a prominent empiricist, but not the father of Francis Bacon, nor is his father named John Locke.	Both answers are identical.	google-gemini-2-5-flash	0	0	0	John Locke	John Locke Sr.	The gold answer identifies Sir Nicholas Bacon as the father of Francis Bacon (the 'father of empiricism'). The prediction, John Locke, is a different individual and is incorrect in this context, as John Locke was not the father of Francis Bacon, nor is he typically referred to as 'the father of empiricism' in the same foundational sense as Bacon, and his own father was also named John Locke.	"Answer A correctly identifies the father as ""John Locke Sr."", while Answer B names ""John Locke"", which refers to the ""father of empiricism"" himself, not his father."	gpt-5-1	0	1	1	Nicholas Bacon	Nicholas Bacon	The prediction provides the essential name 'Nicholas Bacon', which is the core fact. The 'Sir' in the gold answer is an honorific and its omission does not change the identity of the person, aligning with the principle of ignoring extra descriptive text that doesn't alter the core fact.	Both answers are identical.	possible_gold_error_or_ambiguity		gemini_2_5_pro: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'John Locke' vs gold; could be gold error/ambiguity or shared model misconception.		per_model_manual
bamboogle	bamboogle_0094_f6def5e8	Who was the father of the founder of modern human anatomy?	Anders van Wesel	partial_frontier_consensus_all_wrong	Two frontier models agree on 'Andries van Wesel' (normalized), but all are judged incorrect; could be gold issues, underspecification, or shared misconception.	gemini_2_5_pro,gpt_5_1	2	Andries van Wesel	google-gemini-2-5-pro	1	0	1	Andries van Wesele	Andries van Wesele	The first names 'Anders' and 'Andries' are distinct, not merely a case of capitalization, punctuation, or a common alias. While 'Wesele' is a minor spelling variation of 'Wesel', the difference in the first name makes the prediction not the same essential fact as the gold.	Both answers are identical.	google-gemini-2-5-flash	0	0	0	Andries van Wesel	Andries van Wesele	The prediction 'Andries van Wesel' provides a different first name than the gold answer 'Anders van Wesel'. These are distinct names and not considered equivalent under normalization rules.	"The names ""Wesele"" and ""Wesel"" are different spellings and are not considered equivalent under normalization rules for proper nouns."	gpt-5-1	1	0	1	Andries van Wesel	Andries van Wesel	The prediction 'Andries van Wesel' differs from the gold 'Anders van Wesel' in the first name. 'Anders' and 'Andries' are distinct names, and this is not a case of alias, abbreviation, or minor formatting difference.	Both answers are identical.	possible_gold_error_or_ambiguity		gemini_2_5_pro: outlier_vs_frontier_consensus — Other frontier models agree (2/3) on 'Andries van Wesel', while this model answers 'Andries van Wesele'. Likely a model-specific stable error (or alias). | gpt_5_1: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'Andries van Wesel' vs gold; could be gold error/ambiguity or shared model misconception.		per_model_manual
bamboogle	bamboogle_0095_fa23ed5f	What was the father of the last surviving Canadian father of Confederation?	Charles Tupper Sr.	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	gemini_2_5_pro	1	Charles Tupper	google-gemini-2-5-pro	1	0	1	Charles Tupper	Reverend Charles Tupper	The gold answer specifies 'Sr.' to distinguish the father from the son (who was the 'last surviving Canadian father of Confederation'). Omitting 'Sr.' makes the prediction ambiguous and potentially refers to the son, thus not communicating the same essential fact as the gold which clearly identifies the father.	"Answer A provides an additional title (""Reverend"") which is an extra detail but does not contradict or change the core identity of the person named in Answer B."	google-gemini-2-5-flash	0	1	0	Charles Tupper Sr.	Nathaniel Tupper	The prediction is an exact match to the gold answer.	"The names ""Nathaniel Tupper"" and ""Charles Tupper Sr."" refer to different individuals."	gpt-5-1	0	0	0	Baptist minister	Charles Tupper Sr.	The gold answer provides the name of the father ('Charles Tupper Sr.'), while the prediction provides an occupation ('Baptist minister'). These are different types of information and the prediction does not identify the specific person asked for.	Answer A provides the name of the father, while Answer B provides his profession. They do not convey the same essential fact in response to the question.	needs_verification	low	gemini_2_5_pro: unclear_needs_manual_check — No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	Verify the underlying fact and entity mapping externally.	per_model_manual
bamboogle	bamboogle_0116_082827a9	What is the nickname of the easternmost U.S. state?	Pine Tree State	alias_or_evaluation_strictness	Consistency judge mentions alias/equivalence (e.g., anglicization); open correctness may be overly strict about surface-form differences.	gemini_2_5_pro	2	The Pine Tree State	google-gemini-2-5-pro	1	0	1	The Last Frontier	The Last Frontier	The gold answer states the nickname is 'Pine Tree State' (for Maine, the easternmost state). The prediction states 'The Last Frontier', which is the nickname for Alaska. These are different and contradictory facts.	Both answers are identical.	google-gemini-2-5-flash	0	1	1	The Pine Tree State	Pine Tree State	The prediction 'The Pine Tree State' is equivalent to the gold answer 'Pine Tree State' after ignoring the English article 'The' as per normalization rules.	"English article ""The"" is ignored as per normalization rule."	gpt-5-1	0	1	0	The Pine Tree State	The Last Frontier	The prediction includes the English article 'The', which is ignored according to Rule 1 (Normalization). The core fact 'Pine Tree State' is identical.	"The easternmost U.S. state is Maine, whose nickname is ""The Pine Tree State"" (Answer B). ""The Last Frontier"" (Answer A) is the nickname for Alaska, which is not the easternmost state. The answers provide contradictory information regarding the nickname of the easternmost state."	outlier_vs_frontier_consensus		gemini_2_5_pro: outlier_vs_frontier_consensus — Other frontier models agree (2/3) on 'The Pine Tree State', while this model answers 'The Last Frontier'. Likely a model-specific stable error (or alias).		per_model_manual
bamboogle	bamboogle_0122_7a7aef7c	Who is the father of the scientist at MIT that won the Queen Elizabeth Prize for Engineering in 2013?	Conway Berners-Lee	single_model_error	At least 2/3 frontier models are judged correct; likely a model-specific stable mistake for: gemini_2_5_pro.	gemini_2_5_pro	2	Conway Berners-Lee	google-gemini-2-5-pro	1	0	1	Robert Langer	Robert Langer	The prediction 'Robert Langer' is a different name from the gold answer 'Conway Berners-Lee', leading to a direct contradiction of the requested fact.	Both answers are identical.	google-gemini-2-5-flash	0	1	0	Conway Berners-Lee	Henry Langer	The prediction is an exact match to the gold answer.	The two answers provide different names for the father of the scientist, making them contradictory.	gpt-5-1	0	1	1	Conway Berners-Lee	Conway Berners-Lee	The prediction exactly matches the gold answer.	Both answers are identical.	outlier_vs_frontier_consensus		gemini_2_5_pro: outlier_vs_frontier_consensus — Other frontier models agree (2/3) on 'Conway Berners-Lee', while this model answers 'Robert Langer'. Likely a model-specific stable error (or alias).		per_model_manual
