dataset,decomp_model,consistency_model,total,SS_count,SD_count,DS_count,DD_count,SS_rate,SD_rate,DS_rate,DD_rate,DD_both_wrong,DD_open_wrong_assistive_correct,DD_open_correct_assistive_wrong,DD_both_correct,DD_missing_label
bamboogle,google-gemma-3-4b-it,google-gemma-3-4b-it,123,12,84,6,21,0.098,0.683,0.049,0.171,16,3,2,0,0
bamboogle,meta-llama-llama-3-1-8b-instruct,meta-llama-llama-3-1-8b-instruct,120,14,62,10,34,0.117,0.517,0.083,0.283,20,9,4,0,1
bamboogle,meta-llama-llama-3-3-70b-instruct,meta-llama-llama-3-3-70b-instruct,123,54,63,5,1,0.439,0.512,0.041,0.008,0,0,0,0,1
bamboogle,mistralai-mistral-7b-instruct-v0-3,mistralai-mistral-7b-instruct-v0-3,121,21,74,7,19,0.174,0.612,0.058,0.157,14,2,1,0,2
bamboogle,qwen-qwen2-5-72b-instruct,qwen-qwen2-5-72b-instruct,123,49,70,1,3,0.398,0.569,0.008,0.024,1,1,1,0,0
bamboogle,qwen-qwen3-32b,qwen-qwen3-32b,122,29,89,0,4,0.238,0.730,0.000,0.033,2,1,1,0,0
bamboogle,qwen-qwen3-8b,qwen-qwen3-8b,123,21,93,1,8,0.171,0.756,0.008,0.065,5,2,1,0,0
crag,google-gemma-3-4b-it,google-gemma-3-4b-it,18,2,8,1,7,0.111,0.444,0.056,0.389,5,1,1,0,0
crag,meta-llama-llama-3-1-8b-instruct,meta-llama-llama-3-1-8b-instruct,19,1,7,6,5,0.053,0.368,0.316,0.263,2,2,1,0,0
crag,meta-llama-llama-3-3-70b-instruct,meta-llama-llama-3-3-70b-instruct,19,8,9,1,1,0.421,0.474,0.053,0.053,0,1,0,0,0
crag,mistralai-mistral-7b-instruct-v0-3,mistralai-mistral-7b-instruct-v0-3,18,3,10,1,4,0.167,0.556,0.056,0.222,3,0,0,0,1
crag,qwen-qwen2-5-72b-instruct,qwen-qwen2-5-72b-instruct,20,7,11,1,1,0.350,0.550,0.050,0.050,1,0,0,0,0
crag,qwen-qwen3-32b,qwen-qwen3-32b,20,4,15,0,1,0.200,0.750,0.000,0.050,1,0,0,0,0
crag,qwen-qwen3-8b,qwen-qwen3-8b,19,2,15,0,2,0.105,0.789,0.000,0.105,2,0,0,0,0
fanout,meta-llama-llama-3-1-8b-instruct,llama-3.1-8B-Instruct,310,13,74,24,199,0.042,0.239,0.077,0.642,0,0,0,0,199
fanout,meta-llama-llama-3-3-70b-instruct,llama-3.3-70B-Instruct,310,66,137,32,75,0.213,0.442,0.103,0.242,0,0,0,0,75
fanout,mistralai-mistral-7b-instruct-v0-3,mistral-7B-Instruct-v0.3,310,11,115,20,164,0.035,0.371,0.065,0.529,0,0,0,0,164
fanout,qwen-qwen2-5-72b-instruct,qwen-2.5-72B-Instruct,310,45,177,21,67,0.145,0.571,0.068,0.216,0,0,0,0,67
fanout,qwen-qwen3-8b,qwen-3-8B,310,33,163,19,95,0.106,0.526,0.061,0.306,0,0,0,0,95
frames,meta-llama-llama-3-1-8b-instruct,llama-3.1-8B-Instruct,297,9,60,28,200,0.030,0.202,0.094,0.673,0,0,0,0,200
frames,meta-llama-llama-3-3-70b-instruct,llama-3.3-70B-Instruct,297,55,144,22,76,0.185,0.485,0.074,0.256,0,0,0,0,76
frames,mistralai-mistral-7b-instruct-v0-3,mistral-7B-Instruct-v0.3,282,21,49,29,183,0.074,0.174,0.103,0.649,0,0,0,0,183
frames,qwen-qwen2-5-72b-instruct,qwen-2.5-72B-Instruct,294,45,151,21,77,0.153,0.514,0.071,0.262,0,0,0,0,77
frames,qwen-qwen3-8b,qwen-3-8B,294,24,133,18,119,0.082,0.452,0.061,0.405,0,0,0,0,119
hotpotqa,google-gemma-3-4b-it,google-gemma-3-4b-it,184,22,56,22,84,0.120,0.304,0.120,0.457,68,7,9,0,0
hotpotqa,meta-llama-llama-3-1-8b-instruct,meta-llama-llama-3-1-8b-instruct,166,21,41,30,74,0.127,0.247,0.181,0.446,51,9,12,0,2
hotpotqa,meta-llama-llama-3-3-70b-instruct,meta-llama-llama-3-3-70b-instruct,184,59,73,18,34,0.321,0.397,0.098,0.185,16,11,6,0,1
hotpotqa,mistralai-mistral-7b-instruct-v0-3,mistralai-mistral-7b-instruct-v0-3,170,23,48,32,67,0.135,0.282,0.188,0.394,49,13,4,0,1
hotpotqa,qwen-qwen2-5-72b-instruct,qwen-qwen2-5-72b-instruct,184,42,86,24,32,0.228,0.467,0.130,0.174,22,5,5,0,0
