dataset	id	question	gold_answer	assistant_label	assistant_notes	stable_wrong_models	frontier_open_consensus_count	frontier_open_consensus_answer	model_dir__gemini_2_5_pro	stable_wrong__gemini_2_5_pro	open_correct__gemini_2_5_pro	consistency_equivalent__gemini_2_5_pro	open_answer__gemini_2_5_pro	assistive_answer__gemini_2_5_pro	open_correctness_reasoning__gemini_2_5_pro	consistency_reasoning__gemini_2_5_pro	model_dir__gemini_2_5_flash	stable_wrong__gemini_2_5_flash	open_correct__gemini_2_5_flash	consistency_equivalent__gemini_2_5_flash	open_answer__gemini_2_5_flash	assistive_answer__gemini_2_5_flash	open_correctness_reasoning__gemini_2_5_flash	consistency_reasoning__gemini_2_5_flash	model_dir__gpt_5_1	stable_wrong__gpt_5_1	open_correct__gpt_5_1	consistency_equivalent__gpt_5_1	open_answer__gpt_5_1	assistive_answer__gpt_5_1	open_correctness_reasoning__gpt_5_1	consistency_reasoning__gpt_5_1
bamboogle	bamboogle_0039_7e165501	When did Nirvana's second most selling studio album come out?	September 13, 1993	partial_frontier_consensus	Two frontier models agree on '1993-09-21' (normalized) while one differs; could be ambiguity or a model-specific stable misconception.	gemini_2_5_flash,gpt_5_1	2	1993-09-21	google-gemini-2-5-pro	0	1	1	1993-09-13	1993-09-13	The gold and prediction provide the same date, just in different formats. Date equivalence is met.	Both answers provide the exact same date.	google-gemini-2-5-flash	1	0	1	1993-09-21	1993-09-21	The gold answer specifies 'September 13, 1993' while the prediction states '1993-09-21'. Calendar dates must match exactly, and the day (13 vs 21) does not match.	Both answers provide the exact same calendar date.	gpt-5-1	1	0	1	1993-09-21	1993-09-21	The gold answer specifies 'September 13, 1993', while the prediction states '1993-09-21'. Calendar dates must match exactly, and the day (13 vs 21) is different.	Both answers provide the exact same date.
bamboogle	bamboogle_0050_43f80844	Who is the mother of the father of Barack Obama?	Habiba Akumu Nyanjango	alias_or_evaluation_strictness	Consistency judge mentions alias/equivalence (e.g., anglicization); open correctness may be overly strict about surface-form differences.	gpt_5_1	1	Sarah Onyango Obama	google-gemini-2-5-pro	0	0	0	Sarah Onyango Obama	Habiba Akumu Obama	The prediction 'Sarah Onyango Obama' is a different name from the gold answer 'Habiba Akumu Nyanjango'. These are distinct individuals, making the prediction a contradiction to the gold fact.	Answer A identifies Habiba Akumu Obama as the mother of Barack Obama Sr., which is correct. Answer B identifies Sarah Onyango Obama, who was Barack Obama Sr.'s step-grandmother, not his mother. These are contradictory facts regarding the identity of the person in question.	google-gemini-2-5-flash	0	0	0	Akumu Nyanjoga	Sarah Onyango Obama	The prediction 'Akumu Nyanjoga' is missing the first name 'Habiba' and has a spelling difference in the last name ('Nyanjoga' vs 'Nyanjango') compared to the gold answer 'Habiba Akumu Nyanjango'. This constitutes a factual difference, not just a normalization or subset.	The answers refer to two different individuals. Sarah Onyango Obama was Barack Obama Sr.'s step-mother, while Akumu Nyanjoga was Barack Obama Sr.'s biological mother.	gpt-5-1	1	0	1	Habiba Akumu Obama	Habiba Akumu Nyanjoga	The last name in the prediction ('Obama') differs from the last name in the gold answer ('Nyanjango'). This is a factual contradiction regarding the individual's name.	"Both answers refer to the same person; ""Nyanjoga"" is her maiden name and ""Obama"" is her married name."
bamboogle	bamboogle_0055_a38b6895	Who directed the highest grossing film?	James Cameroon	frontier_consensus_vs_gold	All three frontier models agree on 'James Cameron' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash,gpt_5_1	3	James Cameron	google-gemini-2-5-pro	0	1	1	James Cameron	James Cameron	The prediction 'James Cameron' is a common and widely accepted spelling of the director's name, while 'James Cameroon' in the gold answer appears to be a misspelling. Given the context of a proper name, this minor spelling difference is considered equivalent.	Both answers are identical.	google-gemini-2-5-flash	1	0	1	James Cameron	James Cameron	The prediction 'James Cameron' differs from the gold answer 'James Cameroon' by a spelling mistake in the last name. This is not covered by normalization rules for aliases or common variations.	Both answers are identical.	gpt-5-1	1	0	1	James Cameron	James Cameron	The gold answer 'James Cameroon' has a different spelling for the last name compared to the prediction 'James Cameron'. While 'James Cameron' is the correct spelling of the director's name, the evaluation must compare the prediction against the provided gold answer, which contains a typo. The names are not identical and do not fall under alias/abbreviation normalization.	Both answers are identical.
bamboogle	bamboogle_0059_abedd531	In what year was the tallest fixed steel structure completed?	1988	frontier_consensus_vs_gold	All three frontier models agree on '2012' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash,gpt_5_1	3	2012	google-gemini-2-5-pro	0	0	0	2012	2000	The gold answer is '1988' and the prediction is '2012'. Calendar dates and years must match exactly according to Rule 2. The prediction contradicts the gold answer.	The years provided (2000 and 2012) are different and calendar years must match exactly.	google-gemini-2-5-flash	1	0	1	2012	2012	The prediction '2012' contradicts the gold answer '1988'. Calendar dates/years must match exactly.	Both answers state the exact same year.	gpt-5-1	1	0	1	2012	2012	The gold answer is 1988, and the prediction is 2012. Calendar dates/years must match exactly, and these values are different.	Both answers state the exact same year.
bamboogle	bamboogle_0064_647f7ea9	In what year was the tallest lighthouse completed?	1902	likely_gold_error/outdated	All three models answer 1990; likely refers to the Jeddah Light (tallest lighthouse), completed in 1990. Gold year 1902 appears inconsistent with 'tallest'.	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	3	1990	google-gemini-2-5-pro	1	0	1	1990	1990	The gold answer is '1902' and the prediction is '1990'. Calendar dates/years must match exactly according to rule 2, and these do not match.	Both answers state the exact same year.	google-gemini-2-5-flash	1	0	1	1990	1990	The predicted year (1990) does not match the gold year (1902). Calendar dates/years must match exactly according to rule 2.	Both answers state the exact same year.	gpt-5-1	1	0	1	1990	1990	The gold answer is '1902' and the prediction is '1990'. Calendar dates/years must match exactly, and these values are different.	Both answers state the same year.
bamboogle	bamboogle_0066_6b32e7f3	The most populous national capital city was established in what year?	1045 BC	frontier_consensus_vs_gold	All three frontier models agree on '1457' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash	3	1457	google-gemini-2-5-pro	0	0	0	1457	1271	The gold answer specifies '1045 BC' while the prediction states '1457'. These are different years and do not match, violating the exact match requirement for calendar dates/years.	The years provided are different and do not fall within any acceptable numeric tolerance.	google-gemini-2-5-flash	1	0	1	1457	1457	The gold answer specifies '1045 BC' while the prediction is '1457'. Calendar dates or years must match exactly according to Rule 2, and these values are significantly different.	Both answers state the exact same year.	gpt-5-1	0	0	0	1457	1868	The gold answer specifies '1045 BC' while the prediction states '1457'. These are different years, and calendar dates/years must match exactly according to the rules.	The years provided are different and calendar dates/years must match exactly.
bamboogle	bamboogle_0086_998cb1bd	Who was the father of the father of empiricism?	Sir Nicholas Bacon	partial_frontier_consensus	Two frontier models agree on 'John Locke' (normalized) while one differs; could be ambiguity or a model-specific stable misconception.	gemini_2_5_pro	2	John Locke	google-gemini-2-5-pro	1	0	1	John Locke	John Locke	The gold answer identifies Sir Nicholas Bacon as the father of Francis Bacon (the 'father of empiricism'). The prediction, John Locke, is a different individual and is incorrect in this context. John Locke is also a prominent empiricist, but not the father of Francis Bacon, nor is his father named John Locke.	Both answers are identical.	google-gemini-2-5-flash	0	0	0	John Locke	John Locke Sr.	The gold answer identifies Sir Nicholas Bacon as the father of Francis Bacon (the 'father of empiricism'). The prediction, John Locke, is a different individual and is incorrect in this context, as John Locke was not the father of Francis Bacon, nor is he typically referred to as 'the father of empiricism' in the same foundational sense as Bacon, and his own father was also named John Locke.	"Answer A correctly identifies the father as ""John Locke Sr."", while Answer B names ""John Locke"", which refers to the ""father of empiricism"" himself, not his father."	gpt-5-1	0	1	1	Nicholas Bacon	Nicholas Bacon	The prediction provides the essential name 'Nicholas Bacon', which is the core fact. The 'Sir' in the gold answer is an honorific and its omission does not change the identity of the person, aligning with the principle of ignoring extra descriptive text that doesn't alter the core fact.	Both answers are identical.
bamboogle	bamboogle_0091_3845ed5d	Who is the father of the father of the hydrogen bomb?	Max Teller	alias_or_evaluation_strictness	Consistency judge mentions alias/equivalence (e.g., anglicization); open correctness may be overly strict about surface-form differences.	gpt_5_1	2	Max Teller	google-gemini-2-5-pro	0	1	1	Max Teller	Max Teller	The prediction is identical to the gold answer.	Both answers are identical.	google-gemini-2-5-flash	0	1	1	Max Teller	Max Teller	The prediction is identical to the gold answer.	Both answers are identical.	gpt-5-1	1	0	1	Miksa Teller	Max Teller	The prediction 'Miksa Teller' is a different name from the gold answer 'Max Teller'. While they share a surname, the given names are distinct, making the prediction incorrect.	"""Max"" is a common anglicization of the Hungarian name ""Miksa"", referring to the same person."
bamboogle	bamboogle_0094_f6def5e8	Who was the father of the founder of modern human anatomy?	Anders van Wesel	partial_frontier_consensus	Two frontier models agree on 'Andries van Wesel' (normalized) while one differs; could be ambiguity or a model-specific stable misconception.	gemini_2_5_pro,gpt_5_1	2	Andries van Wesel	google-gemini-2-5-pro	1	0	1	Andries van Wesele	Andries van Wesele	The first names 'Anders' and 'Andries' are distinct, not merely a case of capitalization, punctuation, or a common alias. While 'Wesele' is a minor spelling variation of 'Wesel', the difference in the first name makes the prediction not the same essential fact as the gold.	Both answers are identical.	google-gemini-2-5-flash	0	0	0	Andries van Wesel	Andries van Wesele	The prediction 'Andries van Wesel' provides a different first name than the gold answer 'Anders van Wesel'. These are distinct names and not considered equivalent under normalization rules.	"The names ""Wesele"" and ""Wesel"" are different spellings and are not considered equivalent under normalization rules for proper nouns."	gpt-5-1	1	0	1	Andries van Wesel	Andries van Wesel	The prediction 'Andries van Wesel' differs from the gold 'Anders van Wesel' in the first name. 'Anders' and 'Andries' are distinct names, and this is not a case of alias, abbreviation, or minor formatting difference.	Both answers are identical.
bamboogle	bamboogle_0110_3800034a	What's the motto of the oldest California State university?	Powering Silicon Valley	partial_frontier_consensus	Two frontier models agree on 'Powering Silicon Valley' (normalized) while one differs; could be ambiguity or a model-specific stable misconception.	gemini_2_5_flash	2	Powering Silicon Valley	google-gemini-2-5-pro	0	1	0	Powering Silicon Valley	Power; Wisdom; Friendship	The prediction is an exact match to the gold answer.	The two answers provide completely different mottos. Answer A lists three distinct concepts, while Answer B provides a single, different phrase.	google-gemini-2-5-flash	1	0	1	Lux, Veritas, Honestas	Lux, Veritas, Honestas	The prediction 'Lux, Veritas, Honestas' is a different motto than the gold answer 'Powering Silicon Valley'. There is a direct contradiction on the specific fact requested.	Both answers are identical.	gpt-5-1	0	1	1	Powering Silicon Valley	Powering Silicon Valley	The prediction is identical to the gold answer.	Both answers are identical.
