dataset	hand_review_label	count
bamboogle	possible_gold_error_or_ambiguity	3
bamboogle	alias_or_evaluation_strictness	2
bamboogle	gold_typo	1
bamboogle	likely_gold_error	1
bamboogle	likely_gold_error/outdated	1
bamboogle	likely_outdated_or_definition	1
bamboogle	outlier_vs_frontier_consensus	1
crag	time_dependent	26
crag	possible_gold_error_or_ambiguity	4
crag	ambiguous_definition	1
crag	ambiguous_definition(bond_girl)	1
crag	ambiguous_definition(popularity)	1
crag	definition_mismatch	1
crag	definition_mismatch(comic_book_vs_strip)	1
crag	numeric_boundary/age_definition	1
crag	outlier_vs_frontier_consensus	1
crag	underspecified_multi_answer	1
frames	time_dependent	11
frames	needs_verification	9
frames	likely_gold_error	3
frames	model_error	2
frames	alias_or_evaluation_strictness	1
frames	ambiguous_definition(first_African_American_presidential_candidate)	1
frames	definition_mismatch(annexation_vs_crown_rule)	1
frames	definition_mismatch(taxonomy_vs_binomial)	1
frames	gold_overspecified	1
frames	likely_gold_error_or_ambiguity	1
frames	likely_gold_error_or_bad_question	1
frames	model_error_or_empty_answer	1
frames	model_incomplete_answer	1
frames	model_misread_question	1
hotpotqa	possible_gold_error_or_ambiguity	10
hotpotqa	alias_or_evaluation_strictness	2
hotpotqa	likely_gold_error	2
hotpotqa	needs_verification	2
hotpotqa	ambiguous_entity_mapping	1
hotpotqa	ambiguous_location(HQ_vs_facility)	1
hotpotqa	ambiguous_reference(film)	1
hotpotqa	ambiguous_time/context	1
hotpotqa	likely_gold_error(numeric_scale)	1
hotpotqa	likely_gold_error(type_mismatch)	1
hotpotqa	rounding_or_strictness	1
hotpotqa	time_dependent	1
hotpotqa	time_dependent_or_definition(city_vs_municipality)	1
hotpotqa	unclear_needs_manual_check	1
mintaka	likely_gold_error	8
mintaka	possible_gold_error_or_ambiguity	5
mintaka	time_dependent	4
mintaka	ambiguous_event_definition	1
mintaka	ambiguous_scope(Europe_vs_EU)	1
mintaka	ambiguous_title(“second Metal Gear”)	1
mintaka	definition_mismatch(nominated_vs_confirmed)	1
mintaka	likely_gold_error(BC_vs_AD)	1
mintaka	likely_gold_error(scope)	1
mintaka	likely_gold_error(scope_mismatch)	1
mintaka	likely_gold_error/outdated	1
mintaka	likely_gold_outdated	1
mintaka	numeric_counting_convention	1
musique	needs_verification	19
musique	underspecified_multi_answer	5
musique	likely_gold_error	3
musique	ambiguous_entity_mapping	2
musique	date_granularity	2
musique	location_granularity	2
musique	ambiguous_definition(region_boundary)	1
musique	ambiguous_time(employment)	1
musique	date_granularity_or_gold_incomplete	1
musique	definition_mismatch	1
musique	definition_mismatch(discovered_vs_proposed)	1
musique	definition_mismatch(operator)	1
musique	definition_mismatch(percent_drop)	1
musique	evaluation_strictness_or_equivalent	1
musique	gold_overspecified_or_subjective	1
musique	likely_gold_error_or_bad_question	1
musique	likely_gold_error_or_entity_mapping	1
musique	model_error	1
musique	off_by_one_year	1
musique	time_dependent	1
musique	underspecified(many_awards)	1
