dataset	model_slug	id	time_sensitive_hint	open_assistive_exact_match	question	gold_answer	open_answer	assistive_answer	open_correctness_reasoning	consistency_equivalent	consistency_reasoning	consistency_raw	open_raw	assistive_raw	manual_label	manual_notes
bamboogle	google-gemini-2-5-pro	bamboogle_0094_f6def5e8	0	1	Who was the father of the founder of modern human anatomy?	Anders van Wesel	Andries van Wesele	Andries van Wesele	The first names 'Anders' and 'Andries' are distinct, not merely a case of capitalization, punctuation, or a common alias. While 'Wesele' is a minor spelling variation of 'Wesel', the difference in the first name makes the prediction not the same essential fact as the gold.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nAndries van Wesele	"```json\n{\n  ""answer_1"": ""Andreas Vesalius"",\n  ""answer_2"": ""Andries van Wesele""\n}\n```"	outlier_vs_frontier_consensus	Other frontier models agree (2/3) on 'Andries van Wesel', while this model answers 'Andries van Wesele'. Likely a model-specific stable error (or alias).
crag	google-gemini-2-5-pro	93f61f25-1bde-4e21-a826-47c9651847e4	1	1	who was the player who won the most matches in professional tennis last year?	novak djokovic, who is coached by goran ivanisevic, won the most matches in professional tennis last year.	Daniil Medvedev	Daniil Medvedev	The gold answer identifies 'Novak Djokovic' as the player who won the most matches, while the prediction states 'Daniil Medvedev'. These are different players, leading to a contradiction on the core fact.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Daniil Medvedev	"```json\n{\n  ""answer_1"": ""2021"",\n  ""answer_2"": ""Daniil Medvedev""\n}\n```"	time_dependent	Time-relative phrasing ('last year'); gold likely tied to a specific snapshot.
hotpotqa	google-gemini-2-5-pro	5a7e1cd05542995ed0d1669a	0	1	who produced the animated film that John Kassir acted in?	Salma Hayek	James Pentecost	James Pentecost	The gold answer identifies 'Salma Hayek' as the producer, while the prediction states 'James Pentecost'. These are two different individuals, leading to a contradiction.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	James Pentecost	"```json\n{\n  ""answer_1"": ""Pocahontas"",\n  ""answer_2"": ""James Pentecost""\n}\n```"	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.
mintaka	google-gemini-2-5-pro	a04200ad	0	1	Who is the main protagonist of the second Metal Gear game?	Raiden	Solid Snake	Solid Snake	The prediction 'Solid Snake' contradicts the gold answer 'Raiden'. These are different characters.	1	The two answers are identical.	equivalent: 1\nreasoning: The two answers are identical.	Solid Snake	"intermediate_answers:\n{\n  ""answer_1"": ""Metal Gear 2: Solid Snake"",\n  ""answer_2"": ""Solid Snake""\n}"	ambiguous_title(“second Metal Gear”)	If interpreted as 'Metal Gear 2: Solid Snake', protagonist is Solid Snake (models). Gold 'Raiden' corresponds to Metal Gear Solid 2 (different naming).
bamboogle	google-gemini-2-5-pro	bamboogle_0122_7a7aef7c	1	1	Who is the father of the scientist at MIT that won the Queen Elizabeth Prize for Engineering in 2013?	Conway Berners-Lee	Robert Langer	Robert Langer	The prediction 'Robert Langer' is a different name from the gold answer 'Conway Berners-Lee', leading to a direct contradiction of the requested fact.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Robert Langer	"```json\n{\n  ""answer_1"": ""Robert Langer"",\n  ""answer_2"": ""Robert Langer""\n}\n```"	outlier_vs_frontier_consensus	Other frontier models agree (2/3) on 'Conway Berners-Lee', while this model answers 'Robert Langer'. Likely a model-specific stable error (or alias).
crag	google-gemini-2-5-pro	4835d4a2-4f31-423b-9f82-4c879c7798ed	1	1	who was the goalkeeper of the team that won the champions league final last year?	ederson, who plays for manchester city, was the goalkeeper of the team that won the champions league final last year.	Thibaut Courtois	Thibaut Courtois	The gold answer identifies Ederson as the goalkeeper, while the prediction names Thibaut Courtois. These are two different individuals, leading to a direct contradiction of the core fact.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Thibaut Courtois	"```json\n{\n  ""intermediate_answers"": {\n    ""answer_1"": ""Real Madrid"",\n    ""answer_2"": ""Thibaut Courtois""\n  }\n}\n```"	time_dependent	'Last year' Champions League winner varies; models give different plausible goalkeepers for different years (Courtois/Mendy), while gold anchors another year (Ederson).
hotpotqa	google-gemini-2-5-pro	5adc74cd5542994650320d0c	0	1	The small town where part of  Ewe people came from is a capital of where 	Adaklu-Anyigbe	Haho Prefecture	Haho Prefecture	The prediction 'Haho Prefecture' is a different place name than the gold answer 'Adaklu-Anyigbe'. They do not refer to the same location, indicating a contradiction.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Haho Prefecture	"```json\n{\n  ""answer_1"": ""Notsie"",\n  ""answer_2"": ""Haho Prefecture""\n}\n```"	possible_gold_error_or_ambiguity	Frontier open-ended answers agree (2/3) on 'Haho Prefecture' vs gold; could be gold error/ambiguity or shared model misconception.
mintaka	google-gemini-2-5-pro	78a31f7a	1	0	What is the current coach's name of the team that has won the most NCAA Division I Baseball Championships?	Jason Gill	Andy Stankiewicz		The prediction 'Andy Stankiewicz' is a different name from the gold answer 'Jason Gill', indicating a direct contradiction.	1	The two answers are identical.	equivalent: 1\nreasoning: The two answers are identical.	Andy Stankiewicz	"```json\n""intermediate_answers"": {\n  ""answer_1"": ""US"	likely_gold_error/outdated	Team with most NCAA Division I baseball championships is USC; its current head coach is Andy Stankiewicz (models). Gold 'Jason Gill' appears mismatched.
bamboogle	google-gemini-2-5-pro	bamboogle_0035_f61df3cd	0	0	What is the maximum airspeed (in km/h) of the third fastest bird?	320 km/h	209 km/h	209	The numeric value in the prediction (209) is significantly different from the gold answer (320) and falls outside the allowed numeric tolerance (1% of 320 is 3.2; |320 - 209| = 111).	1	Both answers provide the same numerical value; unit in Answer B is consistent with the question and Answer A implicitly provides the value in the requested unit.	equivalent: 1\nreasoning: Both answers provide the same numerical value; unit in Answer B is consistent with the question and Answer A implicitly provides the value in the requested unit.	209 km/h	"```json\n{\n  ""answer_1"": ""Gyrfalcon"",\n  ""answer_2"": ""209""\n}\n```"	possible_gold_typo_or_alias	Open answer '209 km/h' is very close to gold '320 km/h' (edit-distance 2); likely typo/alias/normalization issue.
crag	google-gemini-2-5-pro	d52db8c5-663a-469c-a470-e6d524e2b3dd	0	1	who was the coach of the team that won the stanley cup last season?	bruce cassidy, who coaches the vegas golden knights, was the coach of the team that won the stanley cup last season.	Jared Bednar	Jared Bednar	The gold answer identifies Bruce Cassidy as the coach who won the Stanley Cup last season (2022-2023). The prediction, Jared Bednar, is a different coach who won the Stanley Cup in the 2021-2022 season, not 'last season'. Therefore, the prediction contradicts the gold fact.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nJared Bednar	"```json\n{\n  ""intermediate_answers"": {\n    ""answer_1"": ""Colorado Avalanche"",\n    ""answer_2"": ""Jared Bednar""\n  }\n}\n```"	time_dependent	Stanley Cup winner/coach changes each season; gold (Cassidy/Vegas) and models (Bednar/Colorado) correspond to different years.
