dataset	model	baseline	TP	FP	TN	FN	Precision	Recall	F1	Coverage	Acc@Cov	Overall_Acc	Decision_Acc	AUROC
bamboogle	google-gemini-2-5-flash	ays	8	4	99	12	0.667	0.4	0.5	0.902	0.892	0.805	0.87	0.6806
bamboogle	google-gemini-2-5-flash	idk	1	0	103	19	1.0	0.05	0.095	0.992	0.844	0.837	0.846	0.525
bamboogle	google-gemini-2-5-flash	pairwise_assistive	12	16	87	8	0.429	0.6	0.5	0.772	0.916	0.707	0.805	0.7223
bamboogle	google-gemini-2-5-flash	pairwise_incremental	12	9	94	8	0.571	0.6	0.585	0.829	0.922	0.764	0.862	0.7563
bamboogle	google-gemini-2-5-flash	pairwise_model_generated	13	11	92	7	0.542	0.65	0.591	0.805	0.929	0.748	0.854	0.7716
bamboogle	google-gemini-2-5-flash	self_consistency	7	7	96	13	0.5	0.35	0.412	0.886	0.881	0.78	0.837	0.641
bamboogle	google-gemini-2-5-pro	ays	7	2	103	11	0.778	0.389	0.519	0.927	0.904	0.837	0.894	0.6849
bamboogle	google-gemini-2-5-pro	idk	1	0	105	17	1.0	0.056	0.105	0.992	0.861	0.854	0.862	0.5278
bamboogle	google-gemini-2-5-pro	pairwise_assistive	8	6	99	10	0.571	0.444	0.5	0.886	0.908	0.805	0.87	0.6937
bamboogle	google-gemini-2-5-pro	pairwise_incremental	8	4	101	10	0.667	0.444	0.533	0.902	0.91	0.821	0.886	0.7032
bamboogle	google-gemini-2-5-pro	pairwise_model_generated	9	8	97	9	0.529	0.5	0.514	0.862	0.915	0.789	0.862	0.7119
bamboogle	google-gemini-2-5-pro	self_consistency	3	3	102	15	0.5	0.167	0.25	0.951	0.872	0.829	0.854	0.569
bamboogle	google-gemma-3-4b-it	ays	49	3	8	63	0.942	0.438	0.598	0.577	0.113	0.065	0.463	0.5824
bamboogle	google-gemma-3-4b-it	idk	13	0	11	99	1.0	0.116	0.208	0.894	0.1	0.089	0.195	0.558
bamboogle	google-gemma-3-4b-it	pairwise_assistive	20	3	8	92	0.87	0.179	0.296	0.813	0.08	0.065	0.228	0.4529
bamboogle	google-gemma-3-4b-it	pairwise_incremental	36	2	9	76	0.947	0.321	0.48	0.691	0.106	0.073	0.366	0.5698
