model	dataset	one_minus_recall_before	one_minus_recall_after	open_wrong_before	open_wrong_after	n_records_before	n_records_after	source_before	source_after	excluded_ids_count
GPT-5.1	bamboogle	0.3333333333333333	0.0	18.0	8.0	123.0	111.0	baseline_records:results/baselines/bamboogle/gpt-5-1/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/gpt-5-1/bamboogle_pairwise_assistive.json	12
GPT-5.1	crag	0.5818181818181818	0.23809523809523808	55.0	21.0	162.0	122.0	eval_oldstyle:results/correctness/crag/gpt-5-1/crag_open_ended_correctness.json|results/consistency/crag/gpt-5-1/crag_assistive_vs_open_ended_consistency.json	eval_oldstyle:results/correctness/crag/gpt-5-1/crag_open_ended_correctness.json|results/consistency/crag/gpt-5-1/crag_assistive_vs_open_ended_consistency.json	40
GPT-5.1	frames	0.4666666666666667	0.3559322033898305	75.0	59.0	292.0	271.0	eval_newstyle:results/correctness/frames/gpt-5.1/open_ended_correctness.json|results/consistency/frames/gpt-5.1/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/gpt-5.1/open_ended_correctness.json|results/consistency/frames/gpt-5.1/consistency_open_ended_vs_assistive.json	21
GPT-5.1	hotpotqa	0.36538461538461536	0.23684210526315788	52.0	38.0	185.0	166.0	baseline_records:results/baselines/hotpotqa/gpt-5-1/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/gpt-5-1/hotpotqa_pairwise_assistive.json	25
GPT-5.1	mintaka	0.675	0.13333333333333333	40.0	15.0	293.0	264.0	baseline_records:results/baselines/mintaka/gpt-5-1/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/gpt-5-1/mintaka_pairwise_assistive.json	29
GPT-5.1	musique	0.4186046511627907	0.3523809523809524	129.0	105.0	294.0	267.0	eval_newstyle:results/correctness/musique/gpt-5.1/open_ended_correctness.json|results/consistency/musique/gpt-5.1/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/musique/gpt-5.1/open_ended_correctness.json|results/consistency/musique/gpt-5.1/consistency_open_ended_vs_assistive.json	28
Gemini-2.5-Pro	bamboogle	0.5294117647058824	0.4444444444444444	17.0	9.0	123.0	111.0	baseline_records:results/baselines/bamboogle/google-gemini-2-5-pro/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/google-gemini-2-5-pro/bamboogle_pairwise_assistive.json	12
Gemini-2.5-Pro	crag	0.6481481481481481	0.058823529411764705	54.0	17.0	162.0	122.0	baseline_records:results/baselines/crag/google-gemini-2-5-pro/crag_pairwise_assistive.json	baseline_records:results/baselines/crag/google-gemini-2-5-pro/crag_pairwise_assistive.json	40
Gemini-2.5-Pro	frames	0.4625	0.417910447761194	80.0	67.0	299.0	278.0	eval_newstyle:results/correctness/frames/gemini-2.5-pro/open_ended_correctness.json|results/consistency/frames/gemini-2.5-pro/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/gemini-2.5-pro/open_ended_correctness.json|results/consistency/frames/gemini-2.5-pro/consistency_open_ended_vs_assistive.json	21
Gemini-2.5-Pro	hotpotqa	0.32222222222222224	0.24242424242424243	90.0	66.0	274.0	249.0	baseline_records:results/baselines/hotpotqa/google-gemini-2-5-pro/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/google-gemini-2-5-pro/hotpotqa_pairwise_assistive.json	25
