dataset	id	question	gold_dsl	model_dsl	equivalent_final
mintaka	07cc7c15	Who starred in the movie based on Fear and Loathing in Las Vegas?	answer_1: str = qa_model("What is the film adaptation of the book 'Fear and Loathing in Las Vegas'?")\nanswer_2: str = qa_model("Who starred in '{answer_1}'?", answer_1=answer_1)	answer_1: str = qa_model("What is the film adaptation of the book 'Fear and Loathing in Las Vegas'?")\nanswer_2: str = qa_model("Who starred in '{answer_1}'?", answer_1=answer_1)	1
mintaka	f6640eb4	What was the final major European battle of the war that primarily featured the man called Adolf Hitler?	answer_1: str = qa_model("What war is primarily associated with Adolf Hitler?")\nanswer_2: str = qa_model("What was the final major European battle of {answer_1}?", answer_1=answer_1)	answer_1: str = qa_model("What war primarily featured the man called Adolf Hitler?")\nanswer_2: str = qa_model("What were the major European battles of {answer_1}?", answer_1=answer_1)\nanswer_3: str = qa_model("What was the final major European battle among {answer_2}?", answer_2=answer_2)	1
mintaka	540c6b11	What is the tallest building in the country whose capital city is Kuala Lumpur?	answer_1: str = qa_model("What country has Kuala Lumpur as its capital city?")\nanswer_2: str = qa_model("What is the tallest building in {answer_1}?", answer_1=answer_1)	answer_1: str = qa_model("What is the country whose capital city is Kuala Lumpur?")\nanswer_2: str = qa_model("What is the tallest building in {answer_1}?", answer_1=answer_1)	1
mintaka	ec34b32a	How old was the singer of "When Doves Cry" when he died?	answer_1: str = qa_model("Who sang the song 'When Doves Cry'?")\nanswer_2: str = qa_model("How old was {answer_1} when he died?", answer_1=answer_1)	answer_1: str = qa_model("Who sang the song 'When Doves Cry'?")\nanswer_2: str = qa_model("When did {answer_1} die?", answer_1=answer_1)\nanswer_3: str = qa_model("How old was {answer_1} when he died on {answer_2}?", answer_1=answer_1, answer_2=answer_2)	1
mintaka	af8a1219	How old is the lead singer of No Doubt?	answer_1: str = qa_model("Who is the lead singer of the band No Doubt?")\nanswer_2: str = qa_model("How old is {answer_1}?", answer_1=answer_1)	answer_1: str = qa_model("Who is the lead singer of the band No Doubt?")\nanswer_2: str = qa_model("How old is {answer_1}?", answer_1=answer_1)	1
mintaka	5e3bc3b9	When did the author who wrote A Farewell to Arms die?	answer_1: str = qa_model("Who wrote the book 'A Farewell to Arms'?")\nanswer_2: str = qa_model("When did {answer_1} die?", answer_1=answer_1)	answer_1: str = qa_model("Who wrote the book 'A Farewell to Arms'?")\nanswer_2: str = qa_model("When did {answer_1} die?", answer_1=answer_1)	1
mintaka	bcc3b346	What is the population of the country with the Great Pyramid of Giza?	answer_1: str = qa_model("In which country is the Great Pyramid of Giza located?")\nanswer_2: str = qa_model("What is the population of {answer_1}?", answer_1=answer_1)	answer_1: str = qa_model("Where is the Great Pyramid of Giza located?")\nanswer_2: str = qa_model("What is the population of {answer_1}?", answer_1=answer_1)	1
mintaka	7a5e5ab0	How many kids does the lead actor of Troy have?	answer_1: str = qa_model("Who was the lead actor in the film 'Troy' (2004)?")\nanswer_2: str = qa_model("How many children does {answer_1} have?", answer_1=answer_1)	answer_1: str = qa_model("Who was the lead actor in the film 'Troy' (2004)?")\nanswer_2: str = qa_model("How many children does {answer_1} have?", answer_1=answer_1)	1
mintaka	02074df8	What is the fourth main dungeon in the first Zelda game for the N64?	answer_1: str = qa_model("What is the first Zelda game released for the Nintendo 64?")\nanswer_2: str = qa_model("What is the fourth main dungeon in '{answer_1}'?", answer_1=answer_1)	answer_1: str = qa_model("What is the first Zelda game released for the Nintendo 64?")\nanswer_2: str = qa_model("What is the fourth main dungeon in '{answer_1}'?", answer_1=answer_1)	1
mintaka	44553d7e	How old in years was the oldest American president when he first assumed office?	answer_1: str = qa_model("Who was the oldest American president when he first assumed office?")\nanswer_2: str = qa_model("How old was {answer_1} when he first assumed office?", answer_1=answer_1)	answer_1: str = qa_model("Who is the oldest American president?")\nanswer_2: str = qa_model("How old was {answer_1} when he first took office?", answer_1=answer_1)	0
mintaka	afc20de1	How long did the longest serving senator in Massachusetts history serve in the Senate?	answer_1: str = qa_model("Who was the longest serving senator in Massachusetts history?")\nanswer_2: str = qa_model("How long did {answer_1} serve in the Senate?", answer_1=answer_1)	answer_1: str = qa_model("Who is the longest serving senator in Massachusetts history?")\nanswer_2: str = qa_model("How long did {answer_1} serve in the Senate?", answer_1=answer_1)	1
mintaka	92244aa2	Who is the wife of the 45th president of the United States?	answer_1: str = qa_model("Who was the 45th president of the United States?")\nanswer_2: str = qa_model("Who is the wife of {answer_1}?", answer_1=answer_1)	answer_1: str = qa_model("Who is the 45th president of the United States?")\nanswer_2: str = qa_model("Who is the wife of {answer_1}?", answer_1=answer_1)	1
mintaka	42dc16aa	Who is the AI companion of the protagonist of Halo: Combat Evolved?	answer_1: str = qa_model("Who is the protagonist of Halo: Combat Evolved?")\nanswer_2: str = qa_model("Who is the AI companion of {answer_1} in Halo: Combat Evolved?", answer_1=answer_1)	answer_1: str = qa_model("What is the name of the protagonist in Halo: Combat Evolved?")\nanswer_2: str = qa_model("Who is the AI companion of {answer_1} in Halo: Combat Evolved?", answer_1=answer_1)	1
mintaka	5db4dd1f	How old was the emperor of the French, who ruled from 1804 to 1814, when he passed away?	answer_1: str = qa_model("Who was the emperor of the French from 1804 to 1814?")\nanswer_2: str = qa_model("How old was {answer_1} when he passed away?", answer_1=answer_1)	answer_1: str = qa_model("Who was the emperor of the French from 1804 to 1814?")\nanswer_2: str = qa_model("When did {answer_1} pass away?", answer_1=answer_1)\nanswer_3: str = qa_model("How old was {answer_1} when he died on {answer_2}?", answer_1=answer_1, answer_2=answer_2)	1
mintaka	91f315a4	How tall is the actor who played Deadpool?	answer_1: str = qa_model("Who played Deadpool in the films?")\nanswer_2: str = qa_model("How tall is {answer_1}?", answer_1=answer_1)	answer_1: str = qa_model("Who played Deadpool in the films?")\nanswer_2: str = qa_model("How tall is {answer_1}?", answer_1=answer_1)	1
mintaka	286d66d0	Who was the last wife of the main character featured in the Last Samurai?	answer_1: str = qa_model("Who is the main character in the movie 'The Last Samurai'?")\nanswer_2: str = qa_model("Who was the last wife of {answer_1}?", answer_1=answer_1)	answer_1: str = qa_model("Who is the main character featured in the film 'The Last Samurai'?")\nanswer_2: str = qa_model("Who were the wives of {answer_1}?", answer_1=answer_1)\nanswer_3: str = qa_model("Who was the last wife among {answer_2}?", answer_2=answer_2)	1
