dataset	id	time_sensitive_hint	question	gold_answer	open_answer__google_gemini_2_5_pro	assistive_answer__google_gemini_2_5_pro	open_correctness_reasoning__google_gemini_2_5_pro	consistency_reasoning__google_gemini_2_5_pro	consistency_raw__google_gemini_2_5_pro	open_answer__google_gemini_2_5_flash	assistive_answer__google_gemini_2_5_flash	open_correctness_reasoning__google_gemini_2_5_flash	consistency_reasoning__google_gemini_2_5_flash	consistency_raw__google_gemini_2_5_flash	open_answer__gpt_5_1	assistive_answer__gpt_5_1	open_correctness_reasoning__gpt_5_1	consistency_reasoning__gpt_5_1	consistency_raw__gpt_5_1	models_open_agree	consensus_open_answer	assistant_label	assistant_confidence	assistant_notes	assistant_suggested_action
bamboogle	bamboogle_0064_647f7ea9	0	In what year was the tallest lighthouse completed?	1902	1990	1990	The gold answer is '1902' and the prediction is '1990'. Calendar dates/years must match exactly according to rule 2, and these do not match.	Both answers state the exact same year.	equivalent: 1\nreasoning: Both answers state the exact same year.	1990	1990	The predicted year (1990) does not match the gold year (1902). Calendar dates/years must match exactly according to rule 2.	Both answers state the exact same year.	equivalent: 1\nreasoning: Both answers state the exact same year.	1990	1990	The gold answer is '1902' and the prediction is '1990'. Calendar dates/years must match exactly, and these values are different.	Both answers state the same year.	equivalent: 1\nreasoning: Both answers state the same year.	1	1990	likely_gold_error/outdated	high	All three models answer 1990; likely refers to the Jeddah Light (tallest lighthouse), completed in 1990. Gold year 1902 appears inconsistent with 'tallest'.	Verify/replace gold; clarify which lighthouse or year-of-record.
crag	2a233422-8f6c-4f97-8509-ccc71afb3794	0	how old was leonardo dicaprio when he won best actor award?	leonardo was 42 years old in 2016 when he won best actor.	41	41	The gold answer states Leonardo DiCaprio was 42 years old, while the prediction states 41. The difference of 1 is outside the allowed numeric tolerance of max(0.5, 1% of 42 = 0.42), which is 0.5.	Answer A contains the key fact (age 41) requested by the question, along with extra detail (date of award) which does not contradict the age. Answer B provides only the key fact.	equivalent: 1\nreasoning: Answer A contains the key fact (age 41) requested by the question, along with extra detail (date of award) which does not contradict the age. Answer B provides only the key fact.	41	41	The gold answer states Leonardo DiCaprio was 42 years old, while the prediction states 41. The difference of 1 is outside the allowed numeric tolerance of max(0.5, 1% of 42) = 0.5.	Both answers state the same numerical value.	equivalent: 1\nreasoning: Both answers state the same numerical value.	41	41	The gold answer states Leonardo DiCaprio was 42 years old, while the prediction states 41. The difference of 1 is outside the allowed numeric tolerance of max(0.5, 1% of 42 = 0.42) = 0.5.	Both answers state the same age.	equivalent: 1\nreasoning: Both answers state the same age.	1	41	numeric_boundary/age_definition	high	DiCaprio won Best Actor at the Feb 2016 ceremony; he was 41 then (turns 42 later in 2016). Gold hard-codes '42 in 2016', which is plausible only under a different age convention.	Update gold to age-at-ceremony or specify convention (age at end-of-year).
hotpotqa	5a7272eb5542997f827839d7	0	How old is the female main protagonist of Catching Fire?	16-year-old	17	17	The gold answer states the protagonist is 16 years old, while the prediction states 17. This is a numerical contradiction outside the allowed tolerance (|17 - 16| = 1, which is greater than max(0.5, 1% of 16) = 0.5).	Both answers state the same age.	equivalent: 1\nreasoning: Both answers state the same age.	17	17	The gold answer states the protagonist is 16 years old, while the prediction states 17. This is a direct contradiction as the difference (1 year) exceeds the allowed numeric tolerance of 0.5 for exact values.	Both answers state the same age.	equivalent: 1\nreasoning: Both answers state the same age.	17	17	The gold answer states the protagonist is 16 years old, while the prediction states 17. This is a direct contradiction as the difference (1 year) exceeds the allowed numeric tolerance of 0.5 for exact values like age.	Both answers state the same age.	equivalent: 1\nreasoning: Both answers state the same age.	1	17	likely_gold_error	medium-high	Katniss Everdeen is typically 17 in Catching Fire. Gold says 16, which may conflate with The Hunger Games (book 1).	Verify protagonist age in Catching Fire and update gold if needed.
mintaka	4b066327	0	How old was John Lennon when The Beatles formed?	16	19	19	The gold answer is 16, and the prediction is 19. The absolute difference is 3, which is outside the allowed numeric tolerance of max(0.5, 1% of 16 = 0.16).	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	19	19	The gold answer is 16, and the prediction is 19. The absolute difference is 3, which is outside the allowed numeric tolerance of max(0.5, 1% of 16) = 0.5. This is not a naturally drifting value, so the stricter tolerance applies.	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	19	19	The gold answer is 16, and the prediction is 19. The absolute difference is 3, which exceeds the allowed numeric tolerance of max(0.5, 1% of 16) = 0.5. This is a direct contradiction of the age.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	1	19	ambiguous_event_definition	high	19 aligns with 1960 (Beatles formation era) given Lennon’s 1940 birth. Gold 16 may instead correspond to the Quarrymen/earlier pre-Beatles formation.	Clarify 'formed' (Quarrymen vs The Beatles) or update gold accordingly.
crag	adabdcb6-3d4d-4dac-93f7-d54bdb5dccf2	0	who was the coach of the team that won the nba championship last season?	michael malone, who coaches the denver nuggets, was the coach of the team that won the nba championship last season.	Steve Kerr	Steve Kerr	The gold answer identifies Michael Malone as the coach, while the prediction states Steve Kerr. These are two different individuals, leading to a contradiction.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Steve Kerr	Steve Kerr	The gold answer identifies Michael Malone as the coach, while the prediction states Steve Kerr. These are two different individuals, making the prediction factually incorrect and a contradiction to the gold answer.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Steve Kerr	Steve Kerr	The gold answer states the coach was Michael Malone, while the prediction states Steve Kerr. These are two different individuals, leading to a direct contradiction.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	1	Steve Kerr	time_dependent	high	'Last season' is underspecified and shifts year to year; models return Steve Kerr (Warriors season), while gold returns Michael Malone (Nuggets season).	Time-filter or specify an explicit season/year in the question+gold.
hotpotqa	5ac3e8c65542997ea680c993	0	Are the New Orleans Outfall Canals the same length as the Augusta Canal?	yes	No	No	The gold answer states 'yes' (they are the same length), while the prediction states 'No', which is a direct contradiction.	"Both answers are ""No"", indicating agreement."	"equivalent: 1\nreasoning: Both answers are ""No"", indicating agreement."	No	No	The gold answer states 'yes' (they are the same length), while the prediction states 'No', which is a direct contradiction.	"Both answers are ""No"", which are equivalent."	"equivalent: 1\nreasoning: Both answers are ""No"", which are equivalent."	No	No	The gold answer states 'yes' (they are the same length), while the prediction states 'No', which is a direct contradiction.	"Both answers are ""No"", which is the same."	"equivalent: 1\nreasoning: Both answers are ""No"", which is the same."	1	No	unclear/needs_verification	low	Gold says the canal lengths match; all models say no. Without checking the referenced canal definitions/lengths, this could be either a gold issue or a model mistake.	Re-check source lengths (which outfall canal(s)?) and revise question/gold to be unambiguous.
mintaka	9d4dccb3	0	"Where did the rapper in the song ""I am different"" graduate college from?"	Virginia State University	Alabama State University	Alabama State University	The prediction names 'Alabama State University' which directly contradicts the gold answer 'Virginia State University'. These are distinct entities.	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	Alabama State University	Alabama State University	The prediction 'Alabama State University' directly contradicts the gold answer 'Virginia State University' by naming a different university.	The two answers are identical.	equivalent: 1\nreasoning: The two answers are identical.	Alabama State University	Alabama State University	The prediction 'Alabama State University' directly contradicts the gold answer 'Virginia State University' by naming a different university.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	1	Alabama State University	likely_gold_error	high	"The song ""I’m Different"" is commonly associated with 2 Chainz, who attended Alabama State University; models align on Alabama State while gold says Virginia State."	Verify the artist mapping and update gold/sourcing.
crag	d5124253-4271-40b5-986b-dd3021ab828e	1	who was the winner of the wimbledon women's singles tournament this year?	marketa vondrousova, who is coached by jiri hrebec and jan hernych, won the wimbledon women's singles tournament this year.	Elena Rybakina	Elena Rybakina	The gold answer states the winner was 'Marketa Vondrousova', while the prediction states 'Elena Rybakina'. These are different individuals, leading to a direct contradiction of the core fact.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Elena Rybakina	Elena Rybakina	The gold answer states the winner was 'Marketa Vondrousova', while the prediction states 'Elena Rybakina'. These are different individuals, leading to a direct contradiction on the core fact requested.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Elena Rybakina	Elena Rybakina	The gold answer states the winner was 'Marketa Vondrousova', while the prediction states 'Elena Rybakina'. These are different individuals, leading to a contradiction on the core fact of who won the tournament.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	1	Elena Rybakina	time_dependent	high	Wimbledon winner depends on year; gold corresponds to one year and models to another.	Time-filter or include the explicit year in the question.
hotpotqa	5adfedb755429942ec259b95	0	Emprise Bank has branches in a city situated along what river?	Neosho River	Arkansas River	Arkansas River	The prediction names 'Arkansas River' which is a different river than the 'Neosho River' provided in the gold answer, leading to a contradiction.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Arkansas River	Arkansas River	The prediction 'Arkansas River' contradicts the gold answer 'Neosho River'. These are two distinct rivers.	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	Arkansas River	Arkansas River	The prediction names 'Arkansas River' which is a different river than the 'Neosho River' provided in the gold answer, leading to a contradiction.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	1	Arkansas River	ambiguous_entity_mapping	medium	Likely the city is Wichita, KS (on the Arkansas River), but the question does not name the city; gold says Neosho River while models say Arkansas River.	Pin the specific branch city and then answer with its river.
mintaka	13cd720a	0	What is the capital of the largest country in Europe?	Paris	Moscow	Moscow	The gold answer states the capital is 'Paris', while the prediction states it is 'Moscow'. These are two different cities, leading to a direct contradiction.	The two answers are identical.	equivalent: 1\nreasoning: The two answers are identical.	Moscow	Moscow	The gold answer states the capital is 'Paris', while the prediction states it is 'Moscow'. These are two different cities, leading to a direct contradiction.	The two answers are identical.	equivalent: 1\nreasoning: The two answers are identical.	Moscow	Moscow	The prediction 'Moscow' directly contradicts the gold answer 'Paris'. The largest country in Europe by area is Russia, whose capital is Moscow. However, the largest country *entirely within* Europe is Ukraine, and the largest country *by population* entirely within Europe is Germany. The question is ambiguous, but the gold answer 'Paris' implies the question is referring to France as the 'largest country in Europe' in some context (e.g., historically or culturally, or perhaps by GDP within the EU). Regardless of the interpretation of 'largest country in Europe', 'Moscow' and 'Paris' are distinct and contradictory answers.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	1	Moscow	ambiguous_scope(Europe_vs_EU)	high	If interpreted as Europe (continent), largest country is Russia → capital Moscow (models). Gold Paris may reflect largest EU country (France) or another scope.	Disambiguate Europe vs EU or specify 'by area' and intended region.
