dataset	id	question	gold_answer	assistant_label	assistant_notes	stable_wrong_models	frontier_open_consensus_count	frontier_open_consensus_answer	model_dir__gemini_2_5_pro	stable_wrong__gemini_2_5_pro	open_correct__gemini_2_5_pro	consistency_equivalent__gemini_2_5_pro	open_answer__gemini_2_5_pro	assistive_answer__gemini_2_5_pro	open_correctness_reasoning__gemini_2_5_pro	consistency_reasoning__gemini_2_5_pro	model_dir__gemini_2_5_flash	stable_wrong__gemini_2_5_flash	open_correct__gemini_2_5_flash	consistency_equivalent__gemini_2_5_flash	open_answer__gemini_2_5_flash	assistive_answer__gemini_2_5_flash	open_correctness_reasoning__gemini_2_5_flash	consistency_reasoning__gemini_2_5_flash	model_dir__gpt_5_1	stable_wrong__gpt_5_1	open_correct__gpt_5_1	consistency_equivalent__gpt_5_1	open_answer__gpt_5_1	assistive_answer__gpt_5_1	open_correctness_reasoning__gpt_5_1	consistency_reasoning__gpt_5_1	hand_review_label	hand_review_confidence	hand_review_notes
bamboogle	bamboogle_0055_a38b6895	Who directed the highest grossing film?	James Cameroon	frontier_consensus_vs_gold	All three frontier models agree on 'James Cameron' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash,gpt_5_1	3	James Cameron	google-gemini-2-5-pro	0	1	1	James Cameron	James Cameron	The prediction 'James Cameron' is a common and widely accepted spelling of the director's name, while 'James Cameroon' in the gold answer appears to be a misspelling. Given the context of a proper name, this minor spelling difference is considered equivalent.	Both answers are identical.	google-gemini-2-5-flash	1	0	1	James Cameron	James Cameron	The prediction 'James Cameron' differs from the gold answer 'James Cameroon' by a spelling mistake in the last name. This is not covered by normalization rules for aliases or common variations.	Both answers are identical.	gpt-5-1	1	0	1	James Cameron	James Cameron	The gold answer 'James Cameroon' has a different spelling for the last name compared to the prediction 'James Cameron'. While 'James Cameron' is the correct spelling of the director's name, the evaluation must compare the prediction against the provided gold answer, which contains a typo. The names are not identical and do not fall under alias/abbreviation normalization.	Both answers are identical.	gold_typo	high	Gold appears to have a typo ('James Cameroon'); consensus 'James Cameron' is the obvious intended string.
bamboogle	bamboogle_0059_abedd531	In what year was the tallest fixed steel structure completed?	1988	frontier_consensus_vs_gold	All three frontier models agree on '2012' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash,gpt_5_1	3	2012	google-gemini-2-5-pro	0	0	0	2012	2000	The gold answer is '1988' and the prediction is '2012'. Calendar dates and years must match exactly according to Rule 2. The prediction contradicts the gold answer.	The years provided (2000 and 2012) are different and calendar years must match exactly.	google-gemini-2-5-flash	1	0	1	2012	2012	The prediction '2012' contradicts the gold answer '1988'. Calendar dates/years must match exactly.	Both answers state the exact same year.	gpt-5-1	1	0	1	2012	2012	The gold answer is 1988, and the prediction is 2012. Calendar dates/years must match exactly, and these values are different.	Both answers state the exact same year.	likely_outdated_or_definition	medium	All models answer 2012 vs gold 1988; likely an outdated snapshot or a definition mismatch for 'tallest fixed steel structure'.
bamboogle	bamboogle_0066_6b32e7f3	The most populous national capital city was established in what year?	1045 BC	frontier_consensus_vs_gold	All three frontier models agree on '1457' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash	3	1457	google-gemini-2-5-pro	0	0	0	1457	1271	The gold answer specifies '1045 BC' while the prediction states '1457'. These are different years and do not match, violating the exact match requirement for calendar dates/years.	The years provided are different and do not fall within any acceptable numeric tolerance.	google-gemini-2-5-flash	1	0	1	1457	1457	The gold answer specifies '1045 BC' while the prediction is '1457'. Calendar dates or years must match exactly according to Rule 2, and these values are significantly different.	Both answers state the exact same year.	gpt-5-1	0	0	0	1457	1868	The gold answer specifies '1045 BC' while the prediction states '1457'. These are different years, and calendar dates/years must match exactly according to the rules.	The years provided are different and calendar dates/years must match exactly.	likely_gold_error	medium-high	Gold year '1045 BC' seems inconsistent with a modern most-populous capital framing; consensus 1457 likely corresponds to a different intended capital (e.g., Tokyo/Edo founding).
crag	12d2b048-e8de-470a-b4f2-81b0cf03ec5e	what was the name of the movie that won the most golden globe awards in a single year, including best motion picture – drama, best director, and best actor – motion picture drama?	the movie that won the most golden globe awards in a single year, including best motion picture – drama, best director, and best actor in a motion picture – drama, was oppenheimer, directed by christopher nolan and starring cillian murphy.	frontier_consensus_vs_gold	All three frontier models agree on 'One Flew Over the Cuckoo's Nest' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash	3	One Flew Over the Cuckoo's Nest	google-gemini-2-5-pro	0	0	0	One Flew Over the Cuckoo's Nest	The Revenant	The gold answer states the movie was 'Oppenheimer', while the prediction states 'One Flew Over the Cuckoo's Nest'. These are different movies, leading to a direct contradiction.	"Answer A (""The Revenant"") won 3 Golden Globes, including the specified categories. Answer B (""One Flew Over the Cuckoo's Nest"") won 5 Golden Globes, including the specified categories, making it the movie that won ""the most"" among those that met the specific criteria. The answers provide different movies."	google-gemini-2-5-flash	1	0	1	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	The prediction 'One Flew Over the Cuckoo's Nest' directly contradicts the gold answer 'Oppenheimer' regarding the name of the movie that won the specified Golden Globe awards.	Both answers are identical.	gpt-5-1	0	0	0	One Flew Over the Cuckoo’s Nest	The Revenant	The gold answer states the movie was 'Oppenheimer', while the prediction states 'One Flew Over the Cuckoo’s Nest'. These are different movies, leading to a contradiction.	Answer A (The Revenant) won 3 Golden Globes, including the specified categories. Answer B (One Flew Over the Cuckoo’s Nest) won 6 Golden Globes, including the specified categories, making it the movie that won the most awards under the given conditions. The answers provide different, contradictory facts.	definition_mismatch	low	Record/criterion unclear: 'most Golden Globe awards in a single year' depends on which categories and whether 'record holder' vs 'recent big winner' is intended.
crag	c47ece5d-49ba-4ee2-ba5e-cfee323dbec0	who was the first actor to play the role of a comic book hero in a live-action movie?	warren hall was the first actor to play the role of a superhero in a live-action movie, in his iconic portrayal of mandrake the magician in 1939, directed by norman deming and sam nelson.	frontier_consensus_vs_gold	All three frontier models agree on 'Tom Tyler' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_pro,gpt_5_1	3	Tom Tyler	google-gemini-2-5-pro	1	0	1	Tom Tyler	Tom Tyler	The gold answer identifies 'Warren Hall' as the first actor, while the prediction states 'Tom Tyler'. These are different names, leading to a contradiction on the core fact.	Both answers are identical.	google-gemini-2-5-flash	0	0	0	Tom Tyler	George Reeves	The gold answer identifies 'Warren Hall' as the first actor, while the prediction states 'Tom Tyler'. These are different names, leading to a direct contradiction on the core fact.	The answers name different actors. Tom Tyler (Captain Marvel, 1941) is generally considered the first, while George Reeves (Superman) came later.	gpt-5-1	1	0	1	Tom Tyler	Tom Tyler	The gold answer identifies 'Warren Hall' as the first actor, while the prediction states 'Tom Tyler'. These are different names, leading to a contradiction on the core fact.	Both answers are identical.	definition_mismatch(comic_book_vs_strip)	medium-high	Gold cites Mandrake (comic strip), while question asks 'comic book hero'. Consensus Tom Tyler likely aligns with an early comic-book superhero serial; dataset should clarify scope.
crag	e6fe70a3-61b9-4b6f-b953-9ec181806b7d	can you tell me the name of the actress who starred in the film that won the best picture oscar in 1993?	anna thomson	frontier_consensus_vs_gold	All three frontier models agree on 'Frances Fisher' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_pro,gpt_5_1	3	Frances Fisher	google-gemini-2-5-pro	1	0	1	Frances Fisher	Frances Fisher	The gold answer states 'anna thomson' and the prediction states 'Frances Fisher'. These are two distinct names, and therefore the prediction does not communicate the same essential fact as the gold answer. They contradict each other on the identity of the actress.	Both answers are identical.	google-gemini-2-5-flash	0	1	1	Frances Fisher	Frances Fisher	The Best Picture Oscar winner in 1993 was 'Unforgiven'. Both Anna Thomson (gold) and Frances Fisher (prediction) were actresses who starred in this film. Since the question asks for 'the name of the actress' and does not require a specific one or all, the prediction provides a valid actress from the film, which is acceptable as a subset of possible correct answers (Rule 9).	Both answers are identical.	gpt-5-1	1	0	1	Frances Fisher	Frances Fisher	The gold answer 'anna thomson' is a different name from the prediction 'Frances Fisher'. They are distinct facts.	Both answers are identical.	underspecified_multi_answer	medium	'Best picture Oscar in 1993' is ambiguous (ceremony year vs film year), and even within a film there may be multiple actresses; gold vs consensus may both be defensible.
frames	139	"What is the name of the play written in May 2016 by a playwright who won the MacArthur Fellowship the same year as the poet who wrote ""Postcolonial Love Poem""?"	Skeleton Crew	frontier_consensus_vs_gold	All three frontier models agree on 'Pipeline' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash,gpt_5_1	3	Pipeline	gemini-2.5-pro	0	0	0	Pipeline	Skeleton Crew	"The prediction ""Pipeline"" contradicts the gold answer ""Skeleton Crew""."	"The two answers provide different play titles, ""Pipeline"" and ""Skeleton Crew"", which are not equivalent."	gemini-2.5-flash	1	0	1	Pipeline	Pipeline	"The prediction ""Pipeline"" contradicts the gold answer ""Skeleton Crew""."	Both answers are identical strings.	gpt-5.1	1	0	1	Pipeline	Pipeline	"The prediction ""Pipeline"" contradicts the gold answer ""Skeleton Crew""."	Both answers are identical strings.	needs_verification	low	Complex chain (MacArthur year + specific play month). Cannot validate offline whether gold 'Skeleton Crew' or consensus 'Pipeline' is intended without checking the linked entities.
frames	202	The National Peace Corps Association was founded in 1979 by a United States politician. This founder then appointed the very first director of the Peace Corps, his brother-in-law. What is the first name of this director?	Robert	frontier_consensus_vs_gold	All three frontier models agree on 'Sargent' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gpt_5_1	3	Sargent	gemini-2.5-pro	0	0	0	Sargent	Robert	"The prediction ""Sargent"" contradicts the gold answer ""Robert""."	"The names ""Sargent"" and ""Robert"" are distinct and not equivalent."	gemini-2.5-flash	0	0	0	Sargent	Robert	"The prediction ""Sargent"" contradicts the gold answer ""Robert""."	"The names ""Sargent"" and ""Robert"" are distinct and cannot be normalized to be equivalent."	gpt-5.1	1	0	1	Sargent	Sargent	"The prediction ""Sargent"" contradicts the gold answer ""Robert""."	Both answers are identical.	likely_gold_error	high	First Peace Corps director was Sargent Shriver; gold 'Robert' is incorrect (answer should be 'Sargent').
frames	250	The Sikh empire's capital at the time of the Battle of Sobraon came under the rule of the British Crown in what year?	1858	frontier_consensus_vs_gold	All three frontier models agree on '1849' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	3	1849	gemini-2.5-pro	1	0	1	1849	1849	The predicted year '1849' does not match the gold year '1858'. Calendar dates/years must match exactly.	Both answers state the same year, 1849, which is an exact match.	gemini-2.5-flash	1	0	1	1849	1849	The predicted year '1849' does not match the gold year '1858'. Calendar dates/years must match exactly.	Both answers state the exact same year, 1849.	gpt-5.1	1	0	1	1849	1849	The predicted year '1849' does not match the gold year '1858'. Calendar dates/years must match exactly.	Both answers state the same year, 1849, which is an exact match.	definition_mismatch(annexation_vs_crown_rule)	medium-high	1849 matches annexation of Punjab (British control), 1858 matches start of direct Crown rule. Wording 'British Crown' makes this ambiguous; question should pin which event.
frames	297	What song topped Billboard magazine's Top 30 chart in the same year that the first documented case of a person being hit and surviving a meteorite occurred?	Little Things Mean a Lot by Kitty Kallen	frontier_consensus_vs_gold	All three frontier models agree on 'Little Things Mean a Lot' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	3	Little Things Mean a Lot	gemini-2.5-pro	1	0	1	Little Things Mean a Lot	Little Things Mean a Lot	"The prediction is missing the artist, ""Kitty Kallen"", which is a vital fact included in the gold answer for identifying the song."	Both answers are identical strings.	gemini-2.5-flash	1	0	1	Little Things Mean a Lot	Little Things Mean a Lot	"The prediction is missing the artist, ""Kitty Kallen"", which is a vital fact included in the gold answer for identifying the song."	Both answers are identical strings.	gpt-5.1	1	0	1	Little Things Mean a Lot	Little Things Mean a Lot	"The prediction is missing the artist, ""Kitty Kallen"", which is a vital fact included in the gold answer for identifying the song."	Both answers are identical strings.	gold_overspecified	high	Question asks for the song; gold includes 'by <artist>' while consensus provides only the song title. Gold should not require the artist if not asked.
