dataset	id	question	gold_answer	assistant_label	assistant_notes	stable_wrong_models	frontier_open_consensus_count	frontier_open_consensus_answer	model_dir__gemini_2_5_pro	stable_wrong__gemini_2_5_pro	open_correct__gemini_2_5_pro	consistency_equivalent__gemini_2_5_pro	open_answer__gemini_2_5_pro	assistive_answer__gemini_2_5_pro	open_correctness_reasoning__gemini_2_5_pro	consistency_reasoning__gemini_2_5_pro	model_dir__gemini_2_5_flash	stable_wrong__gemini_2_5_flash	open_correct__gemini_2_5_flash	consistency_equivalent__gemini_2_5_flash	open_answer__gemini_2_5_flash	assistive_answer__gemini_2_5_flash	open_correctness_reasoning__gemini_2_5_flash	consistency_reasoning__gemini_2_5_flash	model_dir__gpt_5_1	stable_wrong__gpt_5_1	open_correct__gpt_5_1	consistency_equivalent__gpt_5_1	open_answer__gpt_5_1	assistive_answer__gpt_5_1	open_correctness_reasoning__gpt_5_1	consistency_reasoning__gpt_5_1
bamboogle	bamboogle_0035_f61df3cd	What is the maximum airspeed (in km/h) of the third fastest bird?	320 km/h	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	gemini_2_5_pro	1	209 km/h	google-gemini-2-5-pro	1	0	1	209 km/h	209	The numeric value in the prediction (209) is significantly different from the gold answer (320) and falls outside the allowed numeric tolerance (1% of 320 is 3.2; |320 - 209| = 111).	Both answers provide the same numerical value; unit in Answer B is consistent with the question and Answer A implicitly provides the value in the requested unit.	google-gemini-2-5-flash	0	0	0	160	170	The gold answer is 320 km/h, while the prediction is 160. This is a significant numerical difference (160 vs 320) that falls outside the allowed numeric tolerance (1% of 320 is 3.2). The prediction contradicts the gold fact.	The numerical values 170 and 160 are not within the allowed tolerance of |a − b| ≤ max(0.5, 1% of the reference). The difference is 10, while 1% of 170 is 1.7 and 1% of 160 is 1.6.	gpt-5-1	0	0.0	0.0	169	209 km/h	The gold answer is 320 km/h, and the prediction is 169. These numerical values are significantly different and fall outside the allowed 1% tolerance for numeric expressions (|320 - 169| = 151, which is much greater than 1% of 320 = 3.2).	The numeric values (209 vs 169) are significantly different and do not fall within the allowed numeric tolerance.
bamboogle	bamboogle_0045_38628071	What was the death toll of the most intense Atlantic hurricane?	52	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	gemini_2_5_pro,gpt_5_1	1	62	google-gemini-2-5-pro	1	0	1	62	62	The gold answer is 52 and the prediction is 62. The absolute difference is 10. The allowed tolerance is max(0.5, 1% of 52) = max(0.5, 0.52) = 0.52. Since 10 is not less than or equal to 0.52, the prediction is outside the acceptable numeric tolerance.	Answer A contains extra information (the hurricane name) but provides the same key fact (death toll of 62) as Answer B, which directly answers the question.	google-gemini-2-5-flash	0	0	0	23	26	The prediction '23' is numerically different from the gold answer '52'. The difference (29) far exceeds the allowed tolerance of max(0.5, 1% of 52 = 0.52).	The numerical values 26 and 23 are not equivalent based on the numeric expression tolerance rule (|a - b| <= max(0.5, 1% of reference)). The difference of 3 is greater than 0.5 and 1% of either number.	gpt-5-1	1	0.0	1.0	87	87	The gold answer is 52 and the prediction is 87. The difference (35) is significantly outside the allowed numeric tolerance of max(0.5, 1% of 52 = 0.52).	Both answers are identical and state the same number.
bamboogle	bamboogle_0067_c104c160	The third largest river (by discharge) in the world is in what countries?	India and Bangladesh	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	gemini_2_5_pro	1	China	google-gemini-2-5-pro	1	0	1	China	China	The gold answer specifies 'India and Bangladesh' as the countries, while the prediction states 'China'. These are different countries, leading to a contradiction.	Both answers are identical.	google-gemini-2-5-flash	0	0	0	Venezuela; Colombia	Angola; Burundi; Cameroon; Central African Republic; Democratic Republic of the Congo; Equatorial Guinea; Gabon; Republic of the Congo; Rwanda; South Sudan; Tanzania; Zambia	The prediction lists 'Venezuela; Colombia' as the countries, which directly contradicts the gold answer 'India and Bangladesh'. The countries are entirely different.	The answers list different sets of countries. Answer A lists countries in Central Africa (Congo River basin), while Answer B lists countries in South America. These are contradictory facts.	gpt-5-1	0	1.0	1.0	India; Bangladesh	China; India; Bangladesh; Nepal; Bhutan	The prediction lists the same two countries as the gold answer. The use of a semicolon as a separator is equivalent to 'and' in this context, representing a list of items.	"Answer B is a subset of Answer A, and the question does not require ""all"" countries, so this is allowed by the subset allowance rule."
bamboogle	bamboogle_0072_70ea2630	In what year did the oldest cat ever recorded with the Cat of the Year award?	1999	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	gemini_2_5_flash	1	The oldest cat ever recorded, Creme Puff, did not win a Cat of the Year award.	google-gemini-2-5-pro	0	0	0	The oldest cat ever recorded, Creme Puff, did not win a Cat of the Year award.	1999	The gold answer states the event happened in 1999, implying the oldest cat won the award. The prediction explicitly states that the oldest cat did not win a Cat of the Year award, which is a direct contradiction of the gold fact.	Answer B states that the cat did not win the award, which contradicts Answer A's claim of a specific year (1999) for winning the award.	google-gemini-2-5-flash	1	0	1	"The oldest cat ever recorded did not win a ""Cat of the Year"" award."		The gold answer provides a specific year (1999) for the event, implying it occurred. The prediction explicitly states that the event did not happen, which is a direct contradiction of the gold fact.	"Answer A ""N/A"" implies that the event did not occur, which is explicitly stated in Answer B. Both convey that there is no year because the premise of the question is false."	gpt-5-1	0	1.0	-1.0		Creme Puff never won the Cat of the Year award	Missing prediction text	Answer B is an empty string, which is considered not meaningful.
bamboogle	bamboogle_0081_cfd7f8b7	What is the official color of the third oldest surviving university?	Cambridge Blue	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	gemini_2_5_pro	1	Yellow	google-gemini-2-5-pro	1	0	1	Yellow	Yellow	The prediction 'Yellow' directly contradicts the gold answer 'Cambridge Blue' regarding the official color.	Answer A provides the key fact (Yellow) along with extra, non-contradictory detail (University of Salamanca). The core fact requested by the question is present in both.	google-gemini-2-5-flash	0	0	0	Red	Dark Blue	The prediction 'Red' directly contradicts the gold answer 'Cambridge Blue' regarding the official color.	The answers provide contradictory colors for the same fact.	gpt-5-1	0	0.0	0.0	St Andrews blue	Cambridge Blue	The prediction 'St Andrews blue' contradicts the gold answer 'Cambridge Blue'. These are distinct colors associated with different universities.	Answer A refers to the color of the University of Cambridge (second oldest), while Answer B refers to the color of the University of St Andrews (third oldest), which is what the question asks for. The answers contradict each other regarding the specific university.
bamboogle	bamboogle_0095_fa23ed5f	What was the father of the last surviving Canadian father of Confederation?	Charles Tupper Sr.	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	gemini_2_5_pro	1	Charles Tupper	google-gemini-2-5-pro	1	0	1	Charles Tupper	Reverend Charles Tupper	The gold answer specifies 'Sr.' to distinguish the father from the son (who was the 'last surviving Canadian father of Confederation'). Omitting 'Sr.' makes the prediction ambiguous and potentially refers to the son, thus not communicating the same essential fact as the gold which clearly identifies the father.	"Answer A provides an additional title (""Reverend"") which is an extra detail but does not contradict or change the core identity of the person named in Answer B."	google-gemini-2-5-flash	0	1	0	Charles Tupper Sr.	Nathaniel Tupper	The prediction is an exact match to the gold answer.	"The names ""Nathaniel Tupper"" and ""Charles Tupper Sr."" refer to different individuals."	gpt-5-1	0	0.0	0.0	Baptist minister	Charles Tupper Sr.	The gold answer provides the name of the father ('Charles Tupper Sr.'), while the prediction provides an occupation ('Baptist minister'). These are different types of information and the prediction does not identify the specific person asked for.	Answer A provides the name of the father, while Answer B provides his profession. They do not convey the same essential fact in response to the question.
bamboogle	bamboogle_0101_5fc6a795	What is the lowest elevation of the longest railway tunnel?	312 m	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	gemini_2_5_flash	1	312 m	google-gemini-2-5-pro	0	1	1	312 m	312 m	The prediction is an exact match to the gold answer.	Both answers are identical.	google-gemini-2-5-flash	1	0	1	325 m	325 m	The gold answer is 312 m and the prediction is 325 m. The absolute difference is 13 m. The allowed tolerance is max(0.5, 1% of 312) = max(0.5, 3.12) = 3.12 m. Since 13 m is greater than 3.12 m, the prediction is outside the acceptable numeric tolerance.	Both answers are identical.	gpt-5-1	0	0.0	0.0	−240 m	312 m above sea level	The predicted value '-240 m' is numerically very different from the gold value '312 m'. The absolute difference (552) far exceeds the allowed tolerance (max(0.5, 1% of 312 = 3.12)). Furthermore, the prediction implies an elevation below sea level, while the gold implies an elevation above sea level, which is a direct contradiction.	The values are numerically different (312 vs -240) and represent opposite directions relative to sea level (above vs below).
bamboogle	bamboogle_0110_3800034a	What's the motto of the oldest California State university?	Powering Silicon Valley	single_model_error	At least 2/3 frontier models are judged correct; likely a model-specific stable mistake for: gemini_2_5_flash.	gemini_2_5_flash	2	Powering Silicon Valley	google-gemini-2-5-pro	0	1	0	Powering Silicon Valley	Power; Wisdom; Friendship	The prediction is an exact match to the gold answer.	The two answers provide completely different mottos. Answer A lists three distinct concepts, while Answer B provides a single, different phrase.	google-gemini-2-5-flash	1	0	1	Lux, Veritas, Honestas	Lux, Veritas, Honestas	The prediction 'Lux, Veritas, Honestas' is a different motto than the gold answer 'Powering Silicon Valley'. There is a direct contradiction on the specific fact requested.	Both answers are identical.	gpt-5-1	0	1.0	1.0	Powering Silicon Valley	Powering Silicon Valley	The prediction is identical to the gold answer.	Both answers are identical.
bamboogle	bamboogle_0122_7a7aef7c	Who is the father of the scientist at MIT that won the Queen Elizabeth Prize for Engineering in 2013?	Conway Berners-Lee	single_model_error	At least 2/3 frontier models are judged correct; likely a model-specific stable mistake for: gemini_2_5_pro.	gemini_2_5_pro	2	Conway Berners-Lee	google-gemini-2-5-pro	1	0	1	Robert Langer	Robert Langer	The prediction 'Robert Langer' is a different name from the gold answer 'Conway Berners-Lee', leading to a direct contradiction of the requested fact.	Both answers are identical.	google-gemini-2-5-flash	0	1	0	Conway Berners-Lee	Henry Langer	The prediction is an exact match to the gold answer.	The two answers provide different names for the father of the scientist, making them contradictory.	gpt-5-1	0	1.0	1.0	Conway Berners-Lee	Conway Berners-Lee	The prediction exactly matches the gold answer.	Both answers are identical.
crag	365b3655-6fc5-4731-a422-afeb3d4b3750	what company in the nasdaq brings in the most revenue?	walmart	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	gemini_2_5_pro,gpt_5_1	1	Amazon	google-gemini-2-5-pro	1	0	1	Amazon	Amazon.com, Inc.	The prediction 'Amazon' contradicts the gold answer 'walmart' regarding the company with the most revenue in the NASDAQ.	"""Amazon"" is a common alias for ""Amazon.com, Inc.""."	google-gemini-2-5-flash	0	0	0	Apple Inc.	Amazon	The prediction 'Apple Inc.' directly contradicts the gold answer 'walmart' regarding the company with the most revenue in NASDAQ.	The answers name different companies (Amazon vs Apple Inc.) as having the most revenue, which is a direct contradiction.	gpt-5-1	1	0.0	1.0	Amazon.com, Inc.	Amazon	The prediction 'Amazon.com, Inc.' is a different company than the gold answer 'walmart', leading to a factual contradiction.	"""Amazon"" is an common alias for ""Amazon.com, Inc.""; extra detail in B does not contradict A."
