dataset	model	approach	total_evaluated	correct	incorrect	accuracy
bamboogle	gemini-2.5-flash	open_ended	123	103	20	83.74
bamboogle	gemini-2.5-flash	assistive	123	93	30	75.61
bamboogle	gemini-2.5-flash	sequential	123	99	24	80.49
bamboogle	gemini-2.5-flash	model_generated_plan	123	97	26	78.86
bamboogle	gemini-2.5-pro	open_ended	123	105	18	85.37
bamboogle	gemini-2.5-pro	assistive	123	107	16	86.99
bamboogle	gemini-2.5-pro	sequential	122	106	16	86.89
bamboogle	gemini-2.5-pro	model_generated_plan	123	102	21	82.93
bamboogle	gpt-5.1	open_ended	123	104	19	84.55
bamboogle	gpt-5.1	assistive	123	108	15	87.8
bamboogle	gpt-5.1	sequential	123	107	16	86.99
bamboogle	gpt-5.1	model_generated_plan	123	100	23	81.3
bamboogle	llama-3.1-8B-Instruct	open_ended	122	26	96	21.31
bamboogle	llama-3.1-8B-Instruct	assistive	123	49	74	39.84
bamboogle	llama-3.1-8B-Instruct	sequential	123	59	64	47.97
bamboogle	llama-3.1-8B-Instruct	model_generated_plan	122	20	102	16.39
bamboogle	llama-3.3-70B-Instruct	open_ended	123	56	67	45.53
bamboogle	llama-3.3-70B-Instruct	assistive	123	89	34	72.36
bamboogle	llama-3.3-70B-Instruct	sequential	123	84	39	68.29
bamboogle	llama-3.3-70B-Instruct	model_generated_plan	121	71	50	58.68
bamboogle	mistral-7B-Instruct-v0.3	open_ended	122	19	103	15.57
bamboogle	mistral-7B-Instruct-v0.3	assistive	123	44	79	35.77
bamboogle	mistral-7B-Instruct-v0.3	sequential	123	45	78	36.59
bamboogle	mistral-7B-Instruct-v0.3	model_generated_plan	123	25	98	20.33
bamboogle	qwen-2.5-72B-Instruct	open_ended	123	39	84	31.71
bamboogle	qwen-2.5-72B-Instruct	assistive	123	72	51	58.54
bamboogle	qwen-2.5-72B-Instruct	sequential	123	75	48	60.98
bamboogle	qwen-2.5-72B-Instruct	model_generated_plan	123	60	63	48.78
bamboogle	qwen-3-32B	open_ended	123	23	100	18.7
bamboogle	qwen-3-32B	assistive	123	55	68	44.72
bamboogle	qwen-3-32B	sequential	123	54	69	43.9
bamboogle	qwen-3-32B	model_generated_plan	123	41	82	33.33
bamboogle	qwen-3-8B	open_ended	123	15	108	12.2
bamboogle	qwen-3-8B	assistive	123	46	77	37.4
bamboogle	qwen-3-8B	sequential	122	40	82	32.79
bamboogle	qwen-3-8B	model_generated_plan	123	30	93	24.39
crag	gemini-2.5-flash	open_ended	163	105	58	64.42
crag	gemini-2.5-flash	assistive	163	103	60	63.19
crag	gemini-2.5-flash	sequential	163	101	62	61.96
crag	gemini-2.5-flash	model_generated_plan	163	96	67	58.9
crag	gemini-2.5-pro	open_ended	163	105	58	64.42
crag	gemini-2.5-pro	assistive	163	100	63	61.35
crag	gemini-2.5-pro	sequential	163	97	66	59.51
crag	gemini-2.5-pro	model_generated_plan	163	88	75	53.99
crag	gpt-5.1	open_ended	163	106	57	65.03
crag	gpt-5.1	assistive	163	104	59	63.8
crag	gpt-5.1	sequential	163	101	62	61.96
crag	gpt-5.1	model_generated_plan	163	92	71	56.44
