dataset	id	hand_review_label	hand_review_notes	hand_review_source
bamboogle	bamboogle_0035_f61df3cd	possible_gold_typo_or_alias	gemini_2_5_pro: possible_gold_typo_or_alias — Open answer '209 km/h' is very close to gold '320 km/h' (edit-distance 2); likely typo/alias/normalization issue.	per_model_manual
bamboogle	bamboogle_0039_7e165501	possible_gold_error_or_ambiguity	gemini_2_5_flash: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on '1993-09-21' vs gold; could be gold error/ambiguity or shared model misconception. | gpt_5_1: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on '1993-09-21' vs gold; could be gold error/ambiguity or shared model misconception.	per_model_manual
bamboogle	bamboogle_0045_38628071	possible_gold_typo_or_alias	gemini_2_5_pro: possible_gold_typo_or_alias — Open answer '62' is very close to gold '52' (edit-distance 1); likely typo/alias/normalization issue. | gpt_5_1: possible_gold_typo_or_alias — Open answer '87' is very close to gold '52' (edit-distance 2); likely typo/alias/normalization issue.	per_model_manual
bamboogle	bamboogle_0050_43f80844	alias_or_evaluation_strictness	gpt_5_1: alias_or_evaluation_strictness — Consistency judge notes alias/equivalence between open and assistive answers; open correctness may be overly strict about surface-form differences.	per_model_manual
bamboogle	bamboogle_0055_a38b6895	gold_typo	Gold appears to have a typo ('James Cameroon'); consensus 'James Cameron' is the obvious intended string.	cons31
bamboogle	bamboogle_0059_abedd531	likely_outdated_or_definition	All models answer 2012 vs gold 1988; likely an outdated snapshot or a definition mismatch for 'tallest fixed steel structure'.	cons31
bamboogle	bamboogle_0064_647f7ea9	likely_gold_error/outdated	All three models answer 1990; likely refers to the Jeddah Light (tallest lighthouse), completed in 1990. Gold year 1902 appears inconsistent with 'tallest'.	intersection44
bamboogle	bamboogle_0066_6b32e7f3	likely_gold_error	Gold year '1045 BC' seems inconsistent with a modern most-populous capital framing; consensus 1457 likely corresponds to a different intended capital (e.g., Tokyo/Edo founding).	cons31
bamboogle	bamboogle_0086_998cb1bd	possible_gold_error_or_ambiguity	gemini_2_5_pro: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'John Locke' vs gold; could be gold error/ambiguity or shared model misconception.	per_model_manual
bamboogle	bamboogle_0091_3845ed5d	alias_or_evaluation_strictness	gpt_5_1: alias_or_evaluation_strictness — Consistency judge notes alias/equivalence between open and assistive answers; open correctness may be overly strict about surface-form differences.	per_model_manual
bamboogle	bamboogle_0094_f6def5e8	possible_gold_error_or_ambiguity	gemini_2_5_pro: outlier_vs_frontier_consensus — Other frontier models agree (2/3) on 'Andries van Wesel', while this model answers 'Andries van Wesele'. Likely a model-specific stable error (or alias). | gpt_5_1: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'Andries van Wesel' vs gold; could be gold error/ambiguity or shared model misconception.	per_model_manual
bamboogle	bamboogle_0101_5fc6a795	possible_gold_typo_or_alias	gemini_2_5_flash: possible_gold_typo_or_alias — Open answer '325 m' is very close to gold '312 m' (edit-distance 2); likely typo/alias/normalization issue.	per_model_manual
crag	00283e38-b411-425f-ad12-b6de87e4dc45	time_dependent	gemini_2_5_pro: time_dependent — Time-relative phrasing ('currently'); gold likely tied to a specific snapshot. | gemini_2_5_flash: time_dependent — Time-relative phrasing ('currently'); gold likely tied to a specific snapshot.	per_model_manual
crag	04fd2c98-6531-41a0-8f9f-4af6b7f012ef	time_dependent	World Series MVP depends on year; gold and models align to different seasons (e.g., Seager vs Soler).	intersection44
