model,dataset,id,question,sequential_answer,open_answer,gold_answer,sequential_correct,open_correct,sequential_intermediate_questions,sequential_intermediate_answers,sequential_dsl,sequential_raw_response,sequential_qa_chain,open_raw_response,equivalence_reasoning,equivalence_raw_response,label_cause,label_notes
gpt-5-1,bamboogle,bamboogle_0054_3ecff82e,When was the first location of the world's largest coffeehouse chain opened?,"1971-03-30 explanation: The world's largest coffeehouse chain is Starbucks, whose first location opened on 1971-03-30.",1971-03-31,"March 30, 1971",1,0,"[""What is the world's largest coffeehouse chain?"", ""When was the first location of {answer_1} opened?""]","{""answer_1"": ""Starbucks"", ""answer_2"": ""1971-03-30""}","answer_1: str = qa_model(""What is the world's largest coffeehouse chain?"")
answer_2: str = qa_model(""When was the first location of {answer_1} opened?"", answer_1=answer_1)","answer:
1971-03-30","[{""question"": ""What is the world's largest coffeehouse chain?"", ""answer"": ""Starbucks"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""When was the first location of Starbucks opened?"", ""answer"": ""1971-03-30"", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]","answer:
1971-03-31",Calendar dates must match exactly; 1971-03-30 is not equivalent to 1971-03-31.,"equivalent: 0
reasoning: Calendar dates must match exactly; 1971-03-30 is not equivalent to 1971-03-31.",,
gpt-5-1,bamboogle,bamboogle_0028_ec928c44,What is the third letter of the top level domain of the military?,"i explanation: The military’s top-level domain is "".mil"", whose third letter is ""i"".",l,l,0,1,"[""What is the top level domain of the military?"", ""What is the third letter of '{answer_1}'?""]","{""answer_1"": "".mil"", ""answer_2"": ""i""}","answer_1: str = qa_model(""What is the top level domain of the military?"")
answer_2: str = qa_model(""What is the third letter of '{answer_1}'?"", answer_1=answer_1)","answer:
i","[{""question"": ""What is the top level domain of the military?"", ""answer"": "".mil"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""What is the third letter of '.mil'?"", ""answer"": ""i"", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]","answer:
l","Answer A states the third letter is 'i', while Answer B states it is 'l'. The correct third letter of "".mil"" is 'l', making Answer A incorrect and contradictory.","equivalent: 0
reasoning: Answer A states the third letter is 'i', while Answer B states it is 'l'. The correct third letter of "".mil"" is 'l', making Answer A incorrect and contradictory.",,
gpt-5-1,bamboogle,bamboogle_0043_d65a05e7,The most populous city in Punjab is how large (area wise)?,"1,772 km² explanation: The chain identifies Lahore as the most populous city in Punjab, then gives Lahore’s area as 1,772 km².",159 km²,310 square kilometers,0,0,"[""What is the most populous city in Punjab?"", ""What is the area of {answer_1}?""]","{""answer_1"": ""Lahore"", ""answer_2"": ""1,772 km\u00b2""}","answer_1: str = qa_model(""What is the most populous city in Punjab?"")
answer_2: str = qa_model(""What is the area of {answer_1}?"", answer_1=answer_1)","answer:
1,772 km²","[{""question"": ""What is the most populous city in Punjab?"", ""answer"": ""Lahore"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""What is the area of Lahore?"", ""answer"": ""1,772 km\u00b2"", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]",159 km²,"The numerical values for the area (1,772 km² vs 159 km²) are significantly different and fall outside any acceptable tolerance.","equivalent: 0
reasoning: The numerical values for the area (1,772 km² vs 159 km²) are significantly different and fall outside any acceptable tolerance.",,
gpt-5-1,bamboogle,bamboogle_0057_ce243def,Which company was responsible for the largest pharmaceutical settlement?,Purdue Pharma L.P. explanation: The chain identifies the largest pharmaceutical settlement as the 2020 opioid settlement and attributes it to Purdue Pharma L.P.,GlaxoSmithKline,GlaxoSmithKline,0,1,"[""What is the largest pharmaceutical settlement in history?"", ""Which company was responsible for the {answer_1}?""]","{""answer_1"": ""Purdue Pharma\u2019s 2020 opioid settlement with the U.S. Department of Justice (about $8.3\u202fbillion)"", ""answer_2"": ""Purdue Pharma L.P.""}","answer_1: str = qa_model(""What is the largest pharmaceutical settlement in history?"")
answer_2: str = qa_model(""Which company was responsible for the {answer_1}?"", answer_1=answer_1)","answer:
Purdue Pharma L.P.","[{""question"": ""What is the largest pharmaceutical settlement in history?"", ""answer"": ""Purdue Pharma\u2019s 2020 opioid settlement with the U.S. Department of Justice (about $8.3\u202fbillion)"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""Which company was responsible for the Purdue Pharma\u2019s 2020 opioid settlement with the U.S. Department of Justice (about $8.3\u202fbillion)?"", ""answer"": ""Purdue Pharma L.P."", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]","answer:
GlaxoSmithKline","The answers name different companies for the largest pharmaceutical settlement. Purdue Pharma L.P. is associated with an $8 billion settlement, while GlaxoSmithKline is associated with a $3 billion settlement, making them contradictory regarding ""the largest"".","equivalent: 0
reasoning: The answers name different companies for the largest pharmaceutical settlement. Purdue Pharma L.P. is associated with an $8 billion settlement, while GlaxoSmithKline is associated with a $3 billion settlement, making them contradictory regarding ""the largest"".",,
gpt-5-1,bamboogle,bamboogle_0084_6694d7d9,Who produced the longest running video game franchise?,"Minnesota Educational Computing Consortium (MECC) explanation: The chain identifies ""The Oregon Trail"" as the longest running franchise and states MECC produced it.",Nintendo,MECC,1,0,"[""What is the longest running video game franchise?"", ""Who produced the '{answer_1}' franchise?""]","{""answer_1"": ""The Oregon Trail"", ""answer_2"": ""Minnesota Educational Computing Consortium (MECC)""}","answer_1: str = qa_model(""What is the longest running video game franchise?"")
answer_2: str = qa_model(""Who produced the '{answer_1}' franchise?"", answer_1=answer_1)","answer:
Minnesota Educational Computing Consortium (MECC)","[{""question"": ""What is the longest running video game franchise?"", ""answer"": ""The Oregon Trail"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""Who produced the 'The Oregon Trail' franchise?"", ""answer"": ""Minnesota Educational Computing Consortium (MECC)"", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]","answer:
Nintendo","The answers provide different producers (MECC vs. Nintendo) for what they imply is the longest-running video game franchise, which are contradictory facts.","equivalent: 0
reasoning: The answers provide different producers (MECC vs. Nintendo) for what they imply is the longest-running video game franchise, which are contradictory facts.",,
gpt-5-1,bamboogle,bamboogle_0066_6b32e7f3,The most populous national capital city was established in what year?,1868 explanation: The chain identifies Tokyo as the most populous national capital and states Tokyo was established in 1868.,1457,1045 BC,0,0,"[""What is the most populous national capital city?"", ""In what year was {answer_1} established?""]","{""answer_1"": ""Tokyo"", ""answer_2"": ""1868""}","answer_1: str = qa_model(""What is the most populous national capital city?"")
answer_2: str = qa_model(""In what year was {answer_1} established?"", answer_1=answer_1)","answer:
1868","[{""question"": ""What is the most populous national capital city?"", ""answer"": ""Tokyo"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""In what year was Tokyo established?"", ""answer"": ""1868"", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]","answer:
1457",The years provided (1868 vs 1457) are different and calendar dates/years must match exactly.,"equivalent: 0
reasoning: The years provided (1868 vs 1457) are different and calendar dates/years must match exactly.",,
gpt-5-1,bamboogle,bamboogle_0101_5fc6a795,What is the lowest elevation of the longest railway tunnel?,"312 m above sea level explanation: The longest railway tunnel is the Gotthard Base Tunnel, whose lowest elevation is 312 m above sea level.",−240 m,312 m,1,0,"[""What is the longest railway tunnel?"", ""What is the lowest elevation of the {answer_1}?""]","{""answer_1"": ""Gotthard Base Tunnel"", ""answer_2"": ""312 m above sea level""}","answer_1: str = qa_model(""What is the longest railway tunnel?"")
answer_2: str = qa_model(""What is the lowest elevation of the {answer_1}?"", answer_1=answer_1)","answer:
312 m above sea level","[{""question"": ""What is the longest railway tunnel?"", ""answer"": ""Gotthard Base Tunnel"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""What is the lowest elevation of the Gotthard Base Tunnel?"", ""answer"": ""312 m above sea level"", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]",−240 m,The numerical values for elevation (312 m vs -240 m) are contradictory.,"equivalent: 0
reasoning: The numerical values for elevation (312 m vs -240 m) are contradictory.",,
gpt-5-1,bamboogle,bamboogle_0081_cfd7f8b7,What is the official color of the third oldest surviving university?,"Red explanation: The chain identifies the third oldest surviving university as the University of Bologna, whose official color is red.",St Andrews blue,Cambridge Blue,0,0,"[""What is the third oldest surviving university in the world?"", ""What is the official color of the {answer_1}?""]","{""answer_1"": ""University of Bologna"", ""answer_2"": ""Red""}","answer_1: str = qa_model(""What is the third oldest surviving university in the world?"")
answer_2: str = qa_model(""What is the official color of the {answer_1}?"", answer_1=answer_1)","answer:
Red","[{""question"": ""What is the third oldest surviving university in the world?"", ""answer"": ""University of Bologna"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""What is the official color of the University of Bologna?"", ""answer"": ""Red"", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]","answer:
St Andrews blue","The answers provide different colors (red vs. St Andrews blue) for the official color of the third oldest surviving university, which is a direct contradiction.","equivalent: 0
reasoning: The answers provide different colors (red vs. St Andrews blue) for the official color of the third oldest surviving university, which is a direct contradiction.",,
gpt-5-1,bamboogle,bamboogle_0095_fa23ed5f,What was the father of the last surviving Canadian father of Confederation?,Charles Tupper Sr. explanation: The last surviving Canadian Father of Confederation was Charles Tupper; his father was Charles Tupper Sr.,Baptist minister,Charles Tupper Sr.,1,0,"[""Who was the last surviving Canadian father of Confederation?"", ""Who was the father of {answer_1}?""]","{""answer_1"": """", ""answer_2"": ""Please clarify who you are asking about (e.g., \u201cWho was the father of Isaac Newton?\u201d).""}","answer_1: str = qa_model(""Who was the last surviving Canadian father of Confederation?"")
answer_2: str = qa_model(""Who was the father of {answer_1}?"", answer_1=answer_1)","answer:
Charles Tupper Sr.","[{""question"": ""Who was the last surviving Canadian father of Confederation?"", ""answer"": """", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""Who was the father of ?"", ""answer"": ""Please clarify who you are asking about (e.g., \u201cWho was the father of Isaac Newton?\u201d)."", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]","answer:
Baptist minister","Answer A provides the name of the father, Charles Tupper Sr., which directly answers the question. Answer B provides the profession of the father, ""Baptist minister,"" which is an attribute but not the name requested by the question.","equivalent: 0
reasoning: Answer A provides the name of the father, Charles Tupper Sr., which directly answers the question. Answer B provides the profession of the father, ""Baptist minister,"" which is an attribute but not the name requested by the question.",,
gpt-5-1,bamboogle,bamboogle_0063_3eb28528,When was the tallest ferris wheel in the world completed?,"2018 explanation: Tallest ferris wheel is Ain Dubai, and it was completed in 2018.",2021-10-21,2021,0,1,"[""What is the tallest ferris wheel in the world?"", ""When was {answer_1} completed?""]","{""answer_1"": ""Ain Dubai"", ""answer_2"": ""2018""}","answer_1: str = qa_model(""What is the tallest ferris wheel in the world?"")
answer_2: str = qa_model(""When was {answer_1} completed?"", answer_1=answer_1)","answer:
2018","[{""question"": ""What is the tallest ferris wheel in the world?"", ""answer"": ""Ain Dubai"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""When was Ain Dubai completed?"", ""answer"": ""2018"", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]","answer:
2021-10-21",The years provided (2018 vs 2021) are different and calendar dates/years must match exactly.,"equivalent: 0
reasoning: The years provided (2018 vs 2021) are different and calendar dates/years must match exactly.",,
