model	dataset	one_minus_recall_before	one_minus_recall_after	open_wrong_before	open_wrong_after	n_records_before	n_records_after	source_before	source_after	excluded_ids_count
GPT-5.1	bamboogle	0.3684210526315789	0.0	19.0	8.0	123.0	111.0	baseline_records:results/baselines/bamboogle/gpt-5-1/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/gpt-5-1/bamboogle_pairwise_assistive.json	12
GPT-5.1	crag	0.5964912280701754	0.2727272727272727	57.0	22.0	162.0	122.0	eval_oldstyle:results/correctness/crag/gpt-5-1/crag_open_ended_correctness.json|results/consistency/crag/gpt-5-1/crag_assistive_vs_open_ended_consistency.json	eval_oldstyle:results/correctness/crag/gpt-5-1/crag_open_ended_correctness.json|results/consistency/crag/gpt-5-1/crag_assistive_vs_open_ended_consistency.json	40
GPT-5.1	frames	0.48717948717948717	0.36666666666666664	78.0	60.0	292.0	271.0	eval_newstyle:results/correctness/frames/gpt-5.1/open_ended_correctness.json|results/consistency/frames/gpt-5.1/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/gpt-5.1/open_ended_correctness.json|results/consistency/frames/gpt-5.1/consistency_open_ended_vs_assistive.json	21
GPT-5.1	hotpotqa	0.36538461538461536	0.23684210526315788	52.0	38.0	185.0	166.0	baseline_records:results/baselines/hotpotqa/gpt-5-1/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/gpt-5-1/hotpotqa_pairwise_assistive.json	25
GPT-5.1	mintaka	0.6829268292682927	0.13333333333333333	41.0	15.0	293.0	264.0	baseline_records:results/baselines/mintaka/gpt-5-1/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/gpt-5-1/mintaka_pairwise_assistive.json	29
GPT-5.1	musique	0.42748091603053434	0.3644859813084112	131.0	107.0	294.0	267.0	eval_newstyle:results/correctness/musique/gpt-5.1/open_ended_correctness.json|results/consistency/musique/gpt-5.1/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/musique/gpt-5.1/open_ended_correctness.json|results/consistency/musique/gpt-5.1/consistency_open_ended_vs_assistive.json	28
Gemini-2.5-Pro	bamboogle	0.5555555555555556	0.5	18.0	10.0	123.0	111.0	baseline_records:results/baselines/bamboogle/google-gemini-2-5-pro/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/google-gemini-2-5-pro/bamboogle_pairwise_assistive.json	12
Gemini-2.5-Pro	crag	0.6666666666666666	0.1111111111111111	57.0	18.0	162.0	122.0	baseline_records:results/baselines/crag/google-gemini-2-5-pro/crag_pairwise_assistive.json	baseline_records:results/baselines/crag/google-gemini-2-5-pro/crag_pairwise_assistive.json	40
Gemini-2.5-Pro	frames	0.4819277108433735	0.4264705882352941	83.0	68.0	299.0	278.0	eval_newstyle:results/correctness/frames/gemini-2.5-pro/open_ended_correctness.json|results/consistency/frames/gemini-2.5-pro/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/gemini-2.5-pro/open_ended_correctness.json|results/consistency/frames/gemini-2.5-pro/consistency_open_ended_vs_assistive.json	21
Gemini-2.5-Pro	hotpotqa	0.33695652173913043	0.2647058823529412	92.0	68.0	274.0	249.0	baseline_records:results/baselines/hotpotqa/google-gemini-2-5-pro/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/google-gemini-2-5-pro/hotpotqa_pairwise_assistive.json	25
Gemini-2.5-Pro	mintaka	0.7021276595744681	0.38095238095238093	47.0	21.0	298.0	269.0	baseline_records:results/baselines/mintaka/google-gemini-2-5-pro/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/google-gemini-2-5-pro/mintaka_pairwise_assistive.json	29
Gemini-2.5-Pro	musique	0.33986928104575165	0.2578125	153.0	128.0	300.0	272.0	eval_newstyle:results/correctness/musique/gemini-2.5-pro/open_ended_correctness.json|results/consistency/musique/gemini-2.5-pro/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/musique/gemini-2.5-pro/open_ended_correctness.json|results/consistency/musique/gemini-2.5-pro/consistency_open_ended_vs_assistive.json	28
Gemini-2.5-Flash	bamboogle	0.4	0.1111111111111111	20.0	9.0	123.0	111.0	baseline_records:results/baselines/bamboogle/google-gemini-2-5-flash/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/google-gemini-2-5-flash/bamboogle_pairwise_assistive.json	12
Gemini-2.5-Flash	crag	0.43103448275862066	0.09090909090909091	58.0	22.0	162.0	122.0	baseline_records:results/baselines/crag/google-gemini-2-5-flash/crag_pairwise_assistive.json	baseline_records:results/baselines/crag/google-gemini-2-5-flash/crag_pairwise_assistive.json	40
Gemini-2.5-Flash	frames	0.29310344827586204	0.24742268041237114	116.0	97.0	297.0	276.0	eval_newstyle:results/correctness/frames/gemini-2.5-flash/open_ended_correctness.json|results/consistency/frames/gemini-2.5-flash/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/gemini-2.5-flash/open_ended_correctness.json|results/consistency/frames/gemini-2.5-flash/consistency_open_ended_vs_assistive.json	21
Gemini-2.5-Flash	hotpotqa	0.35714285714285715	0.24719101123595505	112.0	89.0	274.0	249.0	baseline_records:results/baselines/hotpotqa/google-gemini-2-5-flash/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/google-gemini-2-5-flash/hotpotqa_pairwise_assistive.json	25
Gemini-2.5-Flash	mintaka	0.5555555555555556	0.2413793103448276	54.0	29.0	298.0	269.0	baseline_records:results/baselines/mintaka/google-gemini-2-5-flash/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/google-gemini-2-5-flash/mintaka_pairwise_assistive.json	29
Gemini-2.5-Flash	musique	0.3064516129032258	0.23417721518987342	186.0	158.0	300.0	272.0	eval_newstyle:results/correctness/musique/gemini-2.5-flash/open_ended_correctness.json|results/consistency/musique/gemini-2.5-flash/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/musique/gemini-2.5-flash/open_ended_correctness.json|results/consistency/musique/gemini-2.5-flash/consistency_open_ended_vs_assistive.json	28
Llama-3.3-70B	bamboogle	0.1044776119402985	0.10526315789473684	67.0	57.0	123.0	111.0	baseline_records:results/baselines/bamboogle/meta-llama-llama-3-3-70b-instruct/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/meta-llama-llama-3-3-70b-instruct/bamboogle_pairwise_assistive.json	12
Llama-3.3-70B	crag	0.35106382978723405	0.2033898305084746	94.0	59.0	162.0	122.0	baseline_records:results/baselines/crag/meta-llama-llama-3-3-70b-instruct/crag_pairwise_assistive.json	baseline_records:results/baselines/crag/meta-llama-llama-3-3-70b-instruct/crag_pairwise_assistive.json	40
