dataset	model_slug	id	time_sensitive_hint	open_assistive_exact_match	question	gold_answer	open_answer	assistive_answer	open_correctness_reasoning	consistency_equivalent	consistency_reasoning	consistency_raw	open_raw	assistive_raw
bamboogle	google-gemini-2-5-pro	bamboogle_0094_f6def5e8	0	1	Who was the father of the founder of modern human anatomy?	Anders van Wesel	Andries van Wesele	Andries van Wesele	The first names 'Anders' and 'Andries' are distinct, not merely a case of capitalization, punctuation, or a common alias. While 'Wesele' is a minor spelling variation of 'Wesel', the difference in the first name makes the prediction not the same essential fact as the gold.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nAndries van Wesele	```json\n{\n  "answer_1": "Andreas Vesalius",\n  "answer_2": "Andries van Wesele"\n}\n```
crag	google-gemini-2-5-pro	93f61f25-1bde-4e21-a826-47c9651847e4	1	1	who was the player who won the most matches in professional tennis last year?	novak djokovic, who is coached by goran ivanisevic, won the most matches in professional tennis last year.	Daniil Medvedev	Daniil Medvedev	The gold answer identifies 'Novak Djokovic' as the player who won the most matches, while the prediction states 'Daniil Medvedev'. These are different players, leading to a contradiction on the core fact.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Daniil Medvedev	```json\n{\n  "answer_1": "2021",\n  "answer_2": "Daniil Medvedev"\n}\n```
hotpotqa	google-gemini-2-5-pro	5a7e1cd05542995ed0d1669a	0	1	who produced the animated film that John Kassir acted in?	Salma Hayek	James Pentecost	James Pentecost	The gold answer identifies 'Salma Hayek' as the producer, while the prediction states 'James Pentecost'. These are two different individuals, leading to a contradiction.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	James Pentecost	```json\n{\n  "answer_1": "Pocahontas",\n  "answer_2": "James Pentecost"\n}\n```
mintaka	google-gemini-2-5-pro	a04200ad	0	1	Who is the main protagonist of the second Metal Gear game?	Raiden	Solid Snake	Solid Snake	The prediction 'Solid Snake' contradicts the gold answer 'Raiden'. These are different characters.	1	The two answers are identical.	equivalent: 1\nreasoning: The two answers are identical.	Solid Snake	intermediate_answers:\n{\n  "answer_1": "Metal Gear 2: Solid Snake",\n  "answer_2": "Solid Snake"\n}
bamboogle	gpt-5-1	bamboogle_0045_38628071	0	1	What was the death toll of the most intense Atlantic hurricane?	52	87	87	The gold answer is 52 and the prediction is 87. The difference (35) is significantly outside the allowed numeric tolerance of max(0.5, 1% of 52 = 0.52).	1	Both answers are identical and state the same number.	equivalent: 1\nreasoning: Both answers are identical and state the same number.	answer:\n87	{\n  "answer_1": "Hurricane Wilma",\n  "answer_2": "87"\n}
crag	gpt-5-1	fde0f884-56cb-47c6-a15a-056eb02cfa4b	0	1	when did drake release their most popular album?	drake's most popular album, take care, released in 2011.	2016-04-29	2016-04-29	The gold answer states the album was released in 2011, while the prediction states 2016-04-29. These dates contradict each other.	1	Both answers provide the exact same date.	equivalent: 1\nreasoning: Both answers provide the exact same date.	answer:\n2016-04-29	{\n  "answer_1": "Views",\n  "answer_2": "2016-04-29"\n}
hotpotqa	gpt-5-1	5a76353d5542994ccc918715	0	0	When was the artist who did the cover art of The Savage Frontier born?	August 5, 1948	1954	1954-06-22	The gold answer specifies the year as 1948, while the prediction states 1954. For calendar dates/years, exact matching is required, and these years do not match.	1	Answer A provides a more specific date (year, month, day) while Answer B provides only the year. The year matches exactly, and the additional detail in A does not contradict B.	equivalent: 1\nreasoning: Answer A provides a more specific date (year, month, day) while Answer B provides only the year. The year matches exactly, and the additional detail in A does not contradict B.	answer:\n1954	{\n  "answer_1": "Jeff Easley",\n  "answer_2": "1954-06-22"\n}
mintaka	gpt-5-1	c999b363	0	1	What is the capital of the country with the highest population in the world?	Tokyo	Beijing	Beijing	The gold answer states 'Tokyo' while the prediction states 'Beijing'. These are two different cities and therefore the prediction does not communicate the same essential fact as the gold.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nBeijing	{\n  "answer_1": "China",\n  "answer_2": "Beijing"\n}
bamboogle	google-gemini-2-5-pro	bamboogle_0122_7a7aef7c	1	1	Who is the father of the scientist at MIT that won the Queen Elizabeth Prize for Engineering in 2013?	Conway Berners-Lee	Robert Langer	Robert Langer	The prediction 'Robert Langer' is a different name from the gold answer 'Conway Berners-Lee', leading to a direct contradiction of the requested fact.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Robert Langer	```json\n{\n  "answer_1": "Robert Langer",\n  "answer_2": "Robert Langer"\n}\n```
crag	google-gemini-2-5-pro	4835d4a2-4f31-423b-9f82-4c879c7798ed	1	1	who was the goalkeeper of the team that won the champions league final last year?	ederson, who plays for manchester city, was the goalkeeper of the team that won the champions league final last year.	Thibaut Courtois	Thibaut Courtois	The gold answer identifies Ederson as the goalkeeper, while the prediction names Thibaut Courtois. These are two different individuals, leading to a direct contradiction of the core fact.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Thibaut Courtois	```json\n{\n  "intermediate_answers": {\n    "answer_1": "Real Madrid",\n    "answer_2": "Thibaut Courtois"\n  }\n}\n```
hotpotqa	google-gemini-2-5-pro	5adc74cd5542994650320d0c	0	1	The small town where part of  Ewe people came from is a capital of where 	Adaklu-Anyigbe	Haho Prefecture	Haho Prefecture	The prediction 'Haho Prefecture' is a different place name than the gold answer 'Adaklu-Anyigbe'. They do not refer to the same location, indicating a contradiction.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Haho Prefecture	```json\n{\n  "answer_1": "Notsie",\n  "answer_2": "Haho Prefecture"\n}\n```
mintaka	google-gemini-2-5-pro	78a31f7a	1	0	What is the current coach's name of the team that has won the most NCAA Division I Baseball Championships?	Jason Gill	Andy Stankiewicz		The prediction 'Andy Stankiewicz' is a different name from the gold answer 'Jason Gill', indicating a direct contradiction.	1	The two answers are identical.	equivalent: 1\nreasoning: The two answers are identical.	Andy Stankiewicz	```json\n"intermediate_answers": {\n  "answer_1": "US
bamboogle	gpt-5-1	bamboogle_0064_647f7ea9	0	1	In what year was the tallest lighthouse completed?	1902	1990	1990	The gold answer is '1902' and the prediction is '1990'. Calendar dates/years must match exactly, and these values are different.	1	Both answers state the same year.	equivalent: 1\nreasoning: Both answers state the same year.	answer:\n1990	{\n  "answer_1": "Jeddah Light",\n  "answer_2": "1990"\n}
crag	gpt-5-1	79c07a6f-77a4-4f41-ad34-90804e609c2d	0	0	what is the elevation of the capital of nebraska?	366 m	359 m	358 m	The gold answer is 366 m and the prediction is 359 m. The absolute difference is 7 m. The allowed tolerance is max(0.5, 1% of 366) = 3.66 m. Since 7 > 3.66, the prediction is outside the acceptable numeric tolerance.	1	Numeric values are within the 1% tolerance (|358 - 359| = 1, which is less than 1% of 358 or 359).	equivalent: 1\nreasoning: Numeric values are within the 1% tolerance (|358 - 359| = 1, which is less than 1% of 358 or 359).	answer:\n359 m	{\n  "answer_1": "Lincoln",\n  "answer_2": "358 m"\n}
hotpotqa	gpt-5-1	5a7d48a05542991319bc9385	0	0	Who founded the fast food chain whom Joshua Goez appeared in the "Ranch Tooth" commercials for?	Dave Thomas	Robert Oscar Peterson	Robert O. Peterson	The prediction 'Robert Oscar Peterson' contradicts the gold answer 'Dave Thomas'. Dave Thomas founded Wendy's, which is associated with 'Ranch Tooth' commercials, while Robert Oscar Peterson founded Jack in the Box.	1	"O." is an abbreviation for "Oscar", making the names equivalent.	equivalent: 1\nreasoning: "O." is an abbreviation for "Oscar", making the names equivalent.	answer:\nRobert Oscar Peterson	{\n  "answer_1": "Jack in the Box",\n  "answer_2": "Robert O. Peterson"\n}
mintaka	gpt-5-1	2b7aada8	0	1	Who was the US president when Lehman Brothers went bankrupt?	Barack Obama	George W. Bush	George W. Bush	The prediction 'George W. Bush' contradicts the gold answer 'Barack Obama'. These are two different individuals, and the Lehman Brothers bankruptcy occurred during George W. Bush's presidency, not Barack Obama's.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	George W. Bush	{\n  "answer_1": "2008-09-15",\n  "answer_2": "George W. Bush"\n}
bamboogle	google-gemini-2-5-pro	bamboogle_0035_f61df3cd	0	0	What is the maximum airspeed (in km/h) of the third fastest bird?	320 km/h	209 km/h	209	The numeric value in the prediction (209) is significantly different from the gold answer (320) and falls outside the allowed numeric tolerance (1% of 320 is 3.2; |320 - 209| = 111).	1	Both answers provide the same numerical value; unit in Answer B is consistent with the question and Answer A implicitly provides the value in the requested unit.	equivalent: 1\nreasoning: Both answers provide the same numerical value; unit in Answer B is consistent with the question and Answer A implicitly provides the value in the requested unit.	209 km/h	```json\n{\n  "answer_1": "Gyrfalcon",\n  "answer_2": "209"\n}\n```
crag	google-gemini-2-5-pro	d52db8c5-663a-469c-a470-e6d524e2b3dd	0	1	who was the coach of the team that won the stanley cup last season?	bruce cassidy, who coaches the vegas golden knights, was the coach of the team that won the stanley cup last season.	Jared Bednar	Jared Bednar	The gold answer identifies Bruce Cassidy as the coach who won the Stanley Cup last season (2022-2023). The prediction, Jared Bednar, is a different coach who won the Stanley Cup in the 2021-2022 season, not 'last season'. Therefore, the prediction contradicts the gold fact.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nJared Bednar	```json\n{\n  "intermediate_answers": {\n    "answer_1": "Colorado Avalanche",\n    "answer_2": "Jared Bednar"\n  }\n}\n```
hotpotqa	google-gemini-2-5-pro	5adeb01355429939a52fe958	0	1	Elisabeth of Bavaria's husband was born on what date?	25 April 1228	1830-08-18	1830-08-18	The predicted date (1830-08-18) contradicts the gold date (25 April 1228). Dates must match exactly.	1	Both answers provide the identical date.	equivalent: 1\nreasoning: Both answers provide the identical date.	answer:\n1830-08-18	```json\n{\n  "answer_1": "Franz Joseph I",\n  "answer_2": "1830-08-18"\n}\n```
mintaka	google-gemini-2-5-pro	c999b363	0	1	What is the capital of the country with the highest population in the world?	Tokyo	Beijing	Beijing	The gold answer states 'Tokyo' while the prediction states 'Beijing'. These are different cities and thus contradict each other.	1	The two answers are identical.	equivalent: 1\nreasoning: The two answers are identical.	answer:\nBeijing	intermediate_answers:\n{\n  "answer_1": "China",\n  "answer_2": "Beijing"\n}
