dataset	id	question	gold_answer	assistant_label	assistant_notes	stable_wrong_models	frontier_open_consensus_count	frontier_open_consensus_answer	model_dir__gemini_2_5_pro	stable_wrong__gemini_2_5_pro	open_correct__gemini_2_5_pro	consistency_equivalent__gemini_2_5_pro	open_answer__gemini_2_5_pro	assistive_answer__gemini_2_5_pro	open_correctness_reasoning__gemini_2_5_pro	consistency_reasoning__gemini_2_5_pro	model_dir__gemini_2_5_flash	stable_wrong__gemini_2_5_flash	open_correct__gemini_2_5_flash	consistency_equivalent__gemini_2_5_flash	open_answer__gemini_2_5_flash	assistive_answer__gemini_2_5_flash	open_correctness_reasoning__gemini_2_5_flash	consistency_reasoning__gemini_2_5_flash	model_dir__gpt_5_1	stable_wrong__gpt_5_1	open_correct__gpt_5_1	consistency_equivalent__gpt_5_1	open_answer__gpt_5_1	assistive_answer__gpt_5_1	open_correctness_reasoning__gpt_5_1	consistency_reasoning__gpt_5_1	hand_review_label	hand_review_confidence	hand_review_notes	hand_review_suggested_action	hand_review_source
bamboogle	bamboogle_0035_f61df3cd	What is the maximum airspeed (in km/h) of the third fastest bird?	320 km/h	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	gemini_2_5_pro	1	209 km/h	google-gemini-2-5-pro	1	0	1	209 km/h	209	The numeric value in the prediction (209) is significantly different from the gold answer (320) and falls outside the allowed numeric tolerance (1% of 320 is 3.2; |320 - 209| = 111).	Both answers provide the same numerical value; unit in Answer B is consistent with the question and Answer A implicitly provides the value in the requested unit.	google-gemini-2-5-flash	0	0	0	160	170	The gold answer is 320 km/h, while the prediction is 160. This is a significant numerical difference (160 vs 320) that falls outside the allowed numeric tolerance (1% of 320 is 3.2). The prediction contradicts the gold fact.	The numerical values 170 and 160 are not within the allowed tolerance of |a − b| ≤ max(0.5, 1% of the reference). The difference is 10, while 1% of 170 is 1.7 and 1% of 160 is 1.6.	gpt-5-1	0	0	0	169	209 km/h	The gold answer is 320 km/h, and the prediction is 169. These numerical values are significantly different and fall outside the allowed 1% tolerance for numeric expressions (|320 - 169| = 151, which is much greater than 1% of 320 = 3.2).	The numeric values (209 vs 169) are significantly different and do not fall within the allowed numeric tolerance.	possible_gold_typo_or_alias		gemini_2_5_pro: possible_gold_typo_or_alias — Open answer '209 km/h' is very close to gold '320 km/h' (edit-distance 2); likely typo/alias/normalization issue.		per_model_manual
bamboogle	bamboogle_0039_7e165501	When did Nirvana's second most selling studio album come out?	September 13, 1993	one_model_correct_disagreement	Frontier answers disagree (2-of-3 on '1993-09-21'), but exactly one model is judged correct; likely a model error rather than true ambiguity.	gemini_2_5_flash,gpt_5_1	2	1993-09-21	google-gemini-2-5-pro	0	1	1	1993-09-13	1993-09-13	The gold and prediction provide the same date, just in different formats. Date equivalence is met.	Both answers provide the exact same date.	google-gemini-2-5-flash	1	0	1	1993-09-21	1993-09-21	The gold answer specifies 'September 13, 1993' while the prediction states '1993-09-21'. Calendar dates must match exactly, and the day (13 vs 21) does not match.	Both answers provide the exact same calendar date.	gpt-5-1	1	0	1	1993-09-21	1993-09-21	The gold answer specifies 'September 13, 1993', while the prediction states '1993-09-21'. Calendar dates must match exactly, and the day (13 vs 21) is different.	Both answers provide the exact same date.	possible_gold_error_or_ambiguity		gemini_2_5_flash: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on '1993-09-21' vs gold; could be gold error/ambiguity or shared model misconception. | gpt_5_1: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on '1993-09-21' vs gold; could be gold error/ambiguity or shared model misconception.		per_model_manual
bamboogle	bamboogle_0045_38628071	What was the death toll of the most intense Atlantic hurricane?	52	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	gemini_2_5_pro,gpt_5_1	1	62	google-gemini-2-5-pro	1	0	1	62	62	The gold answer is 52 and the prediction is 62. The absolute difference is 10. The allowed tolerance is max(0.5, 1% of 52) = max(0.5, 0.52) = 0.52. Since 10 is not less than or equal to 0.52, the prediction is outside the acceptable numeric tolerance.	Answer A contains extra information (the hurricane name) but provides the same key fact (death toll of 62) as Answer B, which directly answers the question.	google-gemini-2-5-flash	0	0	0	23	26	The prediction '23' is numerically different from the gold answer '52'. The difference (29) far exceeds the allowed tolerance of max(0.5, 1% of 52 = 0.52).	The numerical values 26 and 23 are not equivalent based on the numeric expression tolerance rule (|a - b| <= max(0.5, 1% of reference)). The difference of 3 is greater than 0.5 and 1% of either number.	gpt-5-1	1	0	1	87	87	The gold answer is 52 and the prediction is 87. The difference (35) is significantly outside the allowed numeric tolerance of max(0.5, 1% of 52 = 0.52).	Both answers are identical and state the same number.	possible_gold_typo_or_alias		gemini_2_5_pro: possible_gold_typo_or_alias — Open answer '62' is very close to gold '52' (edit-distance 1); likely typo/alias/normalization issue. | gpt_5_1: possible_gold_typo_or_alias — Open answer '87' is very close to gold '52' (edit-distance 2); likely typo/alias/normalization issue.		per_model_manual
bamboogle	bamboogle_0050_43f80844	Who is the mother of the father of Barack Obama?	Habiba Akumu Nyanjango	alias_or_evaluation_strictness	Consistency judge mentions alias/equivalence (e.g., anglicization); open correctness may be overly strict about surface-form differences.	gpt_5_1	1	Sarah Onyango Obama	google-gemini-2-5-pro	0	0	0	Sarah Onyango Obama	Habiba Akumu Obama	The prediction 'Sarah Onyango Obama' is a different name from the gold answer 'Habiba Akumu Nyanjango'. These are distinct individuals, making the prediction a contradiction to the gold fact.	Answer A identifies Habiba Akumu Obama as the mother of Barack Obama Sr., which is correct. Answer B identifies Sarah Onyango Obama, who was Barack Obama Sr.'s step-grandmother, not his mother. These are contradictory facts regarding the identity of the person in question.	google-gemini-2-5-flash	0	0	0	Akumu Nyanjoga	Sarah Onyango Obama	The prediction 'Akumu Nyanjoga' is missing the first name 'Habiba' and has a spelling difference in the last name ('Nyanjoga' vs 'Nyanjango') compared to the gold answer 'Habiba Akumu Nyanjango'. This constitutes a factual difference, not just a normalization or subset.	The answers refer to two different individuals. Sarah Onyango Obama was Barack Obama Sr.'s step-mother, while Akumu Nyanjoga was Barack Obama Sr.'s biological mother.	gpt-5-1	1	0	1	Habiba Akumu Obama	Habiba Akumu Nyanjoga	The last name in the prediction ('Obama') differs from the last name in the gold answer ('Nyanjango'). This is a factual contradiction regarding the individual's name.	"Both answers refer to the same person; ""Nyanjoga"" is her maiden name and ""Obama"" is her married name."	alias_or_evaluation_strictness		gpt_5_1: alias_or_evaluation_strictness — Consistency judge notes alias/equivalence between open and assistive answers; open correctness may be overly strict about surface-form differences.		per_model_manual
bamboogle	bamboogle_0055_a38b6895	Who directed the highest grossing film?	James Cameroon	frontier_consensus_vs_gold	All three frontier models agree on 'James Cameron' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash,gpt_5_1	3	James Cameron	google-gemini-2-5-pro	0	1	1	James Cameron	James Cameron	The prediction 'James Cameron' is a common and widely accepted spelling of the director's name, while 'James Cameroon' in the gold answer appears to be a misspelling. Given the context of a proper name, this minor spelling difference is considered equivalent.	Both answers are identical.	google-gemini-2-5-flash	1	0	1	James Cameron	James Cameron	The prediction 'James Cameron' differs from the gold answer 'James Cameroon' by a spelling mistake in the last name. This is not covered by normalization rules for aliases or common variations.	Both answers are identical.	gpt-5-1	1	0	1	James Cameron	James Cameron	The gold answer 'James Cameroon' has a different spelling for the last name compared to the prediction 'James Cameron'. While 'James Cameron' is the correct spelling of the director's name, the evaluation must compare the prediction against the provided gold answer, which contains a typo. The names are not identical and do not fall under alias/abbreviation normalization.	Both answers are identical.	gold_typo	high	Gold appears to have a typo ('James Cameroon'); consensus 'James Cameron' is the obvious intended string.		cons31
bamboogle	bamboogle_0059_abedd531	In what year was the tallest fixed steel structure completed?	1988	frontier_consensus_vs_gold	All three frontier models agree on '2012' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash,gpt_5_1	3	2012	google-gemini-2-5-pro	0	0	0	2012	2000	The gold answer is '1988' and the prediction is '2012'. Calendar dates and years must match exactly according to Rule 2. The prediction contradicts the gold answer.	The years provided (2000 and 2012) are different and calendar years must match exactly.	google-gemini-2-5-flash	1	0	1	2012	2012	The prediction '2012' contradicts the gold answer '1988'. Calendar dates/years must match exactly.	Both answers state the exact same year.	gpt-5-1	1	0	1	2012	2012	The gold answer is 1988, and the prediction is 2012. Calendar dates/years must match exactly, and these values are different.	Both answers state the exact same year.	likely_outdated_or_definition	medium	All models answer 2012 vs gold 1988; likely an outdated snapshot or a definition mismatch for 'tallest fixed steel structure'.		cons31
bamboogle	bamboogle_0064_647f7ea9	In what year was the tallest lighthouse completed?	1902	likely_gold_error/outdated	All three models answer 1990; likely refers to the Jeddah Light (tallest lighthouse), completed in 1990. Gold year 1902 appears inconsistent with 'tallest'.	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	3	1990	google-gemini-2-5-pro	1	0	1	1990	1990	The gold answer is '1902' and the prediction is '1990'. Calendar dates/years must match exactly according to rule 2, and these do not match.	Both answers state the exact same year.	google-gemini-2-5-flash	1	0	1	1990	1990	The predicted year (1990) does not match the gold year (1902). Calendar dates/years must match exactly according to rule 2.	Both answers state the exact same year.	gpt-5-1	1	0	1	1990	1990	The gold answer is '1902' and the prediction is '1990'. Calendar dates/years must match exactly, and these values are different.	Both answers state the same year.	likely_gold_error/outdated	high	All three models answer 1990; likely refers to the Jeddah Light (tallest lighthouse), completed in 1990. Gold year 1902 appears inconsistent with 'tallest'.	Verify/replace gold; clarify which lighthouse or year-of-record.	intersection44
bamboogle	bamboogle_0066_6b32e7f3	The most populous national capital city was established in what year?	1045 BC	frontier_consensus_vs_gold	All three frontier models agree on '1457' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash	3	1457	google-gemini-2-5-pro	0	0	0	1457	1271	The gold answer specifies '1045 BC' while the prediction states '1457'. These are different years and do not match, violating the exact match requirement for calendar dates/years.	The years provided are different and do not fall within any acceptable numeric tolerance.	google-gemini-2-5-flash	1	0	1	1457	1457	The gold answer specifies '1045 BC' while the prediction is '1457'. Calendar dates or years must match exactly according to Rule 2, and these values are significantly different.	Both answers state the exact same year.	gpt-5-1	0	0	0	1457	1868	The gold answer specifies '1045 BC' while the prediction states '1457'. These are different years, and calendar dates/years must match exactly according to the rules.	The years provided are different and calendar dates/years must match exactly.	likely_gold_error	medium-high	Gold year '1045 BC' seems inconsistent with a modern most-populous capital framing; consensus 1457 likely corresponds to a different intended capital (e.g., Tokyo/Edo founding).		cons31
bamboogle	bamboogle_0067_c104c160	The third largest river (by discharge) in the world is in what countries?	India and Bangladesh	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	gemini_2_5_pro	1	China	google-gemini-2-5-pro	1	0	1	China	China	The gold answer specifies 'India and Bangladesh' as the countries, while the prediction states 'China'. These are different countries, leading to a contradiction.	Both answers are identical.	google-gemini-2-5-flash	0	0	0	Venezuela; Colombia	Angola; Burundi; Cameroon; Central African Republic; Democratic Republic of the Congo; Equatorial Guinea; Gabon; Republic of the Congo; Rwanda; South Sudan; Tanzania; Zambia	The prediction lists 'Venezuela; Colombia' as the countries, which directly contradicts the gold answer 'India and Bangladesh'. The countries are entirely different.	The answers list different sets of countries. Answer A lists countries in Central Africa (Congo River basin), while Answer B lists countries in South America. These are contradictory facts.	gpt-5-1	0	1	1	India; Bangladesh	China; India; Bangladesh; Nepal; Bhutan	The prediction lists the same two countries as the gold answer. The use of a semicolon as a separator is equivalent to 'and' in this context, representing a list of items.	"Answer B is a subset of Answer A, and the question does not require ""all"" countries, so this is allowed by the subset allowance rule."	needs_verification	low	gemini_2_5_pro: unclear_needs_manual_check — No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	Verify the underlying fact and entity mapping externally.	per_model_manual
bamboogle	bamboogle_0072_70ea2630	In what year did the oldest cat ever recorded with the Cat of the Year award?	1999	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	gemini_2_5_flash	1	The oldest cat ever recorded, Creme Puff, did not win a Cat of the Year award.	google-gemini-2-5-pro	0	0	0	The oldest cat ever recorded, Creme Puff, did not win a Cat of the Year award.	1999	The gold answer states the event happened in 1999, implying the oldest cat won the award. The prediction explicitly states that the oldest cat did not win a Cat of the Year award, which is a direct contradiction of the gold fact.	Answer B states that the cat did not win the award, which contradicts Answer A's claim of a specific year (1999) for winning the award.	google-gemini-2-5-flash	1	0	1	"The oldest cat ever recorded did not win a ""Cat of the Year"" award."	N/A	The gold answer provides a specific year (1999) for the event, implying it occurred. The prediction explicitly states that the event did not happen, which is a direct contradiction of the gold fact.	"Answer A ""N/A"" implies that the event did not occur, which is explicitly stated in Answer B. Both convey that there is no year because the premise of the question is false."	gpt-5-1	0	1	-1		Creme Puff never won the Cat of the Year award	Missing prediction text	Answer B is an empty string, which is considered not meaningful.	needs_verification	low	gemini_2_5_flash: unclear_needs_manual_check — No strong offline signal; could be a genuine stable model error or a dataset/gold issue.	Verify the underlying fact and entity mapping externally.	per_model_manual
