dataset	model_slug	id	time_sensitive_hint	open_assistive_exact_match	question	gold_answer	open_answer	assistive_answer	open_correctness_reasoning	consistency_equivalent	consistency_reasoning	consistency_raw	open_raw	assistive_raw
bamboogle	gpt-5-1	bamboogle_0091_3845ed5d	0	0	Who is the father of the father of the hydrogen bomb?	Max Teller	Miksa Teller	Max Teller	The prediction 'Miksa Teller' is a different name from the gold answer 'Max Teller'. While they share a surname, the given names are distinct, making the prediction incorrect.	1	"Max" is a common anglicization of the Hungarian name "Miksa", referring to the same person.	equivalent: 1\nreasoning: "Max" is a common anglicization of the Hungarian name "Miksa", referring to the same person.	answer:\nMiksa Teller	{\n  "answer_1": "Edward Teller",\n  "answer_2": "Max Teller"\n}
crag	gpt-5-1	ba92e6b9-fcd3-4ff7-899a-fe59dbb2c8db	0	1	what weight class is the ufc number one men's pound for pound fighter in?	islam makhachev, the number one men's pound for pound fighter in the ufc, fights at lightweight.	Featherweight	Featherweight	The gold answer states the fighter is in 'lightweight' class, while the prediction states 'Featherweight'. These are different and contradictory facts.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nFeatherweight	{\n  "answer_1": "Alexander Volkanovski",\n  "answer_2": "Featherweight"\n}
hotpotqa	gpt-5-1	5abffc58554299012d1db552	1	0	Which American college that has sent students to Centre for Medieval and Renaissance Studies was founded in 1874?	St. Olaf College	Colorado College	Colorado College; Macalester College	The prediction 'Colorado College' contradicts the gold answer 'St. Olaf College' as they are different institutions.	1	Answer B is a subset of Answer A, and the question does not require a specific count or "all" colleges.	equivalent: 1\nreasoning: Answer B is a subset of Answer A, and the question does not require a specific count or "all" colleges.	answer:\nColorado College	{\n  "answer_1": "Colorado College; Macalester College; Middlebury College",\n  "answer_2": "Colorado College; Macalester College"\n}
mintaka	gpt-5-1	6f62ab02	1	1	How old is the current manager of the New York Mets?	40	66	66	The prediction '66' is numerically different from the gold answer '40'. For naturally drifting values like age, the difference of 26 years (39.39% of the maximum value) is outside the allowed 1-5.5 percentage-point window for equivalence.	1	Both answers provide the exact same numerical value.	equivalent: 1\nreasoning: Both answers provide the exact same numerical value.	66	{\n  "answer_1": "Buck Showalter",\n  "answer_2": "66"\n}
bamboogle	gpt-5-1	bamboogle_0094_f6def5e8	0	1	Who was the father of the founder of modern human anatomy?	Anders van Wesel	Andries van Wesel	Andries van Wesel	The prediction 'Andries van Wesel' differs from the gold 'Anders van Wesel' in the first name. 'Anders' and 'Andries' are distinct names, and this is not a case of alias, abbreviation, or minor formatting difference.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nAndries van Wesel	{\n  "answer_1": "Andreas Vesalius",\n  "answer_2": "Andries van Wesel"\n}
crag	gpt-5-1	8d9fadb7-3466-403d-85a5-a191ec22f69a	0	1	who is the main actor for the movie that has won the most bafta awards?	butch cassidy and the sundance kid holds the record with 9 bafta awards, starring robert redford.	Paul Newman	Paul Newman	The gold answer states that Robert Redford starred in 'Butch Cassidy and the Sundance Kid', which holds the record for most BAFTA awards. The prediction names 'Paul Newman', which contradicts the specific actor mentioned in the gold answer for that role.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nPaul Newman	{\n  "answer_1": "Butch Cassidy and the Sundance Kid",\n  "answer_2": "Paul Newman"\n}
hotpotqa	gpt-5-1	5ac3e8c65542997ea680c993	0	1	Are the New Orleans Outfall Canals the same length as the Augusta Canal?	yes	No	No	The gold answer states 'yes' (they are the same length), while the prediction states 'No', which is a direct contradiction.	1	Both answers are "No", which is the same.	equivalent: 1\nreasoning: Both answers are "No", which is the same.	answer:\nNo	{\n  "answer_1": "3 mi",\n  "answer_2": "13 mi",\n  "answer_3": "No"\n}
mintaka	gpt-5-1	a04200ad	0	1	Who is the main protagonist of the second Metal Gear game?	Raiden	Solid Snake	Solid Snake	The prediction 'Solid Snake' directly contradicts the gold answer 'Raiden'. These are different characters.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nSolid Snake	{\n  "answer_1": "Metal Gear 2: Solid Snake",\n  "answer_2": "Solid Snake"\n}
bamboogle	gpt-5-1	bamboogle_0055_a38b6895	0	1	Who directed the highest grossing film?	James Cameroon	James Cameron	James Cameron	The gold answer 'James Cameroon' has a different spelling for the last name compared to the prediction 'James Cameron'. While 'James Cameron' is the correct spelling of the director's name, the evaluation must compare the prediction against the provided gold answer, which contains a typo. The names are not identical and do not fall under alias/abbreviation normalization.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nJames Cameron	{\n  "answer_1": "Avatar",\n  "answer_2": "James Cameron"\n}
crag	gpt-5-1	d6ed2e39-aa0d-4d1b-a975-f400eb859e63	0	1	when did the lead actor of die hard get married?	the lead actor of die hard, bruce willis, got married in 2009.	1987-11-21	1987-11-21	The gold answer states the marriage year as 2009, while the prediction states 1987-11-21. Calendar dates/years must match exactly, and these do not.	1	Both answers provide the exact same date.	equivalent: 1\nreasoning: Both answers provide the exact same date.	answer:\n1987-11-21	{\n  "answer_1": "Bruce Willis",\n  "answer_2": "1987-11-21"\n}
hotpotqa	gpt-5-1	5a8a698255429930ff3c0dcf	0	1	In what year was the company that co-developed and distributed the BlackBerry DTEK60 founded?	1984	1981	1981	The prediction '1981' contradicts the gold answer '1984'. Calendar years must match exactly according to the numeric expression rule.	1	Both answers state the same year.	equivalent: 1\nreasoning: Both answers state the same year.	answer:\n1981	{\n  "answer_1": "TCL Corporation",\n  "answer_2": "1981"\n}
mintaka	gpt-5-1	9d4dccb3	0	1	Where did the rapper in the song "I am different" graduate college from?	Virginia State University	Alabama State University	Alabama State University	The prediction 'Alabama State University' directly contradicts the gold answer 'Virginia State University' by naming a different university.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nAlabama State University	{\n  "answer_1": "2 Chainz",\n  "answer_2": "Alabama State University"\n}
bamboogle	gpt-5-1	bamboogle_0039_7e165501	0	1	When did Nirvana's second most selling studio album come out?	September 13, 1993	1993-09-21	1993-09-21	The gold answer specifies 'September 13, 1993', while the prediction states '1993-09-21'. Calendar dates must match exactly, and the day (13 vs 21) is different.	1	Both answers provide the exact same date.	equivalent: 1\nreasoning: Both answers provide the exact same date.	answer:\n1993-09-21	{\n  "answer_1": "In Utero",\n  "answer_2": "1993-09-21"\n}
crag	gpt-5-1	4835d4a2-4f31-423b-9f82-4c879c7798ed	1	1	who was the goalkeeper of the team that won the champions league final last year?	ederson, who plays for manchester city, was the goalkeeper of the team that won the champions league final last year.	Édouard Mendy	Édouard Mendy	The gold answer states the goalkeeper was 'Ederson', while the prediction states 'Édouard Mendy'. These are different individuals, leading to a contradiction.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nÉdouard Mendy	{\n  "answer_1": "Chelsea",\n  "answer_2": "Édouard Mendy"\n}
