id,issues,question,answer,num_hops,last_question,complexity_score,similarity,dsl
5a82171f5542990a1d231f4a,over_decomposition, What nationality was James Henry Miller's wife?,American,2,What nationality was {answer_1}?,-0.5,0.14,"answer_1: str = qa_model(""Who was James Henry Miller's wife?"") | answer_2: str = qa_model(""What nationality was {answer_1}?"", answer_1=answer_1)"
5ac2c3545542990b17b1548b,final_step_mismatch,Chang Ucchin was born in korea during a time that ended with the conclusion of what? ,World War II,2,What event concluded the {answer_1}?,0.0,0.0,"answer_1: str = qa_model(""What historical period was Chang Ucchin born in?"") | answer_2: str = qa_model(""What event concluded the {answer_1}?"", answer_1=answer_1)"
5ae3918b5542994393b9e709,over_decomposition,Were Pavel Urysohn and Leonid Levin known for the same type of work?,no,3,Is {answer_1} the same type of work as {answer_2}?,-1.0,0.23,"answer_1: str = qa_model(""What type of work is Pavel Urysohn known for?"") | answer_2: str = qa_model(""What type of work is Leonid Levin known for?"") | answer_3: str = qa_model(""Is {answer_1} the same type of work as {answer_2}?"", answer_1=answer_1, answer_2=answer_2)"
5ac3ad225542995ef918c1da,over_decomposition,Are Gin and tonic and Paloma both cocktails based on tequila?,no,3,Are {answer_1} and {answer_2} both tequila?,0.0,0.27,"answer_1: str = qa_model(""What is the base spirit of a Gin and tonic?"") | answer_2: str = qa_model(""What is the base spirit of a Paloma?"") | answer_3: str = qa_model(""Are {answer_1} and {answer_2} both tequila?"", answer_1=answer_1, answer_2=answer_2)"
5a74bdbf5542996c70cfadc7,final_step_mismatch,"Lee Jun-fan played what character in ""The Green Hornet"" television series?",Kato,2,What character did {answer_1} play in ,0.0,0.08,"answer_1: str = qa_model(""What is the stage name of Lee Jun-fan?"") | answer_2: str = qa_model(""What character did {answer_1} play in 'The Green Hornet' television series?"", answer_1=answer_1)"
5a8195f35542995ce29dcc0c,final_step_mismatch,"A Head Full of Dreams Tour is the seventh tour by Coldplay, and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?",Province of Buenos Aires,2,Who owns {answer_1}?,0.5,0.0,"answer_1: str = qa_model(""What stadium hosted the first show of the A Head Full of Dreams Tour?"") | answer_2: str = qa_model(""Who owns {answer_1}?"", answer_1=answer_1)"
5abcfc3b554299114383a1ad,final_step_mismatch,Who funds the bowling team that includes the school bus driver for Springfield Elementary School?,Mr. Burns,3,Who funds the {answer_2}?,1.5,0.08,"answer_1: str = qa_model(""Who is the school bus driver for Springfield Elementary School?"") | answer_2: str = qa_model(""What is the name of the bowling team that {answer_1} is on?"", answer_1=answer_1) | answer_3: str = qa_model(""Who funds the {answer_2}?"", answer_2=answer_2)"
5a8dfbeb5542995085b3736e,final_step_mismatch,"Who performed the lead single on the album Friends in Low Places, No Fences, that reached #1 on Billboard?",Garth Brooks,2,Who performed the song {answer_1}?,1.5,0.06,"answer_1: str = qa_model(""What was the lead single from the album 'No Fences' that reached #1 on Billboard?"") | answer_2: str = qa_model(""Who performed the song {answer_1}?"", answer_1=answer_1)"
5ab39701554299233954ff5e,final_step_mismatch,Hate to Feel is the tenth track on what Alice in Chains' album that peaked as number six on the Billboard 200?,Dirt,2,What album is the song ,2.0,0.06,"answer_1: str = qa_model(""Which Alice in Chains album peaked at number six on the Billboard 200?"") | answer_2: str = qa_model(""What album is the song 'Hate to Feel' the tenth track on, given that it is {answer_1}?"", answer_1=answer_1)"
5ab6ad2855429953192ad35e,final_step_mismatch,"The lead singer and guitarist in the Portland, Oregon rock band consisting of John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk, goes by what alias?",The Fantastic The,3,What alias does {answer_2} go by?,0.5,0.08,"answer_1: str = qa_model(""What is the name of the rock band from Portland, Oregon with members John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk?"") | answer_2: str = qa_model(""Who is the lead singer and guitarist for {answer_1}?"", answer_1=answer_1) | answer_3: str = qa_model(""What alias does {answer_2} go by?"", answer_2=answer_2)"
5a822d4655429926c1cdae45,over_decomposition|final_step_mismatch,What actor in the film D.C. Cab also had a role in the TV series Barney Miller?,Max Gail,3,Which actor from the list ,0.0,0.07,"answer_1: str = qa_model(""Who were the actors in the film D.C. Cab?"") | answer_2: str = qa_model(""Who were the actors in the TV series Barney Miller?"") | answer_3: str = qa_model(""Which actor from the list '{answer_1}' is also in the list '{answer_2}'?"", answer_1=answer_1, answer_2=answer_2)"
5a87390555429960ec39b769,over_decomposition,In which stadium do the teams owned by Myra Kraft's husband play?,Gillette Stadium,3,In which stadium do the {answer_2} play?,0.0,0.27,"answer_1: str = qa_model(""Who is Myra Kraft's husband?"") | answer_2: str = qa_model(""Which teams does {answer_1} own?"", answer_1=answer_1) | answer_3: str = qa_model(""In which stadium do the {answer_2} play?"", answer_2=answer_2)"
5a7ca54c55429935c91b527f,final_step_mismatch,"The Swedish-British entertainment studio executive and film executive producer, who was the Executive producer for a 2016 American action thriller film directed by Babak Najafi, currently serve?",CEO of Lionsgate UK & Europe,3,What position does {answer_2} currently hold?,0.5,0.04,"answer_1: str = qa_model(""What is the 2016 American action thriller film directed by Babak Najafi?"") | answer_2: str = qa_model(""Who was the executive producer for {answer_1}?"", answer_1=answer_1) | answer_3: str = qa_model(""What position does {answer_2} currently hold?"", answer_2=answer_2)"
5ae0fa8b5542997b2ef7d0c6,over_decomposition,"What is the current name of the Atlanta Mansion built for the daughter of the 41st Mayor of Atlanta, Georgia?",Lullwater Estate,3,What is the current name of {answer_2}?,0.0,0.18,"answer_1: str = qa_model(""Who was the 41st Mayor of Atlanta, Georgia?"") | answer_2: str = qa_model(""What is the name of the Atlanta Mansion built for the daughter of {answer_1}?"", answer_1=answer_1) | answer_3: str = qa_model(""What is the current name of {answer_2}?"", answer_2=answer_2)"
5a8f938a55429918e830d275,final_step_mismatch,Approximately what percentage of the global population is made up of the ethnic group Princess Fragrant was produced to improve relations with?,17%,4,What is {answer_2} as a percentage of {answer_3}?,0.5,0.06,"answer_1: str = qa_model(""Which ethnic group was the opera Princess Fragrant produced to improve relations with?"") | answer_2: str = qa_model(""What is the population of the {answer_1} ethnic group?"", answer_1=answer_1) | answer_3: str = qa_model(""What is the total global population?"") | answer_4: str = qa_model(""What is {answer_2} as a percentage of {answer_3}?"", answer_2=answer_2, answer_3=answer_3)"
5a74fbe55542996c70cfae63,over_decomposition,"Is Children's National Medical Center or MedStar Washington Hospital Center the largest private hospital in Washington, D.C.?",MedStar Washington Hospital Center,3,"Which is the largest private hospital in Washington, D.C. between Children",0.0,0.5,"answer_1: str = qa_model(""How many beds does Children's National Medical Center have?"") | answer_2: str = qa_model(""How many beds does MedStar Washington Hospital Center have?"") | answer_3: str = qa_model(""Which is the largest private hospital in Washington, D.C. between Children's National Medical Center with {answer_1} beds and MedStar Washington Hospital Center with {answer_2} beds?"", answer_1=answer_1, answer_2=answer_2)"
5ab30bbb55429976abd1bc39,final_step_mismatch,"Prince William, Duke of Gloucester and Prince George of Denmark, were eventually monarchs of which Kingdom?",Great Britain,2,Which kingdom was {answer_1} the monarch of?,0.0,0.08,"answer_1: str = qa_model(""Who was the wife of Prince George of Denmark and mother of Prince William, Duke of Gloucester?"") | answer_2: str = qa_model(""Which kingdom was {answer_1} the monarch of?"", answer_1=answer_1)"
5ab6e84a554299710c8d1fab,final_step_mismatch,"What State has a Disney Resort & Spa that is a beachside hotel, resort and vacation destination offering complimentary children's activities and programs and that Djuan Rivers was a General Manager at?",Hawaii,2,In what state is {answer_1} located?,2.0,0.04,"answer_1: str = qa_model(""At which Disney Resort & Spa was Djuan Rivers a General Manager?"") | answer_2: str = qa_model(""In what state is {answer_1} located?"", answer_1=answer_1)"
5ae4b3da55429913cc2044d6,final_step_mismatch,What state does Sang-Wook Cheong work as a materials scientist?,New Jersey,2,In what state is {answer_1} located?,0.0,0.09,"answer_1: str = qa_model(""Where does Sang-Wook Cheong work as a materials scientist?"") | answer_2: str = qa_model(""In what state is {answer_1} located?"", answer_1=answer_1)"
