dataset	id	time_sensitive_hint	question	gold_answer	open_answer__google_gemini_2_5_pro	assistive_answer__google_gemini_2_5_pro	open_correctness_reasoning__google_gemini_2_5_pro	consistency_reasoning__google_gemini_2_5_pro	consistency_raw__google_gemini_2_5_pro	open_answer__gpt_5_1	assistive_answer__gpt_5_1	open_correctness_reasoning__gpt_5_1	consistency_reasoning__gpt_5_1	consistency_raw__gpt_5_1
bamboogle	bamboogle_0064_647f7ea9	0	In what year was the tallest lighthouse completed?	1902	1990	1990	The gold answer is '1902' and the prediction is '1990'. Calendar dates/years must match exactly according to rule 2, and these do not match.	Both answers state the exact same year.	equivalent: 1\nreasoning: Both answers state the exact same year.	1990	1990	The gold answer is '1902' and the prediction is '1990'. Calendar dates/years must match exactly, and these values are different.	Both answers state the same year.	equivalent: 1\nreasoning: Both answers state the same year.
crag	0512b2a6-b900-4454-8613-512e65b1913e	1	who was the top scorer in the women's world cup last year?	miyazawa hinata	Megan Rapinoe; Alex Morgan; Ellen White	Megan Rapinoe; Alex Morgan; Ellen White	The prediction lists 'Megan Rapinoe; Alex Morgan; Ellen White' as top scorers, which does not match the gold answer 'miyazawa hinata'. The gold answer is a single name, and none of the names in the prediction are equivalent to the gold answer.	Both answers are identical, listing the same names in the same order.	equivalent: 1\nreasoning: Both answers are identical, listing the same names in the same order.	Megan Rapinoe	Megan Rapinoe	The prediction 'Megan Rapinoe' is a different person than the gold answer 'Miyazawa Hinata'. Miyazawa Hinata was the top scorer in the 2023 Women's World Cup, while Megan Rapinoe was not.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.
hotpotqa	5ab265de5542993be8fa9901	0	Jonas Hummels is the younger brother of a German professional footballer who plays for the German national team, and who else?	Bayern Munich	Borussia Dortmund	Borussia Dortmund	The gold answer states 'Bayern Munich' as the team, while the prediction states 'Borussia Dortmund'. These are two distinct football clubs, leading to a contradiction.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Borussia Dortmund	Borussia Dortmund	The gold answer states 'Bayern Munich' as the team, while the prediction states 'Borussia Dortmund'. These are two distinct football clubs, leading to a contradiction.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.
mintaka	2b7aada8	0	Who was the US president when Lehman Brothers went bankrupt?	Barack Obama	George W. Bush	George W. Bush	The prediction 'George W. Bush' directly contradicts the gold answer 'Barack Obama' regarding the US president at the time of the Lehman Brothers bankruptcy.	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	George W. Bush	George W. Bush	The prediction 'George W. Bush' contradicts the gold answer 'Barack Obama'. These are two different individuals, and the Lehman Brothers bankruptcy occurred during George W. Bush's presidency, not Barack Obama's.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.
bamboogle	bamboogle_0094_f6def5e8	0	Who was the father of the founder of modern human anatomy?	Anders van Wesel	Andries van Wesele	Andries van Wesele	The first names 'Anders' and 'Andries' are distinct, not merely a case of capitalization, punctuation, or a common alias. While 'Wesele' is a minor spelling variation of 'Wesel', the difference in the first name makes the prediction not the same essential fact as the gold.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Andries van Wesel	Andries van Wesel	The prediction 'Andries van Wesel' differs from the gold 'Anders van Wesel' in the first name. 'Anders' and 'Andries' are distinct names, and this is not a case of alias, abbreviation, or minor formatting difference.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.
crag	3e6f239d-0354-4867-99ef-9542db6a83c8	1	what team does the player who threw the most interceptions last year play for?	the player who threw the most interceptions last year, sam howell, plays for the washington commanders.	Jacksonville Jaguars; Los Angeles Rams	Jacksonville Jaguars; Los Angeles Rams	The gold answer states the player plays for the 'Washington Commanders', while the prediction lists 'Jacksonville Jaguars' and 'Los Angeles Rams'. These teams do not match the gold answer.	Both answers are identical lists of teams.	equivalent: 1\nreasoning: Both answers are identical lists of teams.	Jacksonville Jaguars	Jacksonville Jaguars	The gold answer states the player plays for the 'Washington Commanders', while the prediction states 'Jacksonville Jaguars'. These are different teams, leading to a contradiction.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.
hotpotqa	5ab345db55429969a97a8122	0	Which state does the drug stores, of which the CEO is Warren Bryant, are located?	Hawaii	California	California	The prediction 'California' directly contradicts the gold answer 'Hawaii' regarding the state where the drug stores are located.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	California	California	The prediction 'California' directly contradicts the gold answer 'Hawaii' regarding the state where the drug stores are located.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.
mintaka	9d4dccb3	0	Where did the rapper in the song "I am different" graduate college from?	Virginia State University	Alabama State University	Alabama State University	The prediction names 'Alabama State University' which directly contradicts the gold answer 'Virginia State University'. These are distinct entities.	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	Alabama State University	Alabama State University	The prediction 'Alabama State University' directly contradicts the gold answer 'Virginia State University' by naming a different university.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.
bamboogle	bamboogle_0045_38628071	0	What was the death toll of the most intense Atlantic hurricane?	52	62	62	The gold answer is 52 and the prediction is 62. The absolute difference is 10. The allowed tolerance is max(0.5, 1% of 52) = max(0.5, 0.52) = 0.52. Since 10 is not less than or equal to 0.52, the prediction is outside the acceptable numeric tolerance.	Answer A contains extra information (the hurricane name) but provides the same key fact (death toll of 62) as Answer B, which directly answers the question.	equivalent: 1\nreasoning: Answer A contains extra information (the hurricane name) but provides the same key fact (death toll of 62) as Answer B, which directly answers the question.	87	87	The gold answer is 52 and the prediction is 87. The difference (35) is significantly outside the allowed numeric tolerance of max(0.5, 1% of 52 = 0.52).	Both answers are identical and state the same number.	equivalent: 1\nreasoning: Both answers are identical and state the same number.
crag	a019b11a-6b26-4f70-9d3f-20c46005bec6	1	what were the box office numbers for martin scorsese's most recent movie?	killers of the flower moon has grossed $67.8 million in the united states and canada, and $89 million in other territories, for a worldwide total of $156.8 million.	$9.8 million	$9.6 million	The prediction of '$9.8 million' is numerically significantly different from all the box office numbers provided in the gold answer ($67.8 million, $89 million, $156.8 million). The difference exceeds the allowed 5.5% tolerance for numeric expressions.	Numeric values are within the allowed tolerance (0.2 million difference, which is less than max(0.5, 1% of 9.8 million = 0.098 million), and also within the 1-5.5 percentage-point window for values that naturally drift over time).	equivalent: 1\nreasoning: Numeric values are within the allowed tolerance (0.2 million difference, which is less than max(0.5, 1% of 9.8 million = 0.098 million), and also within the 1-5.5 percentage-point window for values that naturally drift over time).	7969751	Approximately $8 million worldwide	The prediction '7969751' (approximately $7.97 million) does not match any of the box office numbers provided in the gold answer ($67.8 million, $89 million, $156.8 million), even with numeric tolerance. The prediction is significantly different and lacks context (e.g., worldwide, domestic).	Numeric values are within the 1% tolerance, and Answer A uses "Approximately".	equivalent: 1\nreasoning: Numeric values are within the 1% tolerance, and Answer A uses "Approximately".
hotpotqa	5ae753b75542997b22f6a6db	0	Jayantabhai Ki Luv Story includes a lead role for the film actress and model who is a native of what city?	Bihar	Bhagalpur	Bhagalpur	The question asks for a 'city'. The gold answer 'Bihar' is a state, not a city. The prediction 'Bhagalpur' is a city. While Bhagalpur is located within Bihar, the prediction and gold refer to different geographical entities (a city vs. a state), and thus do not communicate the same essential fact, especially given the specific request for a 'city' in the question.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Bhagalpur	Bhagalpur	The question asks for a 'city'. The gold answer provides a state ('Bihar'), while the prediction provides a city ('Bhagalpur'). Although Bhagalpur is located within Bihar, the gold and prediction refer to different types of geographical entities (state vs. city) and are therefore not the same essential fact.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.
mintaka	13cd720a	0	What is the capital of the largest country in Europe?	Paris	Moscow	Moscow	The gold answer states the capital is 'Paris', while the prediction states it is 'Moscow'. These are two different cities, leading to a direct contradiction.	The two answers are identical.	equivalent: 1\nreasoning: The two answers are identical.	Moscow	Moscow	The prediction 'Moscow' directly contradicts the gold answer 'Paris'. The largest country in Europe by area is Russia, whose capital is Moscow. However, the largest country *entirely within* Europe is Ukraine, and the largest country *by population* entirely within Europe is Germany. The question is ambiguous, but the gold answer 'Paris' implies the question is referring to France as the 'largest country in Europe' in some context (e.g., historically or culturally, or perhaps by GDP within the EU). Regardless of the interpretation of 'largest country in Europe', 'Moscow' and 'Paris' are distinct and contradictory answers.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.
crag	7d6ebd01-2364-461c-8086-68c83ff90966	1	how long has the current president of the us been in power?	the current president of the us, joe biden, has been in power since 2020.	1 year, 8 months, 14 days	1 year, 257 days	API error: Expecting value: line 1 column 1 (char 0)	Both answers represent the same duration (1 year, 257 days is equivalent to 1 year, 8 months, 14 days when calculated from a specific start date like January 20, 2021, to October 4, 2022).	equivalent: 1\nreasoning: Both answers represent the same duration (1 year, 257 days is equivalent to 1 year, 8 months, 14 days when calculated from a specific start date like January 20, 2021, to October 4, 2022).	1 year 8 months 14 days	1 year 257 days	The gold answer states that the president has been in power 'since 2020'. The prediction gives a duration of '1 year 8 months 14 days'. This duration, if calculated from the actual inauguration date of Joe Biden (January 20, 2021), would correspond to a date around October 4, 2022. This implies a start year of 2021, which contradicts the start year of 2020 stated in the gold answer. Therefore, the prediction contradicts the gold on the specific detail of the start year.	The "1 year" component is identical. Converting "8 months 14 days" to days using an average month length (365.25/12 = 30.4375 days/month) yields 8 * 30.4375 + 14 = 243.5 + 14 = 257.5 days. Comparing this to "257 days" from Answer A, the difference is 0.5 days. This difference falls within the allowed numeric tolerance of max(0.5, 1% of 257) = max(0.5, 2.57) = 2.57 days.	equivalent: 1\nreasoning: The "1 year" component is identical. Converting "8 months 14 days" to days using an average month length (365.25/12 = 30.4375 days/month) yields 8 * 30.4375 + 14 = 243.5 + 14 = 257.5 days. Comparing this to "257 days" from Answer A, the difference is 0.5 days. This difference falls within the allowed numeric tolerance of max(0.5, 1% of 257) = max(0.5, 2.57) = 2.57 days.
hotpotqa	5ac3e8c65542997ea680c993	0	Are the New Orleans Outfall Canals the same length as the Augusta Canal?	yes	No	No	The gold answer states 'yes' (they are the same length), while the prediction states 'No', which is a direct contradiction.	Both answers are "No", indicating agreement.	equivalent: 1\nreasoning: Both answers are "No", indicating agreement.	No	No	The gold answer states 'yes' (they are the same length), while the prediction states 'No', which is a direct contradiction.	Both answers are "No", which is the same.	equivalent: 1\nreasoning: Both answers are "No", which is the same.
mintaka	aad2514e	1	How many children does the current manager of the Los Angeles Lakers have?	2	3	3	The gold answer is '2' and the prediction is '3'. The absolute difference is 1, which exceeds the allowed numerical tolerance of max(0.5, 1% of 2) = 0.5. Therefore, the prediction contradicts the gold fact.	Both answers state the same number.	equivalent: 1\nreasoning: Both answers state the same number.	1	1	The gold answer is '2' and the prediction is '1'. These numerical values are different and fall outside the allowed tolerance for numeric expressions (|a - b| <= max(0.5, 1% of reference)).	Both answers state the same numerical value.	equivalent: 1\nreasoning: Both answers state the same numerical value.
crag	5a55dd6b-371b-4daa-a2a2-7df503885d21	1	how far did last year's west coast conference champion go in the postseason?	gonzaga, last year's west coast conference champion, made it to the elite 8 in the ncaa tournament.	Sweet Sixteen	Sweet Sixteen	The gold answer states the team made it to the 'Elite 8', while the prediction states 'Sweet Sixteen'. These are different stages in a tournament, making the prediction a contradiction of the gold fact.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Sweet Sixteen	They reached the Sweet Sixteen in the NCAA Tournament	The gold answer states the team made it to the 'Elite 8', while the prediction states 'Sweet Sixteen'. These are different stages in a tournament, making the prediction factually incorrect.	Answer A provides extra descriptive text ("in the NCAA Tournament") that does not contradict or change the core fact ("Sweet Sixteen") present in Answer B.	equivalent: 1\nreasoning: Answer A provides extra descriptive text ("in the NCAA Tournament") that does not contradict or change the core fact ("Sweet Sixteen") present in Answer B.
hotpotqa	5adc74cd5542994650320d0c	0	The small town where part of  Ewe people came from is a capital of where 	Adaklu-Anyigbe	Haho Prefecture	Haho Prefecture	The prediction 'Haho Prefecture' is a different place name than the gold answer 'Adaklu-Anyigbe'. They do not refer to the same location, indicating a contradiction.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Haho Prefecture	Haho Prefecture	The prediction 'Haho Prefecture' is a different place name than the gold answer 'Adaklu-Anyigbe'. They do not refer to the same entity, indicating a factual contradiction.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.
mintaka	863655c5	0	What is the population of the country where the "Spanish Steps" are located?	4.2 million	59,037,474	58983122	The gold answer is 4.2 million (4,200,000) and the prediction is 59,037,474. These values are significantly different and fall outside the allowed numeric tolerance for naturally drifting values (1-5.5 percentage-point window). The absolute difference is 54,837,474, which is much larger than 1% of the gold value (42,000).	Numeric values for population are within the 5.5 percentage-point tolerance for values that drift over time. (0.09% difference)	equivalent: 1\nreasoning: Numeric values for population are within the 5.5 percentage-point tolerance for values that drift over time. (0.09% difference)	60000000	approximately 59,000,000	The gold answer is 4.2 million (4,200,000) and the prediction is 60,000,000. These values are significantly different and fall outside the allowed numeric tolerance for population figures (1-5.5 percentage-point window). The difference is approximately 93% relative to the larger value, or 1330% relative to the smaller value.	Numeric values are within the 1-5.5 percentage-point tolerance for values that naturally drift over time (population).	equivalent: 1\nreasoning: Numeric values are within the 1-5.5 percentage-point tolerance for values that naturally drift over time (population).
crag	470ed1c7-8a71-4c0c-9be8-bb1fe82ce59f	0	what is the elevation of the capital of ohio?	238 m	902 ft	902 ft	The gold answer is 238 m. Converting this to feet: 238 m * 3.28084 ft/m = 780.84 ft. The prediction is 902 ft. The difference between 902 ft and 780.84 ft is 121.16 ft. The allowed tolerance is max(0.5, 1% of 780.84) = 7.81 ft. Since 121.16 ft is greater than 7.81 ft, the prediction is outside the acceptable numeric tolerance.	Answer A provides extra detail (the name of the capital) which is consistent with the question and does not contradict the core fact (the elevation). Both answers state the elevation as 902 ft.	equivalent: 1\nreasoning: Answer A provides extra detail (the name of the capital) which is consistent with the question and does not contradict the core fact (the elevation). Both answers state the elevation as 902 ft.	902 ft	275 m	The gold answer is 238 m. Converting this to feet: 238 m * 3.28084 ft/m = 780.84 ft. The prediction is 902 ft. The difference (902 - 780.84 = 121.16 ft) exceeds the allowed 1% tolerance (0.01 * 780.84 = 7.81 ft).	Unit conversion (275 m is approximately 902 ft); values are equivalent.	equivalent: 1\nreasoning: Unit conversion (275 m is approximately 902 ft); values are equivalent.
hotpotqa	5a874fd15542996432c57260	0	What was the film debut of the actress who starred in Pandemonium?	"Divorce American Style"	Carnal Knowledge	Carnal Knowledge	The prediction 'Carnal Knowledge' contradicts the gold answer 'Divorce American Style' regarding the film debut.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Carnal Knowledge	Carnal Knowledge	The gold answer states the film debut was 'Divorce American Style', while the prediction states 'Carnal Knowledge'. These are two different films, leading to a contradiction.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.
