dataset	id	time_sensitive_hint	question	gold_answer	consensus_answer	open_answer_gemini_pro	open_answer_gemini_flash	open_answer_gpt_5_1
bamboogle	bamboogle_0064_647f7ea9	0	In what year was the tallest lighthouse completed?	1902	1990	1990	1990	1990
crag	2a233422-8f6c-4f97-8509-ccc71afb3794	0	how old was leonardo dicaprio when he won best actor award?	leonardo was 42 years old in 2016 when he won best actor.	41	41	41	41
hotpotqa	5a7272eb5542997f827839d7	0	How old is the female main protagonist of Catching Fire?	16-year-old	17	17	17	17
mintaka	4b066327	0	How old was John Lennon when The Beatles formed?	16	19	19	19	19
crag	27f2284d-0d87-46c6-a0a1-e46135a3fc67	0	when did the most expensive action movie come out?	the most expensive action movie ever produced, star wars: the force awakens, came out in 2015.	2011-05-20	2011-05-20	2011-05-20	2011-05-20
mintaka	e79774c0	0	When was the director of Child's Play born?	25-Jan-63	1943-07-11	1943-07-11	1943-07-11	1943-07-11
hotpotqa	5adeb01355429939a52fe958	0	Elisabeth of Bavaria's husband was born on what date?	25 April 1228	1830-08-18	1830-08-18	1830-08-18	1830-08-18
mintaka	88c5cc4f	1	How old is the current manager of Barcelona FC?	58	42	42	42	42
mintaka	6f62ab02	1	How old is the current manager of the New York Mets?	40	66	66	66	66
crag	fde0f884-56cb-47c6-a15a-056eb02cfa4b	0	when did drake release their most popular album?	drake's most popular album, take care, released in 2011.	2016-04-29	2016-04-29	2016-04-29	2016-04-29
mintaka	7e554842	0	How long did the longest serving mayor serve in New York?	11 years (1934–1945)	12 years	12 years	12 years	12 years
