dataset	model	approach	total_comparison	consistent	inconsistent	consistency_rate
bamboogle	gemini-2.5-flash	assistive	123	96	27	78.05
bamboogle	gemini-2.5-flash	sequential	123	103	20	83.74
bamboogle	gemini-2.5-flash	model_generated_plan	123	98	25	79.67
bamboogle	gemini-2.5-pro	assistive	123	112	11	91.06
bamboogle	gemini-2.5-pro	sequential	123	110	13	89.43
bamboogle	gemini-2.5-pro	model_generated_plan	123	106	17	86.18
bamboogle	gpt-5.1	assistive	123	109	14	88.62
bamboogle	gpt-5.1	sequential	123	110	13	89.43
bamboogle	gpt-5.1	model_generated_plan	123	103	20	83.74
bamboogle	llama-3.1-8B-Instruct	assistive	123	24	99	19.51
bamboogle	llama-3.1-8B-Instruct	sequential	123	32	91	26.02
bamboogle	llama-3.1-8B-Instruct	model_generated_plan	123	22	101	17.89
bamboogle	llama-3.3-70B-Instruct	assistive	123	59	64	47.97
bamboogle	llama-3.3-70B-Instruct	sequential	123	62	61	50.41
bamboogle	llama-3.3-70B-Instruct	model_generated_plan	123	49	74	39.84
bamboogle	mistral-7B-Instruct-v0.3	assistive	123	28	95	22.76
bamboogle	mistral-7B-Instruct-v0.3	sequential	123	25	98	20.33
bamboogle	mistral-7B-Instruct-v0.3	model_generated_plan	123	22	101	17.89
bamboogle	qwen-2.5-72B-Instruct	assistive	123	50	73	40.65
bamboogle	qwen-2.5-72B-Instruct	sequential	123	49	74	39.84
bamboogle	qwen-2.5-72B-Instruct	model_generated_plan	123	46	77	37.4
bamboogle	qwen-3-32B	assistive	123	29	94	23.58
bamboogle	qwen-3-32B	sequential	123	28	95	22.76
bamboogle	qwen-3-32B	model_generated_plan	123	20	103	16.26
bamboogle	qwen-3-8B	assistive	123	22	101	17.89
bamboogle	qwen-3-8B	sequential	123	18	105	14.63
bamboogle	qwen-3-8B	model_generated_plan	123	24	99	19.51
crag	gemini-2.5-flash	assistive	162	119	43	73.46
crag	gemini-2.5-flash	sequential	162	118	44	72.84
crag	gemini-2.5-flash	model_generated_plan	162	115	47	70.99
crag	gemini-2.5-pro	assistive	163	136	27	83.44
crag	gemini-2.5-pro	sequential	163	136	27	83.44
crag	gemini-2.5-pro	model_generated_plan	163	130	33	79.75
crag	gpt-5.1	assistive	163	133	30	81.6
crag	gpt-5.1	sequential	163	135	28	82.82
crag	gpt-5.1	model_generated_plan	163	118	45	72.39
crag	llama-3.1-8B-Instruct	assistive	162	48	114	29.63
crag	llama-3.1-8B-Instruct	sequential	162	45	117	27.78
crag	llama-3.1-8B-Instruct	model_generated_plan	162	39	123	24.07
crag	llama-3.3-70B-Instruct	assistive	162	84	78	51.85
crag	llama-3.3-70B-Instruct	sequential	162	91	71	56.17
crag	llama-3.3-70B-Instruct	model_generated_plan	162	76	86	46.91
crag	mistral-7B-Instruct-v0.3	assistive	162	40	122	24.69
crag	mistral-7B-Instruct-v0.3	sequential	162	35	127	21.6
crag	mistral-7B-Instruct-v0.3	model_generated_plan	162	31	131	19.14
crag	qwen-2.5-72B-Instruct	assistive	162	60	102	37.04
crag	qwen-2.5-72B-Instruct	sequential	162	60	102	37.04
crag	qwen-2.5-72B-Instruct	model_generated_plan	162	60	102	37.04
crag	qwen-3-32B	assistive	162	46	116	28.4
crag	qwen-3-32B	sequential	162	46	116	28.4
crag	qwen-3-32B	model_generated_plan	162	43	119	26.54
crag	qwen-3-8B	assistive	162	32	130	19.75
crag	qwen-3-8B	sequential	162	31	131	19.14
crag	qwen-3-8B	model_generated_plan	162	28	134	17.28
hotpotqa	gemini-2.5-flash	assistive	274	180	94	65.69
hotpotqa	gemini-2.5-flash	sequential	274	158	116	57.66
hotpotqa	gemini-2.5-flash	model_generated_plan	274	154	120	56.2
hotpotqa	gemini-2.5-pro	assistive	274	206	68	75.18
hotpotqa	gemini-2.5-pro	sequential	274	193	81	70.44
hotpotqa	gemini-2.5-pro	model_generated_plan	274	175	99	63.87
hotpotqa	gpt-5.1	assistive	274	215	59	78.47
hotpotqa	gpt-5.1	sequential	274	209	65	76.28
hotpotqa	gpt-5.1	model_generated_plan	274	203	71	74.09
hotpotqa	llama-3.1-8B-Instruct	assistive	274	75	199	27.37
hotpotqa	llama-3.1-8B-Instruct	sequential	274	72	202	26.28
hotpotqa	llama-3.1-8B-Instruct	model_generated_plan	274	47	227	17.15
hotpotqa	llama-3.3-70B-Instruct	assistive	274	111	163	40.51
hotpotqa	llama-3.3-70B-Instruct	sequential	274	108	166	39.42
hotpotqa	llama-3.3-70B-Instruct	model_generated_plan	274	81	193	29.56
hotpotqa	mistral-7B-Instruct-v0.3	assistive	274	72	202	26.28
hotpotqa	mistral-7B-Instruct-v0.3	sequential	274	57	217	20.8
hotpotqa	mistral-7B-Instruct-v0.3	model_generated_plan	274	49	225	17.88
hotpotqa	qwen-2.5-72B-Instruct	assistive	274	99	175	36.13
hotpotqa	qwen-2.5-72B-Instruct	sequential	274	95	179	34.67
hotpotqa	qwen-2.5-72B-Instruct	model_generated_plan	274	62	212	22.63
hotpotqa	qwen-3-32B	assistive	274	88	186	32.12
hotpotqa	qwen-3-32B	sequential	274	90	184	32.85
hotpotqa	qwen-3-32B	model_generated_plan	274	74	200	27.01
hotpotqa	qwen-3-8B	assistive	274	69	205	25.18
hotpotqa	qwen-3-8B	sequential	274	54	220	19.71
hotpotqa	qwen-3-8B	model_generated_plan	274	59	215	21.53
mintaka	gemini-2.5-flash	assistive	298	261	37	87.58
mintaka	gemini-2.5-flash	sequential	298	265	33	88.93
mintaka	gemini-2.5-flash	model_generated_plan	298	256	42	85.91
mintaka	gemini-2.5-pro	assistive	298	278	20	93.29
mintaka	gemini-2.5-pro	sequential	298	277	21	92.95
mintaka	gemini-2.5-pro	model_generated_plan	298	240	58	80.54
mintaka	gpt-5.1	assistive	298	279	19	93.62
mintaka	gpt-5.1	sequential	298	275	23	92.28
