dataset	id	question	gold_answer	assistant_label	assistant_notes	stable_wrong_models	frontier_open_consensus_count	frontier_open_consensus_answer	model_dir__gemini_2_5_pro	stable_wrong__gemini_2_5_pro	open_correct__gemini_2_5_pro	consistency_equivalent__gemini_2_5_pro	open_answer__gemini_2_5_pro	assistive_answer__gemini_2_5_pro	open_correctness_reasoning__gemini_2_5_pro	consistency_reasoning__gemini_2_5_pro	model_dir__gemini_2_5_flash	stable_wrong__gemini_2_5_flash	open_correct__gemini_2_5_flash	consistency_equivalent__gemini_2_5_flash	open_answer__gemini_2_5_flash	assistive_answer__gemini_2_5_flash	open_correctness_reasoning__gemini_2_5_flash	consistency_reasoning__gemini_2_5_flash	model_dir__gpt_5_1	stable_wrong__gpt_5_1	open_correct__gpt_5_1	consistency_equivalent__gpt_5_1	open_answer__gpt_5_1	assistive_answer__gpt_5_1	open_correctness_reasoning__gpt_5_1	consistency_reasoning__gpt_5_1
bamboogle	bamboogle_0039_7e165501	When did Nirvana's second most selling studio album come out?	September 13, 1993	partial_frontier_consensus	Two frontier models agree on '1993-09-21' (normalized) while one differs; could be ambiguity or a model-specific stable misconception.	gemini_2_5_flash,gpt_5_1	2	1993-09-21	google-gemini-2-5-pro	0	1	1	1993-09-13	1993-09-13	The gold and prediction provide the same date, just in different formats. Date equivalence is met.	Both answers provide the exact same date.	google-gemini-2-5-flash	1	0	1	1993-09-21	1993-09-21	The gold answer specifies 'September 13, 1993' while the prediction states '1993-09-21'. Calendar dates must match exactly, and the day (13 vs 21) does not match.	Both answers provide the exact same calendar date.	gpt-5-1	1	0	1	1993-09-21	1993-09-21	The gold answer specifies 'September 13, 1993', while the prediction states '1993-09-21'. Calendar dates must match exactly, and the day (13 vs 21) is different.	Both answers provide the exact same date.
bamboogle	bamboogle_0086_998cb1bd	Who was the father of the father of empiricism?	Sir Nicholas Bacon	partial_frontier_consensus	Two frontier models agree on 'John Locke' (normalized) while one differs; could be ambiguity or a model-specific stable misconception.	gemini_2_5_pro	2	John Locke	google-gemini-2-5-pro	1	0	1	John Locke	John Locke	The gold answer identifies Sir Nicholas Bacon as the father of Francis Bacon (the 'father of empiricism'). The prediction, John Locke, is a different individual and is incorrect in this context. John Locke is also a prominent empiricist, but not the father of Francis Bacon, nor is his father named John Locke.	Both answers are identical.	google-gemini-2-5-flash	0	0	0	John Locke	John Locke Sr.	The gold answer identifies Sir Nicholas Bacon as the father of Francis Bacon (the 'father of empiricism'). The prediction, John Locke, is a different individual and is incorrect in this context, as John Locke was not the father of Francis Bacon, nor is he typically referred to as 'the father of empiricism' in the same foundational sense as Bacon, and his own father was also named John Locke.	"Answer A correctly identifies the father as ""John Locke Sr."", while Answer B names ""John Locke"", which refers to the ""father of empiricism"" himself, not his father."	gpt-5-1	0	1	1	Nicholas Bacon	Nicholas Bacon	The prediction provides the essential name 'Nicholas Bacon', which is the core fact. The 'Sir' in the gold answer is an honorific and its omission does not change the identity of the person, aligning with the principle of ignoring extra descriptive text that doesn't alter the core fact.	Both answers are identical.
bamboogle	bamboogle_0094_f6def5e8	Who was the father of the founder of modern human anatomy?	Anders van Wesel	partial_frontier_consensus	Two frontier models agree on 'Andries van Wesel' (normalized) while one differs; could be ambiguity or a model-specific stable misconception.	gemini_2_5_pro,gpt_5_1	2	Andries van Wesel	google-gemini-2-5-pro	1	0	1	Andries van Wesele	Andries van Wesele	The first names 'Anders' and 'Andries' are distinct, not merely a case of capitalization, punctuation, or a common alias. While 'Wesele' is a minor spelling variation of 'Wesel', the difference in the first name makes the prediction not the same essential fact as the gold.	Both answers are identical.	google-gemini-2-5-flash	0	0	0	Andries van Wesel	Andries van Wesele	The prediction 'Andries van Wesel' provides a different first name than the gold answer 'Anders van Wesel'. These are distinct names and not considered equivalent under normalization rules.	"The names ""Wesele"" and ""Wesel"" are different spellings and are not considered equivalent under normalization rules for proper nouns."	gpt-5-1	1	0	1	Andries van Wesel	Andries van Wesel	The prediction 'Andries van Wesel' differs from the gold 'Anders van Wesel' in the first name. 'Anders' and 'Andries' are distinct names, and this is not a case of alias, abbreviation, or minor formatting difference.	Both answers are identical.
crag	1ddf2c5d-74f3-408f-9f19-facd709a494c	when was the oldest company in the dow jones added to the index?	the oldest company in the dow jones, procter & gamble, was added on may 6, 1932.	partial_frontier_consensus	Two frontier models agree on '1991-05-06' (normalized) while one differs; could be ambiguity or a model-specific stable misconception.	gemini_2_5_flash	2	1991-05-06	google-gemini-2-5-pro	0	0	0	1991-05-06	1932-05-26	The gold answer states the company was added on May 6, 1932, while the prediction states 1991-05-06. The year differs significantly (1932 vs 1991), which is a direct contradiction.	Calendar dates must match exactly, and 1932-05-26 is not equivalent to 1991-05-06.	google-gemini-2-5-flash	1	0	1	1932-05-26	1932-05-26	The gold answer specifies 'May 6, 1932' while the prediction states '1932-05-26'. Calendar dates must match exactly, and the day (6 vs 26) is different.	Both answers provide the exact same calendar date.	gpt-5-1	0	0	0	1991-05-06	1932-05-26	The gold answer states the company was added on May 6, 1932, while the prediction states 1991-05-06. The year differs significantly (1932 vs 1991), which is a direct contradiction.	Calendar dates must match exactly, and 1932-05-26 is not equivalent to 1991-05-06.
crag	27f2284d-0d87-46c6-a0a1-e46135a3fc67	when did the most expensive action movie come out?	the most expensive action movie ever produced, star wars: the force awakens, came out in 2015.	ambiguous_definition	'Most expensive action movie' varies by list (budget accounting, genre). Models converge on a May 2011 release date (likely a specific blockbuster), while gold names a different film/year.	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	3	2011-05-20	google-gemini-2-5-pro	1	0	1	2011-05-20	2011-05-20	The gold answer states the movie came out in 2015, while the prediction gives 2011-05-20. The years do not match, and calendar dates/years must match exactly.	Both answers provide the exact same calendar date.	google-gemini-2-5-flash	1	0	1	2011-05-20	2011-05-20	The gold answer states the movie came out in 2015, while the prediction gives 2011-05-20. The years do not match, and calendar dates/years must match exactly.	Both answers provide the exact same calendar date.	gpt-5-1	1	0	1	2011-05-20	2011-05-20	The gold answer states the movie came out in 2015, while the prediction states 2011. Calendar dates and years must match exactly according to rule 2.	Calendar dates match exactly.
crag	2a233422-8f6c-4f97-8509-ccc71afb3794	how old was leonardo dicaprio when he won best actor award?	leonardo was 42 years old in 2016 when he won best actor.	numeric_boundary/age_definition	DiCaprio won Best Actor at the Feb 2016 ceremony; he was 41 then (turns 42 later in 2016). Gold hard-codes '42 in 2016', which is plausible only under a different age convention.	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	3	41	google-gemini-2-5-pro	1	0	1	41	41	The gold answer states Leonardo DiCaprio was 42 years old, while the prediction states 41. The difference of 1 is outside the allowed numeric tolerance of max(0.5, 1% of 42 = 0.42), which is 0.5.	Answer A contains the key fact (age 41) requested by the question, along with extra detail (date of award) which does not contradict the age. Answer B provides only the key fact.	google-gemini-2-5-flash	1	0	1	41	41	The gold answer states Leonardo DiCaprio was 42 years old, while the prediction states 41. The difference of 1 is outside the allowed numeric tolerance of max(0.5, 1% of 42) = 0.5.	Both answers state the same numerical value.	gpt-5-1	1	0	1	41	41	The gold answer states Leonardo DiCaprio was 42 years old, while the prediction states 41. The difference of 1 is outside the allowed numeric tolerance of max(0.5, 1% of 42 = 0.42) = 0.5.	Both answers state the same age.
crag	41dea43b-d187-4844-b33a-a46e3879dd96	how many locations were filmed in the bourne movie released in 2004?	the bourne supremacy was shot in 4 locations moscow, russia; berlin, germany; goa, india; and new york city, new york, usa.	partial_frontier_consensus	Two frontier models agree on '5' (normalized) while one differs; could be ambiguity or a model-specific stable misconception.	gemini_2_5_pro	2	5	google-gemini-2-5-pro	1	0	1	5	5	The gold answer explicitly states '4 locations', while the prediction states '5', which is a direct contradiction of the numerical fact.	Both answers state the same numerical value.	google-gemini-2-5-flash	0	0	0	5	10	The gold answer explicitly states '4 locations', while the prediction states '5', which is a direct contradiction of the numerical fact.	The numerical values 10 and 5 are distinct and do not fall within the allowed numeric tolerance.	gpt-5-1	0	0	0	7	23	The gold answer states there were 4 locations, while the prediction states 7. These numbers are not within the allowed numeric tolerance.	The numerical values are different and outside the allowed tolerance.
crag	470ed1c7-8a71-4c0c-9be8-bb1fe82ce59f	what is the elevation of the capital of ohio?	238 m	partial_frontier_consensus	Two frontier models agree on '902 ft' (normalized) while one differs; could be ambiguity or a model-specific stable misconception.	gemini_2_5_pro,gpt_5_1	2	902 ft	google-gemini-2-5-pro	1	0	1	902 ft	902 ft	The gold answer is 238 m. Converting this to feet: 238 m * 3.28084 ft/m = 780.84 ft. The prediction is 902 ft. The difference between 902 ft and 780.84 ft is 121.16 ft. The allowed tolerance is max(0.5, 1% of 780.84) = 7.81 ft. Since 121.16 ft is greater than 7.81 ft, the prediction is outside the acceptable numeric tolerance.	Answer A provides extra detail (the name of the capital) which is consistent with the question and does not contradict the core fact (the elevation). Both answers state the elevation as 902 ft.	google-gemini-2-5-flash	0	0	0	234 m	275 m	The gold answer is 238 m and the prediction is 234 m. The absolute difference is 4 m. The allowed tolerance is max(0.5, 1% of 238) = max(0.5, 2.38) = 2.38. Since 4 > 2.38, the prediction is outside the acceptable numeric tolerance.	The numerical values (275 m vs 234 m) are significantly different and do not fall within the allowed numeric tolerance.	gpt-5-1	1	0	1	902 ft	275 m	The gold answer is 238 m. Converting this to feet: 238 m * 3.28084 ft/m = 780.84 ft. The prediction is 902 ft. The difference (902 - 780.84 = 121.16 ft) exceeds the allowed 1% tolerance (0.01 * 780.84 = 7.81 ft).	Unit conversion (275 m is approximately 902 ft); values are equivalent.
crag	4ebbb760-c5ae-4307-9764-567a357f4cc1	who is the first actress to play the bond girl?	vesper lynd in 1953	ambiguous_definition(bond_girl)	Gold cites a character/year (Vesper Lynd, 1953 novel) rather than an actress. Models answer Ursula Andress (first on-screen Bond girl), implying a mismatch in what 'first' means.	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	3	Ursula Andress	google-gemini-2-5-pro	1	0	1	Ursula Andress	Ursula Andress	The gold answer identifies 'Vesper Lynd' as the first actress, while the prediction identifies 'Ursula Andress'. These are different individuals, leading to a contradiction regarding the identity of the actress.	Both answers are identical.	google-gemini-2-5-flash	1	0	1	Ursula Andress	Ursula Andress	The gold answer identifies a character (Vesper Lynd) and a year (1953), not an actress. The question asks for an 'actress'. The prediction identifies an actress (Ursula Andress). Since the gold answer does not provide an actress, the prediction does not communicate the same essential fact as the gold.	Both answers are identical.	gpt-5-1	1	0	1	Ursula Andress	Ursula Andress	The gold answer identifies 'Vesper Lynd' as the first actress, while the prediction identifies 'Ursula Andress'. These are different individuals (Vesper Lynd is a character, not an actress), leading to a direct contradiction on the identity of the actress.	Both answers are identical.
crag	7218f2f9-fc44-4ead-bf4d-00acc20aa5d6	what is the revenue of frito-lay's parent company?	$91.47 billion	partial_frontier_consensus	Two frontier models agree on '$79.47 billion' (normalized) while one differs; could be ambiguity or a model-specific stable misconception.	gemini_2_5_pro,gpt_5_1	2	$79.47 billion	google-gemini-2-5-pro	1	0	1	$79.47 billion	$79.47 billion	The gold revenue is $91.47 billion and the prediction is $79.47 billion. The absolute difference is $12 billion, which is approximately 13.12% of the gold value. This falls outside the allowed 1-5.5 percentage-point window for naturally drifting values like revenue, making the prediction incorrect.	Both answers are identical.	google-gemini-2-5-flash	0	0	0	$79.47 billion	86.39 billion USD	The gold revenue is $91.47 billion and the prediction is $79.47 billion. The absolute difference is $12 billion, which is approximately 13.12% of the gold value. This falls outside the allowed 1-5.5 percentage-point window for naturally drifting values like revenue, making the prediction incorrect.	The numerical values (86.39 billion vs 79.47 billion) are significantly different and do not fall within the allowed numeric tolerance.	gpt-5-1	1	0	1	79.47 billion USD	79.47 billion USD	The numerical values are significantly different (91.47 billion vs 79.47 billion). The percentage difference is approximately 13.11%, which is outside the allowed 1% tolerance for numeric expressions.	Both answers are identical.
