dataset	id	question	gold_answer	assistant_label	assistant_notes	stable_wrong_models	frontier_open_consensus_count	frontier_open_consensus_answer	model_dir__gemini_2_5_pro	stable_wrong__gemini_2_5_pro	open_correct__gemini_2_5_pro	consistency_equivalent__gemini_2_5_pro	open_answer__gemini_2_5_pro	assistive_answer__gemini_2_5_pro	open_correctness_reasoning__gemini_2_5_pro	consistency_reasoning__gemini_2_5_pro	model_dir__gemini_2_5_flash	stable_wrong__gemini_2_5_flash	open_correct__gemini_2_5_flash	consistency_equivalent__gemini_2_5_flash	open_answer__gemini_2_5_flash	assistive_answer__gemini_2_5_flash	open_correctness_reasoning__gemini_2_5_flash	consistency_reasoning__gemini_2_5_flash	model_dir__gpt_5_1	stable_wrong__gpt_5_1	open_correct__gpt_5_1	consistency_equivalent__gpt_5_1	open_answer__gpt_5_1	assistive_answer__gpt_5_1	open_correctness_reasoning__gpt_5_1	consistency_reasoning__gpt_5_1
bamboogle	bamboogle_0050_43f80844	Who is the mother of the father of Barack Obama?	Habiba Akumu Nyanjango	alias_or_evaluation_strictness	Consistency judge mentions alias/equivalence (e.g., anglicization); open correctness may be overly strict about surface-form differences.	gpt_5_1	1	Sarah Onyango Obama	google-gemini-2-5-pro	0	0	0	Sarah Onyango Obama	Habiba Akumu Obama	The prediction 'Sarah Onyango Obama' is a different name from the gold answer 'Habiba Akumu Nyanjango'. These are distinct individuals, making the prediction a contradiction to the gold fact.	Answer A identifies Habiba Akumu Obama as the mother of Barack Obama Sr., which is correct. Answer B identifies Sarah Onyango Obama, who was Barack Obama Sr.'s step-grandmother, not his mother. These are contradictory facts regarding the identity of the person in question.	google-gemini-2-5-flash	0	0	0	Akumu Nyanjoga	Sarah Onyango Obama	The prediction 'Akumu Nyanjoga' is missing the first name 'Habiba' and has a spelling difference in the last name ('Nyanjoga' vs 'Nyanjango') compared to the gold answer 'Habiba Akumu Nyanjango'. This constitutes a factual difference, not just a normalization or subset.	The answers refer to two different individuals. Sarah Onyango Obama was Barack Obama Sr.'s step-mother, while Akumu Nyanjoga was Barack Obama Sr.'s biological mother.	gpt-5-1	1	0	1	Habiba Akumu Obama	Habiba Akumu Nyanjoga	The last name in the prediction ('Obama') differs from the last name in the gold answer ('Nyanjango'). This is a factual contradiction regarding the individual's name.	"Both answers refer to the same person; ""Nyanjoga"" is her maiden name and ""Obama"" is her married name."
bamboogle	bamboogle_0055_a38b6895	Who directed the highest grossing film?	James Cameroon	frontier_consensus_vs_gold	All three frontier models agree on 'James Cameron' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash,gpt_5_1	3	James Cameron	google-gemini-2-5-pro	0	1	1	James Cameron	James Cameron	The prediction 'James Cameron' is a common and widely accepted spelling of the director's name, while 'James Cameroon' in the gold answer appears to be a misspelling. Given the context of a proper name, this minor spelling difference is considered equivalent.	Both answers are identical.	google-gemini-2-5-flash	1	0	1	James Cameron	James Cameron	The prediction 'James Cameron' differs from the gold answer 'James Cameroon' by a spelling mistake in the last name. This is not covered by normalization rules for aliases or common variations.	Both answers are identical.	gpt-5-1	1	0	1	James Cameron	James Cameron	The gold answer 'James Cameroon' has a different spelling for the last name compared to the prediction 'James Cameron'. While 'James Cameron' is the correct spelling of the director's name, the evaluation must compare the prediction against the provided gold answer, which contains a typo. The names are not identical and do not fall under alias/abbreviation normalization.	Both answers are identical.
bamboogle	bamboogle_0059_abedd531	In what year was the tallest fixed steel structure completed?	1988	frontier_consensus_vs_gold	All three frontier models agree on '2012' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash,gpt_5_1	3	2012	google-gemini-2-5-pro	0	0	0	2012	2000	The gold answer is '1988' and the prediction is '2012'. Calendar dates and years must match exactly according to Rule 2. The prediction contradicts the gold answer.	The years provided (2000 and 2012) are different and calendar years must match exactly.	google-gemini-2-5-flash	1	0	1	2012	2012	The prediction '2012' contradicts the gold answer '1988'. Calendar dates/years must match exactly.	Both answers state the exact same year.	gpt-5-1	1	0	1	2012	2012	The gold answer is 1988, and the prediction is 2012. Calendar dates/years must match exactly, and these values are different.	Both answers state the exact same year.
bamboogle	bamboogle_0064_647f7ea9	In what year was the tallest lighthouse completed?	1902	likely_gold_error/outdated	All three models answer 1990; likely refers to the Jeddah Light (tallest lighthouse), completed in 1990. Gold year 1902 appears inconsistent with 'tallest'.	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	3	1990	google-gemini-2-5-pro	1	0	1	1990	1990	The gold answer is '1902' and the prediction is '1990'. Calendar dates/years must match exactly according to rule 2, and these do not match.	Both answers state the exact same year.	google-gemini-2-5-flash	1	0	1	1990	1990	The predicted year (1990) does not match the gold year (1902). Calendar dates/years must match exactly according to rule 2.	Both answers state the exact same year.	gpt-5-1	1	0	1	1990	1990	The gold answer is '1902' and the prediction is '1990'. Calendar dates/years must match exactly, and these values are different.	Both answers state the same year.
bamboogle	bamboogle_0066_6b32e7f3	The most populous national capital city was established in what year?	1045 BC	frontier_consensus_vs_gold	All three frontier models agree on '1457' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash	3	1457	google-gemini-2-5-pro	0	0	0	1457	1271	The gold answer specifies '1045 BC' while the prediction states '1457'. These are different years and do not match, violating the exact match requirement for calendar dates/years.	The years provided are different and do not fall within any acceptable numeric tolerance.	google-gemini-2-5-flash	1	0	1	1457	1457	The gold answer specifies '1045 BC' while the prediction is '1457'. Calendar dates or years must match exactly according to Rule 2, and these values are significantly different.	Both answers state the exact same year.	gpt-5-1	0	0	0	1457	1868	The gold answer specifies '1045 BC' while the prediction states '1457'. These are different years, and calendar dates/years must match exactly according to the rules.	The years provided are different and calendar dates/years must match exactly.
bamboogle	bamboogle_0091_3845ed5d	Who is the father of the father of the hydrogen bomb?	Max Teller	alias_or_evaluation_strictness	Consistency judge mentions alias/equivalence (e.g., anglicization); open correctness may be overly strict about surface-form differences.	gpt_5_1	2	Max Teller	google-gemini-2-5-pro	0	1	1	Max Teller	Max Teller	The prediction is identical to the gold answer.	Both answers are identical.	google-gemini-2-5-flash	0	1	1	Max Teller	Max Teller	The prediction is identical to the gold answer.	Both answers are identical.	gpt-5-1	1	0	1	Miksa Teller	Max Teller	The prediction 'Miksa Teller' is a different name from the gold answer 'Max Teller'. While they share a surname, the given names are distinct, making the prediction incorrect.	"""Max"" is a common anglicization of the Hungarian name ""Miksa"", referring to the same person."
bamboogle	bamboogle_0116_082827a9	What is the nickname of the easternmost U.S. state?	Pine Tree State	alias_or_evaluation_strictness	Consistency judge mentions alias/equivalence (e.g., anglicization); open correctness may be overly strict about surface-form differences.	gemini_2_5_pro	2	The Pine Tree State	google-gemini-2-5-pro	1	0	1	The Last Frontier	The Last Frontier	The gold answer states the nickname is 'Pine Tree State' (for Maine, the easternmost state). The prediction states 'The Last Frontier', which is the nickname for Alaska. These are different and contradictory facts.	Both answers are identical.	google-gemini-2-5-flash	0	1	1	The Pine Tree State	Pine Tree State	The prediction 'The Pine Tree State' is equivalent to the gold answer 'Pine Tree State' after ignoring the English article 'The' as per normalization rules.	"English article ""The"" is ignored as per normalization rule."	gpt-5-1	0	1	0	The Pine Tree State	The Last Frontier	The prediction includes the English article 'The', which is ignored according to Rule 1 (Normalization). The core fact 'Pine Tree State' is identical.	"The easternmost U.S. state is Maine, whose nickname is ""The Pine Tree State"" (Answer B). ""The Last Frontier"" (Answer A) is the nickname for Alaska, which is not the easternmost state. The answers provide contradictory information regarding the nickname of the easternmost state."
crag	12d2b048-e8de-470a-b4f2-81b0cf03ec5e	what was the name of the movie that won the most golden globe awards in a single year, including best motion picture – drama, best director, and best actor – motion picture drama?	the movie that won the most golden globe awards in a single year, including best motion picture – drama, best director, and best actor in a motion picture – drama, was oppenheimer, directed by christopher nolan and starring cillian murphy.	frontier_consensus_vs_gold	All three frontier models agree on 'One Flew Over the Cuckoo's Nest' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash	3	One Flew Over the Cuckoo's Nest	google-gemini-2-5-pro	0	0	0	One Flew Over the Cuckoo's Nest	The Revenant	The gold answer states the movie was 'Oppenheimer', while the prediction states 'One Flew Over the Cuckoo's Nest'. These are different movies, leading to a direct contradiction.	"Answer A (""The Revenant"") won 3 Golden Globes, including the specified categories. Answer B (""One Flew Over the Cuckoo's Nest"") won 5 Golden Globes, including the specified categories, making it the movie that won ""the most"" among those that met the specific criteria. The answers provide different movies."	google-gemini-2-5-flash	1	0	1	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	The prediction 'One Flew Over the Cuckoo's Nest' directly contradicts the gold answer 'Oppenheimer' regarding the name of the movie that won the specified Golden Globe awards.	Both answers are identical.	gpt-5-1	0	0	0	One Flew Over the Cuckoo’s Nest	The Revenant	The gold answer states the movie was 'Oppenheimer', while the prediction states 'One Flew Over the Cuckoo’s Nest'. These are different movies, leading to a contradiction.	Answer A (The Revenant) won 3 Golden Globes, including the specified categories. Answer B (One Flew Over the Cuckoo’s Nest) won 6 Golden Globes, including the specified categories, making it the movie that won the most awards under the given conditions. The answers provide different, contradictory facts.
crag	c47ece5d-49ba-4ee2-ba5e-cfee323dbec0	who was the first actor to play the role of a comic book hero in a live-action movie?	warren hall was the first actor to play the role of a superhero in a live-action movie, in his iconic portrayal of mandrake the magician in 1939, directed by norman deming and sam nelson.	frontier_consensus_vs_gold	All three frontier models agree on 'Tom Tyler' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_pro,gpt_5_1	3	Tom Tyler	google-gemini-2-5-pro	1	0	1	Tom Tyler	Tom Tyler	The gold answer identifies 'Warren Hall' as the first actor, while the prediction states 'Tom Tyler'. These are different names, leading to a contradiction on the core fact.	Both answers are identical.	google-gemini-2-5-flash	0	0	0	Tom Tyler	George Reeves	The gold answer identifies 'Warren Hall' as the first actor, while the prediction states 'Tom Tyler'. These are different names, leading to a direct contradiction on the core fact.	The answers name different actors. Tom Tyler (Captain Marvel, 1941) is generally considered the first, while George Reeves (Superman) came later.	gpt-5-1	1	0	1	Tom Tyler	Tom Tyler	The gold answer identifies 'Warren Hall' as the first actor, while the prediction states 'Tom Tyler'. These are different names, leading to a contradiction on the core fact.	Both answers are identical.
crag	e6fe70a3-61b9-4b6f-b953-9ec181806b7d	can you tell me the name of the actress who starred in the film that won the best picture oscar in 1993?	anna thomson	frontier_consensus_vs_gold	All three frontier models agree on 'Frances Fisher' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_pro,gpt_5_1	3	Frances Fisher	google-gemini-2-5-pro	1	0	1	Frances Fisher	Frances Fisher	The gold answer states 'anna thomson' and the prediction states 'Frances Fisher'. These are two distinct names, and therefore the prediction does not communicate the same essential fact as the gold answer. They contradict each other on the identity of the actress.	Both answers are identical.	google-gemini-2-5-flash	0	1	1	Frances Fisher	Frances Fisher	The Best Picture Oscar winner in 1993 was 'Unforgiven'. Both Anna Thomson (gold) and Frances Fisher (prediction) were actresses who starred in this film. Since the question asks for 'the name of the actress' and does not require a specific one or all, the prediction provides a valid actress from the film, which is acceptable as a subset of possible correct answers (Rule 9).	Both answers are identical.	gpt-5-1	1	0	1	Frances Fisher	Frances Fisher	The gold answer 'anna thomson' is a different name from the prediction 'Frances Fisher'. They are distinct facts.	Both answers are identical.
