id,issues,question,answer,num_hops,last_question,complexity_score,similarity,dsl
462,final_step_mismatch,"Since the turn of the 21st century, there has only been one year in which the Pulitzer Prize for Fiction has not been awarded. Among the finalists that year, one novel was published posthumously. The author of this posthumous publication is best known for a different novel published 15 years prior. The opening lines of this book later inspired a song by a band. The name of this band can be determined with the following calculation: find the age of the author on January 1 of the year the latter book was published, add four, and subtract the sum from the year this author was a Pulitzer Prize finalist. The name of this band was inspired by yet another book. What is the name of this book and its author?",On the Road by Jack Kerouac,14,Return the name of the book ({answer_12}) and its author ({answer_13}).,0.5,0.08,"answer_1: int = qa_model(""Since the turn of the 21st century, in which year was the Pulitzer Prize for Fiction not awarded?"") | answer_2: list[str] = qa_model(""Who were the finalists for the Pulitzer Prize for Fiction in {answer_1}?"", answer_1=answer_1) | answer_3: str = qa_model(""Which novel by the finalists {answer_2} was published posthumously?"", answer_2=answer_2) | answer_4: str = qa_model(""Who is the author of the novel {answer_3}?"", answer_3=answer_3) | answer_5: str = qa_model(""What novel is {answer_4} best known for?"", answer_4=answer_4) | answer_6: int = qa_model(""In what year was the novel {answer_5} published?"", answer_5=answer_5) | answer_7: str = qa_model(""What is the birth date of {answer_4}?"", answer_4=answer_4) | answer_8: int = qa_model(""How old was a person born on {answer_7} on January 1, {answer_6}?"", answer_7=answer_7, answer_6=answer_6) | answer_9: int = qa_model(""What is {answer_8} plus 4?"", answer_8=answer_8) | answer_10: int = qa_model(""What is {answer_1} minus {answer_9}?"", answer_1=answer_1, answer_9=answer_9) | answer_11: str = qa_model(""Which band has a name equal to the number {answer_10}?"", answer_10=answer_10) | answer_12: str = qa_model(""What is the name of the book that inspired the name of the band {answer_11}?"", answer_11=answer_11) | answer_13: str = qa_model(""Who is the author of the book {answer_12}?"", answer_12=answer_12) | final_answer: str = qa_model(""Return the name of the book ({answer_12}) and its author ({answer_13})."", answer_12=answer_12, answer_13=answer_13)"
627,final_step_mismatch,One episode title from classic Doctor Who series 12 features the name of a Pentateuch book. Can you tell me which part of this episode had the lowest viewing figures in roman numerals?,"III (the answer is Genesis of the Daleks, the 3rd part had the least amount of viewers when broadcast)",4,What is the Roman numeral for {answer_3}?,3.0,0.04,"answer_1: str = qa_model(""Which episode title from classic Doctor Who series 12 features the name of a Pentateuch book?"") | answer_2: dict[str, float] = qa_model(""What were the viewing figures for each part of the Doctor Who episode {answer_1}?"", answer_1=answer_1) | answer_3: int = qa_model(""Which part number in {answer_2} corresponds to the lowest viewing figure?"", answer_2=answer_2) | final_answer: str = qa_model(""What is the Roman numeral for {answer_3}?"", answer_3=answer_3)"
664,over_decomposition,How many Red Hot Chili Peppers albums were released while Nelson Mandela was in prison?,4,4,How many Red Hot Chili Peppers albums were released between {answer_1} and {answer_2}?,0.0,0.47,"answer_1: int = qa_model(""In what year did Nelson Mandela's imprisonment begin?"") | answer_2: int = qa_model(""In what year did Nelson Mandela's imprisonment end?"") | answer_3: int = qa_model(""How many Red Hot Chili Peppers albums were released between {answer_1} and {answer_2}?"", answer_1=answer_1, answer_2=answer_2) | final_answer: int = qa_model(""How many Red Hot Chili Peppers albums were released between {answer_1} and {answer_2}?"", answer_1=answer_1, answer_2=answer_2)"
509,final_step_mismatch,"As of August 3, 2024, what is the capital of the country with the largest energy complex in South Eastern Europe?","Sofia is the capital of Bulgaria, which is home to the largest energy complex in South Eastern Europe, the Maritsa Iztok Complex in Galabovo. ",3,What is the capital of {answer_2}?,0.5,0.07,"answer_1: str = qa_model(""As of August 3, 2024, what is the largest energy complex in South Eastern Europe?"") | answer_2: str = qa_model(""Which country is the energy complex {answer_1} located in?"", answer_1=answer_1) | final_answer: str = qa_model(""What is the capital of {answer_2}?"", answer_2=answer_2)"
581,final_step_mismatch,"Among Aristotle, Alexander the Great, Socrates, and Plato, which of them taught the others? What was their order chronologically? ","Socrates taught Plato and Plato taught Aristotle. Aristotle taught Alexander the Great. So, chronologically, it was Socrates, Plato, Aristotle, and finally Alexander the Great. ",2,"Based on the teaching relationships in {answer_1}, what was the chronological order of these individuals? (key=student, value=teacher)",0.0,0.04,"answer_1: dict[str, str] = qa_model(""Among Aristotle, Alexander the Great, Socrates, and Plato, which of them taught the others (key: student, value: teacher)?"") | final_answer: list[str] = qa_model(""Based on the teaching relationships in {answer_1}, what was the chronological order of these individuals? (key=student, value=teacher)"", answer_1=answer_1)"
605,final_step_mismatch,"How many years before the founding of Google, was George Orwell's book ""1984"" published?",49 years.,3,What is the absolute difference between {answer_1} and {answer_2}?,1.0,0.0,"answer_1: int = qa_model(""In what year was George Orwell's book \""1984\"" published?"") | answer_2: int = qa_model(""In what year was Google founded?"") | final_answer: int = qa_model(""What is the absolute difference between {answer_1} and {answer_2}?"", answer_1=answer_1, answer_2=answer_2)"
734,final_step_mismatch,"Tell me the name of the place I am thinking of based on these clues:  - I am a metropolitan borough in the West Midlands, UK - I am not a city - My boroughs name does not relate to a town",Sandwell.,3,"Of the boroughs in {answer_2}, which one",1.5,0.04,"answer_1: list[str] = qa_model(""What are the metropolitan boroughs in the West Midlands, UK?"") | answer_2: list[str] = qa_model(""Which of the boroughs in {answer_1} are not cities?"", answer_1=answer_1) | final_answer: str = qa_model(""Of the boroughs in {answer_2}, which one's name does not relate to a town?"", answer_2=answer_2)"
66,final_step_mismatch,The founder of the production company at which Tim Allsop and Stewart Williams met received a bachelor's degree from a college in the state of New York. In what year was this college's sibling institution founded?,1701,5,In what year was {answer_4} founded?,0.5,0.08,"answer_1: str = qa_model(""At which production company did Tim Allsop and Stewart Williams meet?"") | answer_2: str = qa_model(""Who is the founder of the production company {answer_1}?"", answer_1=answer_1) | answer_3: str = qa_model(""From which college in the state of New York did {answer_2} receive a bachelor's degree?"", answer_2=answer_2) | answer_4: str = qa_model(""What is the sibling institution of {answer_3}?"", answer_3=answer_3) | final_answer: int = qa_model(""In what year was {answer_4} founded?"", answer_4=answer_4)"
185,over_decomposition,What actor who starred in the People's Choice Award for Favorite Comedic Movie 1993 later became a U.S. President?,"The actor who starred in the People's Choice Award for Favorite Comedic Movie in 1993 who later became the 45th President of the United States, Donald Trump. ",3,Which actor among {answer_2} later became a U.S. President?,0.0,0.35,"answer_1: str = qa_model(""What movie won the People's Choice Award for Favorite Comedic Movie in 1993?"") | answer_2: list[str] = qa_model(""Who were the actors that starred in the movie {answer_1}?"", answer_1=answer_1) | final_answer: str = qa_model(""Which actor among {answer_2} later became a U.S. President?"", answer_2=answer_2)"
700,final_step_mismatch,How many more wins did the team with the number one seed from the NBA Western Conference in the 2020-2021 season have than the team with the fifth seed from the NBA Western Conference in the 2019-2020 season?,8,5,What is the difference between {answer_2} and {answer_4}?,0.5,0.0,"answer_1: str = qa_model(""Which team had the number one seed from the NBA Western Conference in the 2020-2021 season?"") | answer_2: int = qa_model(""How many wins did the {answer_1} have in the 2020-2021 season?"", answer_1=answer_1) | answer_3: str = qa_model(""Which team had the fifth seed from the NBA Western Conference in the 2019-2020 season?"") | answer_4: int = qa_model(""How many wins did the {answer_3} have in the 2019-2020 season?"", answer_3=answer_3) | final_answer: int = qa_model(""What is the difference between {answer_2} and {answer_4}?"", answer_2=answer_2, answer_4=answer_4)"
402,final_step_mismatch,The actress who played Aunt Rose in A Brooklyn State of Mind (1997) also starred in a mafia movie where she sang a popular Sicilian song. How many years later did her version of the song occur after the earliest recording?,45 years,6,How many years are there between {answer_5} and {answer_4}?,1.5,0.06,"answer_1: str = qa_model(""Who is the actress who played Aunt Rose in A Brooklyn State of Mind (1997)?"") | answer_2: str = qa_model(""In which mafia movie did the actress {answer_1} sing a popular Sicilian song?"", answer_1=answer_1) | answer_3: str = qa_model(""What is the name of the popular Sicilian song sung by {answer_1} in the movie {answer_2}?"", answer_1=answer_1, answer_2=answer_2) | answer_4: int = qa_model(""In what year was the movie {answer_2} released?"", answer_2=answer_2) | answer_5: int = qa_model(""What year was the earliest recording of the song '{answer_3}'?"", answer_3=answer_3) | final_answer: int = qa_model(""How many years are there between {answer_5} and {answer_4}?"", answer_5=answer_5, answer_4=answer_4)"
522,over_decomposition,What two actors starred in both The Craft and Scream in the same year?,Neve Cambell and Skeet Ulrich,3,Which actors are common to both {answer_1} and {answer_2}?,0.0,0.25,"answer_1: list[str] = qa_model(""Who starred in the movie The Craft?"") | answer_2: list[str] = qa_model(""Who starred in the movie Scream?"") | final_answer: list[str] = qa_model(""Which actors are common to both {answer_1} and {answer_2}?"", answer_1=answer_1, answer_2=answer_2)"
648,over_decomposition,How old was Joel McHale the first time the Philadelphia Waterdogs won the PLL Championship?,Joel McHale was 50 years old.,3,"How old was Joel McHale on {answer_1}, given he was born on {answer_2}?",0.0,0.19,"answer_1: str = qa_model(""On what date did the Philadelphia Waterdogs first win the PLL Championship?"") | answer_2: str = qa_model(""What is Joel McHale's date of birth?"") | final_answer: int = qa_model(""How old was Joel McHale on {answer_1}, given he was born on {answer_2}?"", answer_1=answer_1, answer_2=answer_2)"
38,over_decomposition,Which species from the genus mulona are both found in the same country?,Mulona barnesi and mulona schausi,3,Which species from {answer_2} are found in the same country?,0.0,0.56,"answer_1: list[str] = qa_model(""What are the species in the genus Mulona?"") | answer_2: dict[str, str] = qa_model(""What country is each species in {answer_1} found in?"", answer_1=answer_1) | final_answer: list[list[str]] = qa_model(""Which species from {answer_2} are found in the same country?"", answer_2=answer_2)"
88,final_step_mismatch,"If you were to combine two words, the first of which has a species called Polytrichum piliferum, and the second which has a breed type called Fleckvieh, you'd get the name of what countries capital city?",Russia,3,What capital city,0.5,0.09,"answer_1: str = qa_model(""What is the common name for the genus of plant that includes the species Polytrichum piliferum?"") | answer_2: str = qa_model(""What type of animal is the Fleckvieh breed?"") | final_answer: str = qa_model(""What capital city's name is a combination of the words '{answer_1}' and '{answer_2}'?"", answer_1=answer_1, answer_2=answer_2)"
577,over_decomposition|final_step_mismatch,"As of 1 August 2024, How many more seasons did Outrageous Fortune have compared to bro'Town?",1,3,What is the absolute difference between {answer_1} and {answer_2}?,0.0,0.0,"answer_1: int = qa_model(""As of August 1, 2024, how many seasons did Outrageous Fortune have?"") | answer_2: int = qa_model(""As of August 1, 2024, how many seasons did bro'Town have?"") | final_answer: int = qa_model(""What is the absolute difference between {answer_1} and {answer_2}?"", answer_1=answer_1, answer_2=answer_2)"
217,final_step_mismatch,How old would James Logan have been when the estate of his descendent donated Neshaminy State Park land to the Commonwealth of Pennsylvania?,282 years,3,How many years are there between {answer_1} and {answer_2}?,0.5,0.0,"answer_1: int = qa_model(""In what year was James Logan born?"") | answer_2: int = qa_model(""In what year did the estate of a descendant of James Logan donate the Neshaminy State Park land to the Commonwealth of Pennsylvania?"") | final_answer: int = qa_model(""How many years are there between {answer_1} and {answer_2}?"", answer_1=answer_1, answer_2=answer_2)"
728,over_decomposition,What medal was won in 1979 by the famous physicist who attended the oldest college in London?,Albert Einstein medal,3,What medal was won in 1979 by {answer_2}?,0.0,0.36,"answer_1: str = qa_model(""What is the oldest college in London?"") | answer_2: str = qa_model(""Which famous physicist attended {answer_1}?"", answer_1=answer_1) | final_answer: str = qa_model(""What medal was won in 1979 by {answer_2}?"", answer_2=answer_2)"
91,final_step_mismatch,"As of August 3, 2024, which rabbi worked for both Reform Congregation Keneseth Israel in Philadelphia and Congregation Beth Israel in West Hartford, Connecticut?",Abraham J. Feldman worked for both congregations serving as an interim associate rabbi at the Reform Congregation Keneseth Israel and the leader of the Congregation Beth Israel.,3,What are the common items between {answer_1} and {answer_2}?,0.5,0.04,"answer_1: list[str] = qa_model(""As of August 3, 2024, which rabbis worked for Reform Congregation Keneseth Israel in Philadelphia?"") | answer_2: list[str] = qa_model(""As of August 3, 2024, which rabbis worked for Congregation Beth Israel in West Hartford, Connecticut?"") | final_answer: list[str] = qa_model(""What are the common items between {answer_1} and {answer_2}?"", answer_1=answer_1, answer_2=answer_2)"
501,over_decomposition|final_step_mismatch,How old was the U.S. President's wife when the Camp David Accords were signed?,She was 51 years old.,5,How old was a person born on {answer_4} on the date {answer_1}?,0.0,0.07,"answer_1: str = qa_model(""When were the Camp David Accords signed?"") | answer_2: str = qa_model(""Who was the U.S. President on {answer_1}?"", answer_1=answer_1) | answer_3: str = qa_model(""Who was the wife of U.S. President {answer_2}?"", answer_2=answer_2) | answer_4: str = qa_model(""What is the birth date of {answer_3}?"", answer_3=answer_3) | final_answer: int = qa_model(""How old was a person born on {answer_4} on the date {answer_1}?"", answer_4=answer_4, answer_1=answer_1)"
589,final_step_mismatch,Tell me the singer that I am thinking about. Use this information to determine who it is: The song hit #1 on the billboard in 2015. The singer is from Canada. The artist was born before the dissolution of Czechoslovakia.,The Weeknd,4,Which of the artists in {answer_3} were born before {answer_1}?,1.5,0.07,"answer_1: str = qa_model(""When was the dissolution of Czechoslovakia?"") | answer_2: list[str] = qa_model(""Which singers had a song that hit #1 on the Billboard charts in 2015?"") | answer_3: list[str] = qa_model(""Which of the singers in {answer_2} are from Canada?"", answer_2=answer_2) | final_answer: str = qa_model(""Which of the artists in {answer_3} were born before {answer_1}?"", answer_3=answer_3, answer_1=answer_1)"
746,final_step_mismatch,"who won the formula one season in the year nine people were killed on the track at the argentine grand prix, and how old were they two years before sliced bread was first sold? ","Alberto Ascari, 8 years old",4,What is the birth date of {answer_2}?,1.5,0.0,"answer_1: int = qa_model(""In what year were nine people killed on the track at the Argentine Grand Prix?"") | answer_2: str = qa_model(""Who won the Formula One season in {answer_1}?"", answer_1=answer_1) | answer_3: int = qa_model(""In what year was sliced bread first sold?"") | answer_4: str = qa_model(""What is the birth date of {answer_2}?"", answer_2=answer_2) | final_answer: str = qa_model(""State"
241,final_step_mismatch,"The screenwriter of the film, which received nominations for Best Screenplay and Best Actor in a Motion Picture - Drama at the 1995 Golden Globes, attended which Michigan university?",Grand Valley State University,3,Which Michigan university did {answer_2} attend?,0.5,0.09,"answer_1: str = qa_model(""Which film received nominations for both Best Screenplay and Best Actor in a Motion Picture - Drama at the 1995 Golden Globes?"") | answer_2: str = qa_model(""Who was the screenwriter of the film {answer_1}?"", answer_1=answer_1) | final_answer: str = qa_model(""Which Michigan university did {answer_2} attend?"", answer_2=answer_2)"
580,over_decomposition,How old was the Miss Miss Venezuela 1970 winner on the day the 68th Academy Awards was held?,"Bella La Rosa was 46 years old on March 25, 1996.",4,How old was a person born on {answer_2} on {answer_3}?,0.0,0.13,"answer_1: str = qa_model(""Who was the winner of the Miss Venezuela 1970 pageant?"") | answer_2: str = qa_model(""What is the birth date of {answer_1}?"", answer_1=answer_1) | answer_3: str = qa_model(""On what date was the 68th Academy Awards held?"") | final_answer: int = qa_model(""How old was a person born on {answer_2} on {answer_3}?"", answer_2=answer_2, answer_3=answer_3)"
