model,dataset,id,question,gold_answer,open_answer,assistive_answer,open_correct,assistive_correct,assistive_intermediate_questions,assistive_intermediate_answers,assistive_dsl,assistive_raw_response,open_raw_response
gpt-5-1,bamboogle,bamboogle_0028_ec928c44,What is the third letter of the top level domain of the military?,l,l,i,1,0,"[""What is the top level domain of the military?"", ""What is the third letter of '{answer_1}'?""]","{""answer_1"": "".mil"", ""answer_2"": ""i""}","answer_1: str = qa_model(""What is the top level domain of the military?"")
answer_2: str = qa_model(""What is the third letter of '{answer_1}'?"", answer_1=answer_1)","{
  ""answer_1"": "".mil"",
  ""answer_2"": ""i""
}","answer:
l"
gpt-5-1,bamboogle,bamboogle_0067_c104c160,The third largest river (by discharge) in the world is in what countries?,India and Bangladesh,India; Bangladesh,China; India; Bangladesh; Nepal; Bhutan,1,0,"[""What is the third largest river in the world by discharge?"", ""The {answer_1} is in what countries?""]","{""answer_1"": ""Ganges\u2013Brahmaputra\u2013Meghna river system"", ""answer_2"": ""China; India; Bangladesh; Nepal; Bhutan""}","answer_1: str = qa_model(""What is the third largest river in the world by discharge?"")
answer_2: str = qa_model(""The {answer_1} is in what countries?"", answer_1=answer_1)","{
  ""answer_1"": ""Ganges–Brahmaputra–Meghna river system"",
  ""answer_2"": ""China; India; Bangladesh; Nepal; Bhutan""
}","answer:
India; Bangladesh"
gpt-5-1,bamboogle,bamboogle_0116_082827a9,What is the nickname of the easternmost U.S. state?,Pine Tree State,The Pine Tree State,The Last Frontier,1,0,"[""What is the easternmost U.S. state?"", ""What is the nickname of {answer_1}?""]","{""answer_1"": ""Alaska"", ""answer_2"": ""The Last Frontier""}","answer_1: str = qa_model(""What is the easternmost U.S. state?"")
answer_2: str = qa_model(""What is the nickname of {answer_1}?"", answer_1=answer_1)","{
  ""answer_1"": ""Alaska"",
  ""answer_2"": ""The Last Frontier""
}","answer:
The Pine Tree State"
gpt-5-1,bamboogle,bamboogle_0123_faadb1ea,Who was the mother of the emperor of Japan during World War I?,Yanagiwara Naruko,Yanagiwara Naruko,Yanagihara Naruko,1,0,"[""Who was the emperor of Japan during World War I?"", ""Who was the mother of {answer_1}?""]","{""answer_1"": ""Emperor Taish\u014d"", ""answer_2"": ""Yanagihara Naruko""}","answer_1: str = qa_model(""Who was the emperor of Japan during World War I?"")
answer_2: str = qa_model(""Who was the mother of {answer_1}?"", answer_1=answer_1)","{
  ""answer_1"": ""Emperor Taishō"",
  ""answer_2"": ""Yanagihara Naruko""
}","answer:
Yanagiwara Naruko"
gpt-5-1,hotpotqa,5a76059155429976ec32bce6,"What shopping mall is the largest in south Texas, Malle del Norte or La Plaza Mall?",La Plaza Mall,La Plaza Mall,Mall del Norte,1,0,"[""What is the size of Mall del Norte?"", ""What is the size of La Plaza Mall?"", ""Which is larger, Mall del Norte at {answer_1} or La Plaza Mall at {answer_2}?""]","{""answer_1"": ""1,236,000 ft\u00b2"", ""answer_2"": ""1,215,000 ft\u00b2"", ""answer_3"": ""Mall del Norte""}","answer_1: str = qa_model(""What is the size of Mall del Norte?"")
answer_2: str = qa_model(""What is the size of La Plaza Mall?"")
answer_3: str = qa_model(""Which is larger, Mall del Norte at {answer_1} or La Plaza Mall at {answer_2}?"", answer_1=answer_1, answer_2=answer_2)","{
  ""answer_1"": ""1,236,000 ft²"",
  ""answer_2"": ""1,215,000 ft²"",
  ""answer_3"": ""Mall del Norte""
}",La Plaza Mall
gpt-5-1,hotpotqa,5a760f6855429976ec32bcf9,What retailer is the second-largest in the United States and has a commercial featuring the American artist who was 1st runner-up in the 2005 USA Weekend Magazine's songwriting competition?,Target Corporation,Target,,1,-1,"[""Who was the 1st runner-up in the 2005 USA Weekend Magazine's songwriting competition?"", ""Which retailer, the second-largest in the United States, has a commercial featuring {answer_1}?""]","{""error"": ""malformed_json"", ""raw"": """", ""error_detail"": ""unable_to_parse""}","answer_1: str = qa_model(""Who was the 1st runner-up in the 2005 USA Weekend Magazine's songwriting competition?"")
answer_2: str = qa_model(""Which retailer, the second-largest in the United States, has a commercial featuring {answer_1}?"", answer_1=answer_1)",,Target
gpt-5-1,hotpotqa,5a7a8dab554299042af8f66a,"Huddersfield Giants R.L.F.C. are an English professional rugby league club from Huddersfield, West Yorkshire, the birthplace of rugby league, who play in the Super League competition, they play their home games at the Kirklees Stadium which is shared with Huddersfield Town F.C., is a multi-use sports stadium in Huddersfield in West Yorkshire, in which country?",England,England,United Kingdom,1,0,"[""Where is the Kirklees Stadium located?"", ""In which country is {answer_1}?""]","{""answer_1"": ""Huddersfield"", ""answer_2"": ""United Kingdom""}","answer_1: str = qa_model(""Where is the Kirklees Stadium located?"")
answer_2: str = qa_model(""In which country is {answer_1}?"", answer_1=answer_1)","{
  ""answer_1"": ""Huddersfield"",
  ""answer_2"": ""United Kingdom""
}","answer:
England"
gpt-5-1,hotpotqa,5a7d90195542991319bc93cf,The axial turbojet Pirna 014 was designed by engineers from this German aircraft and aircraft engine manufacturer based in which city?,Dessau,Dessau,Ludwigsfelde,1,0,"[""Which German aircraft and aircraft engine manufacturer designed the Pirna 014?"", ""In which city is {answer_1} based?""]","{""answer_1"": ""Industriewerke Ludwigsfelde"", ""answer_2"": ""Ludwigsfelde""}","answer_1: str = qa_model(""Which German aircraft and aircraft engine manufacturer designed the Pirna 014?"")
answer_2: str = qa_model(""In which city is {answer_1} based?"", answer_1=answer_1)","{
  ""answer_1"": ""Industriewerke Ludwigsfelde"",
  ""answer_2"": ""Ludwigsfelde""
}","answer:
Dessau"
gpt-5-1,hotpotqa,5a80b23a5542992bc0c4a7b2,Ted Sutton plays Sergeant Cunningham in a2002 film that stars Mel Gibson as what character?,Graham Hess,Graham Hess,Lieutenant Colonel Hal Moore,1,0,"[""In which 2002 film does Ted Sutton play Sergeant Cunningham?"", ""What character does Mel Gibson play in {answer_1}?""]","{""answer_1"": ""We Were Soldiers"", ""answer_2"": ""Lieutenant Colonel Hal Moore""}","answer_1: str = qa_model(""In which 2002 film does Ted Sutton play Sergeant Cunningham?"")
answer_2: str = qa_model(""What character does Mel Gibson play in {answer_1}?"", answer_1=answer_1)","{
  ""answer_1"": ""We Were Soldiers"",
  ""answer_2"": ""Lieutenant Colonel Hal Moore""
}","answer:
Graham Hess"
gpt-5-1,hotpotqa,5a8766cb5542996e4f3087d6,What southern California based band covered Blue Öyster Cult's Godzilla?,Fu Manchu,Fu Manchu,Racer X; Fu Manchu,1,0,"[""Which bands have covered Blue \u00c3\u0096yster Cult's song 'Godzilla'?"", ""Which of these bands is based in Southern California: {answer_1}?""]","{""answer_1"": ""Racer X; Fu Manchu; moe."", ""answer_2"": ""Racer X; Fu Manchu""}","answer_1: str = qa_model(""Which bands have covered Blue Öyster Cult's song 'Godzilla'?"")
answer_2: str = qa_model(""Which of these bands is based in Southern California: {answer_1}?"", answer_1=answer_1)","{
  ""answer_1"": ""Racer X; Fu Manchu; moe."",
  ""answer_2"": ""Racer X; Fu Manchu""
}","answer:
Fu Manchu"
