model,dataset,id,question,assistive_answer,open_answer,gold_answer,assistive_intermediate_questions,assistive_intermediate_answers,assistive_dsl,assistive_raw_response,open_raw_response,equivalence_reasoning,equivalence_raw_response
gpt-5-1,hotpotqa,5a72a00d5542991f9a20c53c,Who developed the prototype pacemaker used by the 34th President of the USA?,Paul M. Zoll,Wilson Greatbatch,R Adams Cowley,"[""Who was the 34th President of the USA?"", ""Who developed the prototype pacemaker used by {answer_1}?""]","{""answer_1"": ""Dwight D. Eisenhower"", ""answer_2"": ""Paul M. Zoll""}","answer_1: str = qa_model(""Who was the 34th President of the USA?"")
answer_2: str = qa_model(""Who developed the prototype pacemaker used by {answer_1}?"", answer_1=answer_1)","{
  ""answer_1"": ""Dwight D. Eisenhower"",
  ""answer_2"": ""Paul M. Zoll""
}","answer:
Wilson Greatbatch","The answers provide different names for the developer, indicating a contradiction. Paul M. Zoll and Wilson Greatbatch are distinct individuals.","equivalent: 0
reasoning: The answers provide different names for the developer, indicating a contradiction. Paul M. Zoll and Wilson Greatbatch are distinct individuals."
gpt-5-1,hotpotqa,5a74a3bd55429979e28829da,Who invented the type of script used in autographs?,It has no single inventor; it developed gradually from ancient Roman writing,Platt Rogers Spencer,the Sumerians,"[""What type of script is used in autographs?"", ""Who invented {answer_1}?""]","{""answer_1"": ""cursive script"", ""answer_2"": ""It has no single inventor; it developed gradually from ancient Roman writing""}","answer_1: str = qa_model(""What type of script is used in autographs?"")
answer_2: str = qa_model(""Who invented {answer_1}?"", answer_1=answer_1)","{
  ""answer_1"": ""cursive script"",
  ""answer_2"": ""It has no single inventor; it developed gradually from ancient Roman writing""
}","answer:
Platt Rogers Spencer","Answer A states there is no single inventor, while Answer B names a specific inventor, which is a direct contradiction.","equivalent: 0
reasoning: Answer A states there is no single inventor, while Answer B names a specific inventor, which is a direct contradiction."
gpt-5-1,hotpotqa,5a76059155429976ec32bce6,"What shopping mall is the largest in south Texas, Malle del Norte or La Plaza Mall?",Mall del Norte,La Plaza Mall,La Plaza Mall,"[""What is the size of Mall del Norte?"", ""What is the size of La Plaza Mall?"", ""Which is larger, Mall del Norte at {answer_1} or La Plaza Mall at {answer_2}?""]","{""answer_1"": ""1,236,000 ft\u00b2"", ""answer_2"": ""1,215,000 ft\u00b2"", ""answer_3"": ""Mall del Norte""}","answer_1: str = qa_model(""What is the size of Mall del Norte?"")
answer_2: str = qa_model(""What is the size of La Plaza Mall?"")
answer_3: str = qa_model(""Which is larger, Mall del Norte at {answer_1} or La Plaza Mall at {answer_2}?"", answer_1=answer_1, answer_2=answer_2)","{
  ""answer_1"": ""1,236,000 ft²"",
  ""answer_2"": ""1,215,000 ft²"",
  ""answer_3"": ""Mall del Norte""
}",La Plaza Mall,The answers contradict each other by identifying different malls as the largest.,"equivalent: 0
reasoning: The answers contradict each other by identifying different malls as the largest."
gpt-5-1,hotpotqa,5a7a791f55429941d65f2669,What was the year founded of the football team that Aaron Galindo is currently a part of?,1983,1917,1928,"[""What football team is Aaron Galindo currently a part of?"", ""What year was the football team {answer_1} founded?""]","{""answer_1"": ""Santos Laguna"", ""answer_2"": ""1983""}","answer_1: str = qa_model(""What football team is Aaron Galindo currently a part of?"")
answer_2: str = qa_model(""What year was the football team {answer_1} founded?"", answer_1=answer_1)","{
  ""answer_1"": ""Santos Laguna"",
  ""answer_2"": ""1983""
}","answer:
1917","The years provided (1983 and 1917) are different, representing a direct contradiction regarding the founding year.","equivalent: 0
reasoning: The years provided (1983 and 1917) are different, representing a direct contradiction regarding the founding year."
gpt-5-1,hotpotqa,5a7ca54c55429935c91b527f,"The Swedish-British entertainment studio executive and film executive producer, who was the Executive producer for a 2016 American action thriller film directed by Babak Najafi, currently serve?",founder and CEO of Millennium Films,Chairman and chief executive officer of Millennium Media,CEO of Lionsgate UK & Europe,"[""What is the 2016 American action thriller film directed by Babak Najafi?"", ""Who was the executive producer for {answer_1}?"", ""What position does {answer_2} currently hold?""]","{""answer_1"": ""London Has Fallen"", ""answer_2"": ""Avi Lerner"", ""answer_3"": ""founder and CEO of Millennium Films""}","answer_1: str = qa_model(""What is the 2016 American action thriller film directed by Babak Najafi?"")
answer_2: str = qa_model(""Who was the executive producer for {answer_1}?"", answer_1=answer_1)
answer_3: str = qa_model(""What position does {answer_2} currently hold?"", answer_2=answer_2)","{
  ""answer_1"": ""London Has Fallen"",
  ""answer_2"": ""Avi Lerner"",
  ""answer_3"": ""founder and CEO of Millennium Films""
}","answer:
Chairman and chief executive officer of Millennium Media","The answers refer to different roles (""founder"" vs ""Chairman"") and different, though related, entities (""Millennium Films"" vs ""Millennium Media""). While both statements might be true about the individual, they do not convey the same essential facts.","equivalent: 0
reasoning: The answers refer to different roles (""founder"" vs ""Chairman"") and different, though related, entities (""Millennium Films"" vs ""Millennium Media""). While both statements might be true about the individual, they do not convey the same essential facts."
gpt-5-1,hotpotqa,5a7d231555429909bec76986,La Barredora was a gang that declared war on the leader of the cartel based where?,"Sinaloa, Mexico",Acapulco,Sinaloa,"[""Which cartel leader did the gang La Barredora declare war on?"", ""Where was the cartel led by {answer_1} based?""]","{""answer_1"": ""H\u00e9ctor Beltr\u00e1n Leyva"", ""answer_2"": ""Sinaloa, Mexico""}","answer_1: str = qa_model(""Which cartel leader did the gang La Barredora declare war on?"")
answer_2: str = qa_model(""Where was the cartel led by {answer_1} based?"", answer_1=answer_1)","{
  ""answer_1"": ""Héctor Beltrán Leyva"",
  ""answer_2"": ""Sinaloa, Mexico""
}","answer:
Acapulco","The answers provide different locations (Sinaloa vs. Acapulco), which is a direct contradiction.","equivalent: 0
reasoning: The answers provide different locations (Sinaloa vs. Acapulco), which is a direct contradiction."
gpt-5-1,hotpotqa,5a7d90195542991319bc93cf,The axial turbojet Pirna 014 was designed by engineers from this German aircraft and aircraft engine manufacturer based in which city?,Ludwigsfelde,Dessau,Dessau,"[""Which German aircraft and aircraft engine manufacturer designed the Pirna 014?"", ""In which city is {answer_1} based?""]","{""answer_1"": ""Industriewerke Ludwigsfelde"", ""answer_2"": ""Ludwigsfelde""}","answer_1: str = qa_model(""Which German aircraft and aircraft engine manufacturer designed the Pirna 014?"")
answer_2: str = qa_model(""In which city is {answer_1} based?"", answer_1=answer_1)","{
  ""answer_1"": ""Industriewerke Ludwigsfelde"",
  ""answer_2"": ""Ludwigsfelde""
}","answer:
Dessau","The answers provide different cities for the manufacturer's base, which is a direct contradiction.","equivalent: 0
reasoning: The answers provide different cities for the manufacturer's base, which is a direct contradiction."
gpt-5-1,hotpotqa,5a80b23a5542992bc0c4a7b2,Ted Sutton plays Sergeant Cunningham in a2002 film that stars Mel Gibson as what character?,Lieutenant Colonel Hal Moore,Graham Hess,Graham Hess,"[""In which 2002 film does Ted Sutton play Sergeant Cunningham?"", ""What character does Mel Gibson play in {answer_1}?""]","{""answer_1"": ""We Were Soldiers"", ""answer_2"": ""Lieutenant Colonel Hal Moore""}","answer_1: str = qa_model(""In which 2002 film does Ted Sutton play Sergeant Cunningham?"")
answer_2: str = qa_model(""What character does Mel Gibson play in {answer_1}?"", answer_1=answer_1)","{
  ""answer_1"": ""We Were Soldiers"",
  ""answer_2"": ""Lieutenant Colonel Hal Moore""
}","answer:
Graham Hess","The answers contradict each other regarding the character Mel Gibson plays in the film where Ted Sutton plays Sergeant Cunningham. Mel Gibson plays Lieutenant Colonel Hal Moore in ""We Were Soldiers"" (2002), where Ted Sutton plays Sergeant Cunningham. Graham Hess is a character Mel Gibson plays in a different 2002 film (""Signs"").","equivalent: 0
reasoning: The answers contradict each other regarding the character Mel Gibson plays in the film where Ted Sutton plays Sergeant Cunningham. Mel Gibson plays Lieutenant Colonel Hal Moore in ""We Were Soldiers"" (2002), where Ted Sutton plays Sergeant Cunningham. Graham Hess is a character Mel Gibson plays in a different 2002 film (""Signs"")."
gpt-5-1,hotpotqa,5a83cf395542996488c2e4e0,"What musical genre was the song that, according to Annet Artani, inspired the Britney Spears song ""Everytime""?",R&B,Hymn,R&B,"[""According to Annet Artani, what song inspired the Britney Spears song 'Everytime'?"", ""What is the musical genre of the song {answer_1}?""]","{""answer_1"": ""Cry Me a River"", ""answer_2"": ""R&B""}","answer_1: str = qa_model(""According to Annet Artani, what song inspired the Britney Spears song 'Everytime'?"")
answer_2: str = qa_model(""What is the musical genre of the song {answer_1}?"", answer_1=answer_1)","{
  ""answer_1"": ""Cry Me a River"",
  ""answer_2"": ""R&B""
}","answer:
Hymn","The answers provide different musical genres (R&B vs. Hymn), which are contradictory.","equivalent: 0
reasoning: The answers provide different musical genres (R&B vs. Hymn), which are contradictory."
gpt-5-1,hotpotqa,5a8ba62d554299240d9c205c,Lendley C. Black is Chancellor of a university offering how many majors?,93,75,85,"[""Which university is Lendley C. Black the Chancellor of?"", ""How many majors does {answer_1} offer?""]","{""answer_1"": ""University of Minnesota Duluth"", ""answer_2"": ""93""}","answer_1: str = qa_model(""Which university is Lendley C. Black the Chancellor of?"")
answer_2: str = qa_model(""How many majors does {answer_1} offer?"", answer_1=answer_1)","{
  ""answer_1"": ""University of Minnesota Duluth"",
  ""answer_2"": ""93""
}","answer:
75",The numerical values 93 and 75 contradict each other and do not fall within the allowed tolerance for numeric expressions.,"equivalent: 0
reasoning: The numerical values 93 and 75 contradict each other and do not fall within the allowed tolerance for numeric expressions."
