dataset	id	question	gold_dsl	model_dsl	equivalent_final
crag	79c07a6f-77a4-4f41-ad34-90804e609c2d	what is the elevation of the capital of nebraska?	answer_1: str = qa_model("What is the capital of Nebraska?")\nanswer_2: str = qa_model("What is the elevation of {answer_1}?", answer_1=answer_1)	answer_1: str = qa_model("What is the capital of Nebraska?")\nanswer_2: str = qa_model("What is the elevation of {answer_1}?", answer_1=answer_1)	1
crag	e06676aa-efc3-4763-b196-e105596cc643	can you tell me what other songs the same artist released in the same year as my time?	answer_1: str = qa_model("Who is the artist of the song 'my time'?")\nanswer_2: str = qa_model("When was the song 'my time' released?")\nanswer_3: str = qa_model("What other songs did {answer_1} release in {answer_2}?", answer_1=answer_1, answer_2=answer_2)	answer_1: str = qa_model("What is the song 'My Time'?")\nanswer_2: str = qa_model("Who is the artist of '{answer_1}'?", answer_1=answer_1)\nanswer_3: str = qa_model("In what year was '{answer_1}' released by {answer_2}?", answer_1=answer_1, answer_2=answer_2)\nanswer_4: str = qa_model("What other songs were released by {answer_2} in {answer_3}?", answer_2=answer_2, answer_3=answer_3)	1
crag	56c7d756-2d72-48bd-9574-9dea576d78e1	what's the name of the actress who played the role of the girl character in the movie "the matrix"?	answer_1: str = qa_model("Who is the main female character in the movie 'The Matrix'?")\nanswer_2: str = qa_model("Who played {answer_1} in the movie 'The Matrix'?", answer_1=answer_1)	answer_1: str = qa_model("What is the name of the female lead character in the movie 'The Matrix'?")\nanswer_2: str = qa_model("Who played the role of {answer_1} in the movie 'The Matrix'?", answer_1=answer_1)	1
crag	03e3957a-3d2b-4386-a89f-1ad106512f3f	what was the profession of kim kardashian's second spouse?	answer_1: str = qa_model("Who was Kim Kardashian's second spouse?")\nanswer_2: str = qa_model("What was the profession of {answer_1}?", answer_1=answer_1)	answer_1: str = qa_model("Who is Kim Kardashian's second spouse?")\nanswer_2: str = qa_model("What is the profession of {answer_1}?", answer_1=answer_1)	1
crag	ad57a30d-0f77-41cf-ab69-350e7080a727	who was head coach of the lakers in kobe bryant's rookie year?	answer_1: str = qa_model("When was Kobe Bryant's rookie year in the NBA?")\nanswer_2: str = qa_model("Who was the head coach of the Los Angeles Lakers in {answer_1}?", answer_1=answer_1)	answer_1: str = qa_model("What year was Kobe Bryant's rookie year?")\nanswer_2: str = qa_model("Who was the head coach of the Los Angeles Lakers in {answer_1}?", answer_1=answer_1)	1
crag	118896a1-8124-482a-9201-4aaf1903618d	when was green day's third studio album released?	answer_1: str = qa_model("What is the third studio album by Green Day?")\nanswer_2: str = qa_model("When was '{answer_1}' released?", answer_1=answer_1)	answer_1: str = qa_model("What is the name of Green Day's third studio album?")\nanswer_2: str = qa_model("When was '{answer_1}' released by Green Day?", answer_1=answer_1)	1
crag	cdc413a0-1cb3-4100-b841-71ef9224808f	at what age was lorne michaels when he produced his first film?	answer_1: str = qa_model("What was the first film produced by Lorne Michaels?")\nanswer_2: str = qa_model("How old was Lorne Michaels when '{answer_1}' was released?", answer_1=answer_1)	answer_1: str = qa_model("What is the name of Lorne Michaels' first film production?")\nanswer_2: str = qa_model("In what year was '{answer_1}' released?", answer_1=answer_1)\nanswer_3: str = qa_model("How old was Lorne Michaels in {answer_2}?", answer_2=answer_2)	1
crag	4ae2cce0-de1c-49c4-b929-4952a02a260c	what age did abraham lincoln begin his presidency?	answer_1: str = qa_model("When did Abraham Lincoln begin his presidency?")\nanswer_2: str = qa_model("How old was Abraham Lincoln on {answer_1}?", answer_1=answer_1)	answer_1: str = qa_model("When did Abraham Lincoln become president?")\nanswer_2: str = qa_model("What year was Abraham Lincoln born?")\nanswer_3: str = qa_model("How old was Abraham Lincoln in {answer_1} if he was born in {answer_2}?", answer_1=answer_1, answer_2=answer_2)	1
crag	d4360848-f6aa-4071-9264-6c60b934ce08	where did the lead designer of java (programming language) receive his ph.d.?	answer_1: str = qa_model("Who is the lead designer of the Java programming language?")\nanswer_2: str = qa_model("Where did {answer_1} receive his Ph.D.?", answer_1=answer_1)	answer_1: str = qa_model("Who is the lead designer of Java programming language?")\nanswer_2: str = qa_model("Where did {answer_1} receive their Ph.D.?", answer_1=answer_1)	1
crag	d6ed2e39-aa0d-4d1b-a975-f400eb859e63	when did the lead actor of die hard get married?	answer_1: str = qa_model("Who is the lead actor in the movie 'Die Hard'?")\nanswer_2: str = qa_model("When did {answer_1} get married?", answer_1=answer_1)	answer_1: str = qa_model("Who is the lead actor in the film 'Die Hard'?")\nanswer_2: str = qa_model("When did {answer_1} get married?", answer_1=answer_1)	1
crag	13ea1049-2593-4f93-a46e-89dc336f1e91	where did the lead designer of fortran get his m.s. from?	answer_1: str = qa_model("Who was the lead designer of Fortran?")\nanswer_2: str = qa_model("Where did {answer_1} get his M.S. degree from?", answer_1=answer_1)	answer_1: str = qa_model("Who is the lead designer of Fortran?")\nanswer_2: str = qa_model("Where did {answer_1} receive their Master's degree?", answer_1=answer_1)	1
crag	5cfddbeb-3adf-4d89-85dd-ccbea6074ea5	how many feet is the place with the lowest elevation in vermont?	answer_1: str = qa_model("What is the place with the lowest elevation in Vermont?")\nanswer_2: str = qa_model("What is the elevation of {answer_1} in feet?", answer_1=answer_1)	answer_1: str = qa_model("What is the place with the lowest elevation in Vermont?")\nanswer_2: str = qa_model("How many feet above sea level is {answer_1}?", answer_1=answer_1)	1
